type,level_1,model3
aggressive,f1_score,0.6569872958257713
aggressive,roc_auc_score,0.5
alternative,f1_score,0.6569872958257713
alternative,roc_auc_score,0.5
balanced,f1_score,0.6517571884984026
balanced,roc_auc_score,0.5
conservative,f1_score,0.6430868167202572
conservative,roc_auc_score,0.5
growth,f1_score,0.6569872958257713
growth,roc_auc_score,0.5
