,open,high,low,close,adjclose,volume
2018-08-15,163.87249679565429,164.00199937820437,162.93999633789062,163.59399671554567,151.26772413253784,1850680.0
2018-08-16,164.27699937820435,164.97200384140012,164.1589987754822,164.50400123596188,152.0987491607666,1780340.0
2018-08-17,164.4509966850281,165.17399921417237,164.17699909210205,164.86500215530398,152.42903718948367,1581500.0
2018-08-20,165.16350355148316,165.3840035438538,164.9240015029907,165.2419948577881,152.77675132751466,972490.0
2018-08-21,165.46599874496462,165.8949938774109,165.33400316238405,165.40800294876098,152.92959413528442,1328200.0
2018-08-22,165.3790005683899,165.74400205612184,165.16600131988525,165.4610001564026,152.97985696792605,1081790.0
2018-08-23,165.3370014190674,165.77100181579593,165.11200199127197,165.22700366973876,152.76284351348878,1695120.0
2018-08-24,165.48550395965577,166.0880005836487,165.46000490188598,165.99099626541138,153.4689076423645,1193970.0
2018-08-27,166.5219983100891,166.97199907302857,166.4020044326782,166.87999858856202,154.28617534637453,1737560.0
2018-08-28,167.1230068206787,167.1749970436096,166.68099908828736,166.88700609207157,154.2949040412903,1868660.0
2018-08-29,167.03900117874147,167.6889944076538,166.83499603271486,167.49000463485717,154.84555883407592,1358580.0
2018-08-30,167.29500007629395,167.51899518966675,166.75100641250611,167.02200479507448,154.413777256012,2220620.0
2018-08-31,166.94599771499634,167.38099908828735,166.67999792099002,167.15400085449215,154.5385833740234,2237580.0
2018-09-04,166.87699995040893,167.0440035820007,166.30700263977053,166.8220048904419,154.30705432891844,1669750.0
2018-09-05,166.60300130844118,166.71100606918336,165.93100500106812,166.44200067520143,153.95313348770145,3476180.0
2018-09-06,166.46300001144408,166.6950038909912,165.58099460601807,166.13799877166747,153.67317028045653,1854550.0
2018-09-07,165.52149896621705,166.23799448013307,165.3299946784973,165.67800111770632,153.24554262161257,2473860.0
2018-09-10,166.1790029525757,166.32699403762817,165.7720009803772,165.9340003013611,153.47981328964235,1343110.0
2018-09-11,165.52299728393555,166.4309994697571,165.29899902343752,166.21400089263918,153.73434696197512,1460510.0
2018-09-12,166.2210017204285,166.54499473571778,165.84999589920045,166.26699542999268,153.78520832061767,1220910.0
2018-09-13,166.78100509643554,167.10699815750124,166.5999984741211,166.97000608444216,154.43385190963747,937110.0
2018-09-14,167.0160002708435,167.1259927749634,166.54200172424316,166.88000078201293,154.34816789627075,1247860.0
2018-09-17,166.85050258636477,166.92600011825562,166.09599914550782,166.26900148391726,153.78393678665162,2303850.0
2018-09-18,166.35550289154054,167.17600107192993,166.2550019264221,166.82800426483155,154.29563426971436,1238450.0
2018-09-19,166.80399913787844,167.1319955825806,166.70000557899476,166.88799924850463,154.3510210990906,1274810.0
2018-09-20,167.4409951210022,168.04900426864623,167.38000097274784,167.8870032310486,155.26826543807982,1799730.0
2018-09-21,168.20400400161745,168.35400142669678,167.67600507736208,167.80399513244632,155.19782752990724,1884760.0
2018-09-24,167.5230019569397,167.63300056457518,167.08199367523196,167.38000106811523,154.80388107299802,1612540.0
2018-09-25,167.52900123596194,167.58500232696537,167.06400403976443,167.20600004196166,154.64151334762573,1867410.0
2018-09-26,166.7730031967163,167.41200218200683,166.1659956932068,166.42199592590333,154.3901264190674,1978250.0
2018-09-27,166.62450380325316,167.24600410461426,166.32399668693546,166.73200244903566,154.6755449295044,1323630.0
2018-09-28,166.5199990272522,167.0510025024414,166.44300236701966,166.70600428581238,154.65133204460142,2404090.0
2018-10-01,167.2299936771393,167.57300348281862,166.71900148391728,167.00999808311465,155.00623526573182,1867490.0
2018-10-02,166.99700293540954,167.3829991340637,166.79900150299073,167.00300059318542,154.99933238029482,1561280.0
2018-10-03,167.41900486946108,167.63799657821656,166.6820053100586,166.91000399589538,154.91004366874694,1940810.0
2018-10-04,166.62400441169737,166.70200414657594,165.16600408554078,165.98799715042114,154.05959444046022,1867070.0
2018-10-05,166.01199760437012,166.2580008506775,164.52499475479127,165.20699796676638,153.33747587203982,2057500.0
2018-10-08,164.91600608825684,165.48999338150023,164.26900281906128,165.27399997711183,153.40294284820556,2493920.0
2018-10-09,165.1039954662323,165.73900370597843,164.82099657058717,165.1434996128082,153.28189377784727,2771070.0
2018-10-10,164.82800097465517,164.94999527931213,161.1880009651184,161.4120005130768,149.8380564212799,3543580.0
2018-10-11,161.04200458526608,161.8270008087158,158.24599838256836,159.10099387168887,147.70612082481387,4711900.0
2018-10-12,160.8874957084656,161.09200620651245,159.0870044231415,160.55699887275696,149.04887509346008,3194750.0
2018-10-15,160.44699954986575,161.0989990234375,159.9149974822998,160.0159984588623,148.55375480651858,1738880.0
2018-10-16,160.86899871826174,162.6239972114563,160.6110023021698,162.45199694633484,150.80055651664733,2280180.0
2018-10-17,162.413996219635,162.72100534439087,161.15300211906435,162.33899917602542,150.69426651000978,2531000.0
2018-10-18,161.89200105667112,162.29200158119204,160.07899446487428,160.7640024662018,149.24124550819397,1963830.0
2018-10-19,161.07600502967836,161.94699692726138,160.34099817276,160.6429965019226,149.12960844039915,1457330.0
2018-10-22,160.9679994106293,161.1470000267029,159.89000010490417,160.22800049781802,148.7474768161774,1763580.0
2018-10-23,158.68199601173401,160.32100553512575,157.64399342536927,159.66000170707704,148.22588000297546,3330770.0
2018-10-24,159.6885051250458,159.95900316238405,156.14500474929812,156.44900612831117,145.26680092811586,2371580.0
2018-10-25,157.28599934577943,159.08499546051027,156.7540050983429,158.30499706268313,146.97605419158936,2759390.0
2018-10-26,156.7824980735779,158.00900502204897,155.29899482727052,156.48400197029113,145.2989098072052,3258440.0
2018-10-29,157.92449870109556,158.5589994430542,154.24700317382815,155.86499280929567,144.72641553878785,2863710.0
2018-10-30,155.82050642967224,157.64199767112734,155.54299316406252,157.47399349212648,146.20753841400148,4202150.0
2018-10-31,158.55100312232972,159.58399524688724,158.2599964618683,158.5710048675537,147.21833152770995,4022430.0
2018-11-01,158.8405011177063,159.74900412559512,158.31800246238708,159.598006105423,148.2477680683136,2076380.0
2018-11-02,160.05950107574463,160.2970015048981,157.90899562835693,158.87100634574892,147.5767589092255,1626130.0
2018-11-05,159.16449580192568,159.80800189971924,158.66800584793094,159.57950382232664,148.2321313858032,2521900.0
2018-11-06,159.51699843406678,160.33899941444398,159.41799788475038,160.2030029296875,148.80859985351563,1255560.0
2018-11-07,161.225501203537,162.69600353240966,160.99249782562254,162.591001367569,151.01255898475648,3361950.0
2018-11-08,162.2659948348999,162.68299436569214,161.7710021018982,162.25799527168274,150.70178189277652,3277870.0
2018-11-09,161.73349828720092,161.90599756240846,160.52600073814395,161.29799656867985,149.81448216438295,2351030.0
2018-11-12,161.10050015449522,161.2410048007965,158.95500454902648,159.19200305938722,147.8721422195435,1670810.0
2018-11-13,159.42949328422546,160.38699655532835,158.6460048675537,159.05099534988403,147.74216661453247,2413520.0
2018-11-14,159.84550490379334,160.21899900436404,157.45499839782715,158.2969974040985,147.04220309257508,2511010.0
2018-11-15,157.80699863433838,159.77800288200382,156.93199572563174,159.46399593353271,148.12165584564212,3009680.0
2018-11-16,159.09949584007265,160.29100546836852,158.82200255393985,159.85799465179446,148.48580532073976,2051940.0
2018-11-19,159.53499450683594,159.73599801063537,157.49199495315554,158.00300240516665,146.7709558963776,2056930.0
2018-11-20,156.4314994812012,157.1659977912903,155.49599914550782,155.91850171089172,144.84386792182923,3272650.0
2018-11-21,156.59149622917175,157.13699917793275,156.2129952430725,156.26099772453307,145.16081461906433,2120040.0
2018-11-23,155.56350111961365,156.24100341796876,155.48399577140808,155.6099991798401,144.5596451759338,821560.0
2018-11-26,156.5205024242401,157.25800061225888,156.3030002593994,157.2030007362366,146.02511682510377,1912320.0
2018-11-27,156.78350343704224,157.63300161361695,156.44299659729006,157.57200355529787,146.36676063537598,2190990.0
2018-11-28,158.10549435615542,160.27300267219545,157.64899544715882,160.21000156402587,148.80735569000242,3075950.0
2018-11-29,159.94950013160704,160.73900113105773,159.3589951515198,160.02500314712523,148.63620615005493,2367860.0
2018-11-30,159.92799563407897,160.97500243186954,159.74500026702884,160.79999876022342,149.3491412162781,3583420.0
2018-12-03,162.45249814987184,162.59099369049073,161.2669979095459,162.07599706649782,150.60360021591185,3189770.0
2018-12-04,161.7699971675873,162.0749963283539,158.30700120925903,158.6089982032776,147.40639505386355,3203730.0
2018-12-06,156.9220064163208,158.871000289917,155.39799547195437,158.38600425720216,147.20068321228027,4269750.0
2018-12-07,158.2375057220459,159.10599546432496,155.45199730396268,156.00400280952454,145.0047962665558,3194630.0
2018-12-10,155.89049799442293,156.68599905967716,153.91700270175934,156.17099900245668,145.15890793800355,4495550.0
