,SMA_30,SMA_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-09,47.27923327128092,48.54491495084763,-0.3592610242763996,0.029105324571869096,-0.3883663488482687,45.74423983531747,46.96789991140365,48.191559987489825,5.2106229079621915,0.4130065407194508
2019-01-10,47.26579992294311,48.51894494962692,-0.3158483878766276,0.05801436877731292,-0.37386275665394053,45.75758094525953,46.925600013732904,48.09361908220628,4.978174250863296,0.4963189180601895
2019-01-11,47.244499996503194,48.492924956321716,-0.2764014687460019,0.07796903032635094,-0.35437049907235285,45.78382576976909,46.883250018358225,47.98267426694736,4.690051343107112,0.5258093495564751
2019-01-14,47.221333268483484,48.46696495008469,-0.2413089495363252,0.09044923962882212,-0.3317581891651473,45.83090666721881,46.83844994425773,47.84599322129665,4.302205893824383,0.5568460421819421
2019-01-15,47.17713328838348,48.44008495140075,-0.2189622926947763,0.09023671717629683,-0.3091990098710731,45.89303390451396,46.78887492418289,47.68471594385182,3.829290706906534,0.5363483259970833
2019-01-16,47.144399940172825,48.414854947090156,-0.18180791070018643,0.10191287933670934,-0.28372079003689576,45.92952708216159,46.76432489275932,47.59912270335705,3.570233559501175,0.6824842890360655
2019-01-17,47.10996659755707,48.38977493858338,-0.14568065235584982,0.11043211014483678,-0.2561127625006866,45.94676954514002,46.752124840021125,47.55748013490223,3.445213656649447,0.7352218617309743
2019-01-18,47.068599926630654,48.36553494024277,-0.10678109004329883,0.11946533796591025,-0.22624642800920908,45.977638475259184,46.738374882936476,47.49911129061377,3.2552967859181026,0.8316689496779758
2019-01-22,47.04853323936462,48.34137492322921,-0.06200481013128467,0.13139329430233954,-0.1933981044336242,45.96877418080816,46.7422748887539,47.51577559669963,3.30964083278642,0.9296855940746422
2019-01-23,47.022299922307326,48.31428494024277,-0.03945910631797034,0.1231511984925231,-0.16261030481049343,45.96407547566608,46.7456748855114,47.52727429535672,3.3440501683186667,0.8168668348069075
2019-01-24,47.01359991550446,48.28704494810104,-0.017037846652698363,0.11645796652623608,-0.13349581317893444,45.96852331336967,46.781374832391734,47.594226351413795,3.475107441516393,0.8159398571422171
2019-01-25,47.004733333587644,48.26097496938705,0.016836961958794916,0.1202662201101835,-0.10342925815138858,46.14589838216839,46.86847492814064,47.591051474112895,3.083422479951038,0.9349203120484435
2019-01-28,47.00123333056768,48.23737496948242,0.0579429607088926,0.12909777508822495,-0.07115481437933235,46.16833315988073,46.93427497267723,47.70021678547373,3.263891104070068,0.9881086915277176
2019-01-29,46.98806668281555,48.21089498209953,0.07130024256522205,0.11396404555564352,-0.042663802990421475,46.21877192468228,46.984025080204006,47.74927823572573,3.257503605599573,0.8070726369189494
2019-01-30,46.973316687742866,48.184744996309284,0.0768843095372489,0.0956384900221363,-0.018754180484887403,46.28229908332458,47.030525074005126,47.77875106468567,3.181873855344674,0.7489054423278924
2019-01-31,46.98234998544057,48.16547499537468,0.11452551107417719,0.10662375324725168,0.007901757826925515,46.29055868942265,47.09085005164147,47.89114141386028,3.3989251047334554,0.962424940074219
2019-02-01,46.99811665296555,48.147394987106324,0.14406753944170703,0.10893262529182521,0.03513491414988182,46.29548124070225,47.14510006904602,47.994718897389795,3.60427203293436,0.9136562018593615
2019-02-04,47.01054998795191,48.13064497232437,0.16900133563112263,0.10709313718499265,0.06190819844612998,46.46620075210444,47.23390005111695,48.00159935012945,3.250628460413791,0.9279665974563115
2019-02-05,47.03564998865127,48.11540497350693,0.20184685938129832,0.11195092874813467,0.08989593063316365,46.51394407599997,47.30804998636246,48.10215589672495,3.3571703360903995,0.9873084429584195
2019-02-06,47.07101658900579,48.100744967460635,0.23740562348326932,0.11800775428008453,0.11939786920318479,46.55230919515257,47.38634995222092,48.22039070928927,3.5201730367893043,1.0081579429789822
2019-02-07,47.12718322912852,48.086694976568225,0.26511233613057783,0.11657157354191441,0.14854076258866342,46.59712911731146,47.46189997315407,48.326670828996676,3.644063370121082,0.9649205656477782
2019-02-08,47.20581660747528,48.069294988393786,0.27167339995779827,0.09850610989530786,0.1731672900624904,46.65044942782256,47.52174996972084,48.393050511619116,3.666954783666176,0.8398659814101406
2019-02-11,47.27001658916473,48.05413498187065,0.2879171477650999,0.09179988616208759,0.19611726160301232,46.699486964392584,47.589349888563156,48.47921281273373,3.7397565894651024,0.8948076366827583
2019-02-12,47.32914990107218,48.04057497429848,0.29265604315739324,0.07723102524350473,0.21542501791388852,46.77168068222183,47.65334985136986,48.53501902051789,3.700344978466139,0.828722532531902
2019-02-13,47.393999935785935,48.027959978342054,0.30783165247608935,0.07392530764976066,0.2339063448263287,46.87008608950602,47.73157493710518,48.59306378470434,3.609723118226568,0.898685570072942
2019-02-14,47.4538832227389,48.01592995476724,0.3164125283913748,0.06600494685203684,0.25040758153933795,46.94410536785165,47.799174867868416,48.654244367885184,3.57775841269412,0.863609981443134
2019-02-15,47.5115165623029,48.00283994698525,0.325193543390931,0.05982876948127441,0.26536477390965657,47.019091535689306,47.86722491383553,48.71535829198175,3.543691449307638,0.8683236653926285
2019-02-19,47.59444995323817,47.991209969282146,0.33722215509801856,0.05748590495068956,0.279736250147329,47.08013649706598,47.9352249777317,48.79031345839742,3.5676831852273647,0.890472149291919
2019-02-20,47.66468328555425,47.98098996567725,0.3510197243513602,0.05702677936322498,0.2939929449881352,47.11851939502241,48.00017503619194,48.88183067736147,3.6735517756123404,0.9002839721254483
