,SMA_200,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2018-10-17,58.38411433243751,59.89784209529585,57.24479851414555,60.015875308513635,62.78695210288172,9.234479311093176,0.3028064179223333
2018-10-18,58.39516852164268,59.850122851445256,57.10461398718546,59.925925390720366,62.74723679425527,9.415996115670469,0.27937139231513863
2018-10-19,58.4000484161377,59.768588635216055,56.84046362590276,59.76357529163361,62.68668695736446,9.782251652337344,0.15916886149220877
2018-10-22,58.40429353189468,59.69052639458703,56.607179427467685,59.6139253616333,62.620671295798914,10.087394567379773,0.1946992026170731
2018-10-23,58.40786301922798,59.630858610785126,56.471605863415455,59.474175164699545,62.476744465983636,10.097052352451097,0.2826565973843102
2018-10-24,58.410409105777745,59.56553080754128,56.33056777334119,59.32787518024444,62.325182587147694,10.104212894182076,0.2726500209757411
2018-10-25,58.40420097851753,59.42849034085688,55.854964281250936,59.09527510404587,62.3355859268408,10.966395594537433,0.033335478855690354
2018-10-26,58.40677625823021,59.35129473620888,55.72496482667219,58.919625141620635,62.11428545656908,10.844129803167213,0.2715527512490123
2018-10-29,58.40601660728455,59.24642033925586,55.5307371673145,58.696124951839444,61.86151273636439,10.78567890852136,0.18106161466159715
2018-10-30,58.39888744544983,59.11648233131563,55.28821078981373,58.425074944496146,61.56193909917856,10.738074902471023,0.1027762624026247
2018-10-31,58.39586897850037,59.00736542262357,55.2179139712944,58.17367511034011,61.129436249385826,10.16185115841285,0.18879860987919658
2018-11-01,58.394989965438846,58.93895899200914,55.402917664411994,57.96347515583038,60.52403264724877,8.83507237802607,0.3632185146745545
2018-11-02,58.394866674661635,58.89174492473684,55.56174045860685,57.82057523965835,60.07941002070986,7.813255996464734,0.48105771971224914
2018-11-05,58.39085720825196,58.81485292554074,55.61604354304767,57.66647510051727,59.71690665798687,7.111346944287942,0.3206533271979338
2018-11-06,58.3850109667778,58.739937083699445,55.659328959417074,57.53215003490449,59.404971110391905,6.510520028718494,0.3324316496295585
2018-11-07,58.3798204627037,58.679233639032404,55.82789306908751,57.404474904537196,58.98105673998688,5.49288827420343,0.4326150869337357
2018-11-08,58.38216934752465,58.66965579279395,55.811111675893024,57.450324780941,59.08953788598898,5.706540776917535,0.8003495323391634
2018-11-09,58.38434610414505,58.65602224268915,55.8605200525607,57.521374890804296,59.18222972904789,5.774739708139724,0.7410281006749062
2018-11-12,58.37935762381553,58.61194284249008,55.85905850281024,57.48482469797134,59.11059089313244,5.656331749128469,0.5145078793562013
2018-11-13,58.36829762244224,58.51057246193862,55.66186274898168,57.40517467737199,59.148486605762294,6.073710038121303,0.10472462888015746
2018-11-14,58.35992760968208,58.412314689161974,55.5606488445947,57.25927473068238,58.957900616770054,5.93310304427404,0.13079702104469282
2018-11-15,58.34831762266159,58.296537683293074,55.35903027359116,57.098224713802345,58.83741915401353,6.0919387561651135,0.029028026878233717
2018-11-16,58.34277261543274,58.225653835222566,55.30436524323449,57.034124674797056,58.76388410635962,6.065699934646076,0.34242747651634164
2018-11-19,58.344002602100375,58.155392874927045,55.2536342214476,56.96692456722259,58.680214912997585,6.015035422013214,0.34447317384060727
2018-11-20,58.346392600297925,58.02400494036498,54.93647174630067,56.79872469902038,58.6609776517401,6.557375936124964,-0.03529896476048245
2018-11-21,58.337425096035005,57.859357630282,54.40254734862145,56.59174964427948,58.780951939937516,7.736824923840566,-0.13179431076722214
2018-11-23,58.332120082616804,57.71326513552195,54.064064737162845,56.49489964962006,58.925734562077274,8.60550218704057,0.01438482646014213
2018-11-26,58.33274759602548,57.55572537879398,53.633169530468074,56.306699595451356,58.98022966043464,9.496312460832845,0.011750720389048014
2018-11-27,58.33310259079933,57.437657667513825,53.42600472338188,56.2000996518135,58.974194580245126,9.872206439556043,0.20168632412313744
2018-11-28,58.330157609224315,57.32731824374064,53.277900493297565,56.1346497130394,58.99139893278124,10.178202712034551,0.23560028627953694
2018-11-29,58.33411759972572,57.27848219932633,53.266705976042594,56.12204961061477,58.97739324518695,10.175478815841847,0.49298674615651994
2018-11-30,58.3311976172924,57.21579669094832,53.23102206053275,56.04289962530136,58.85477719006997,10.034732619363421,0.4354705385894057
2018-12-03,58.325162624120715,57.169726269280375,53.25536431382084,55.958199658393866,58.66103500296689,9.66019407726815,0.5153174850602568
2018-12-04,58.3244026324749,57.162168438000954,53.254280745614054,55.96049978971481,58.666718833815565,9.67189018779329,0.6878084821249643
2018-12-06,58.31455263209343,57.09329904051798,53.2051953553332,55.88557478189468,58.56595420845616,9.592383855841973,0.4105395350081364
2018-12-07,58.30725263810158,57.028934355358025,53.18124669500699,55.79857479810714,58.41590290120729,9.381343923461419,0.4337921698167257
2018-12-10,58.293022637844075,56.91215258130075,53.154736710684844,55.57937482595444,58.00401294122403,8.724956417240367,0.18482395384456776
2018-12-11,58.276807630777355,56.819872034286256,53.28383231942832,55.39122474431991,57.49861716921151,7.609120161610781,0.3025460037582488
2018-12-12,58.25721262919903,56.73332803432547,53.35836139017119,55.24527486920357,57.13218834823595,6.831040241902166,0.3324579158123736
2018-12-13,58.241202627539636,56.661903464918,53.33264424632412,55.18952503800392,57.04640582968372,6.729105896095817,0.42527158318061686
2018-12-14,58.22736513733863,56.596515143971594,53.31899947274851,55.13900013923645,56.95900080572439,6.601500433058615,0.46030252595162874
2018-12-17,58.21173013412952,56.494494944304165,53.18636745954644,55.06575008988381,56.945132720221174,6.825958521475335,0.21513250677444223
2018-12-18,58.190375135302546,56.365534384207926,52.975229456129924,54.901600145101554,56.827970834073184,7.01753932082253,0.05989792282482262
2018-12-19,58.16780512917042,56.252376179420345,52.86758558890455,54.75390018582344,56.64021478274233,6.8901561003586265,0.16233097443565267
2018-12-20,58.141940134406084,56.115302567030994,52.57466592799783,54.651500111818315,56.7283342956388,7.6002824426456135,0.04389689290422212
2018-12-21,58.112515128016476,55.95819265930003,52.23325534848338,54.56567518115044,56.898095013817496,8.549036825527212,-0.026636591502898405
2018-12-24,58.0752801400423,55.7530478677561,51.52584416474782,54.395325254201886,57.264806343655955,10.550469460543983,-0.139196541973028
2018-12-26,58.02886513006687,55.51284988867126,50.654114577963135,54.191925157308575,57.729735736654014,13.056596786609319,-0.14502121493746872
2018-12-27,57.99206011259555,55.363287109642485,50.354613601473204,54.04962517142296,57.744636741372716,13.672663069283882,0.1819189732581231
2018-12-28,57.958990119576455,55.22853076541646,50.118000423856174,53.91477506995201,57.71154971604784,14.084356806347381,0.23822850664611514
2018-12-31,57.92635762274265,55.09592175797835,49.94112252737651,53.70302516818047,57.46492780898443,14.010021331285902,0.2533131144458346
2019-01-02,57.89524511528015,54.98186598686895,49.826020819355506,53.528400061130526,57.230779302905546,13.833326748218992,0.31891367970731654
2019-01-03,57.865010113239286,54.87591045872011,49.788557697182455,53.34035001516342,56.89214233314439,13.317469109112618,0.35073029316467846
2019-01-04,57.83000510144233,54.70034533244454,49.654697181647734,53.011449923515315,56.368202665382896,12.664255539928407,0.11086645551250873
2019-01-07,57.80239511203766,54.593665125947005,49.643836611679205,52.840149986743924,56.03646336180864,12.098048078465265,0.36544655998110614
2019-01-08,57.777465105772016,54.50520764242706,49.71703887421342,52.68444997310638,55.65186107199934,11.264846080419261,0.4416240848719489
2019-01-09,57.7597750980854,54.433121049813934,49.71474250848103,52.615249993801115,55.5157574791212,11.025349060060755,0.5089207728738914
2019-01-10,57.74992010331153,54.383469270417365,49.770975142342635,52.54565009593964,55.32032504953665,10.561007232876216,0.6119681745885702
2019-01-11,57.73390510082245,54.34058813041165,49.84561664554751,52.47950010418892,55.113383562830336,10.03776123405252,0.6538602806102798
2019-01-14,57.72436509871483,54.297231743986316,49.979048663890374,52.39565004229545,54.81225142070053,9.224435144727924,0.6736633608195778
2019-01-15,57.714765097141274,54.241928543500855,50.17059905647736,52.29027498483657,54.409950913195786,8.107342824163345,0.6407585798345105
2019-01-16,57.70436010742188,54.21063725634309,50.21944600103387,52.262725018262856,54.30600403549184,7.819259391908756,0.7890637286328445
2019-01-17,57.69886510133743,54.18363184112948,50.20170259183048,52.27852494359016,54.355347295349844,7.9452216909357105,0.799369424580838
2019-01-18,57.69219511532784,54.169097321281534,50.17519922389317,52.29517501473426,54.41515080557535,8.107729977933076,0.8579820526323712
2019-01-22,57.68658011126519,54.17779934163646,50.07395576655739,52.376875003576274,54.67979424059516,8.793648864548109,0.9372979747572542
2019-01-23,57.67683009886741,54.159571920662934,50.08633599471669,52.45707501292229,54.827814031127886,9.038777010047125,0.7648805044006566
2019-01-24,57.672890092611304,54.14751029721001,50.30826989805273,52.61332501530647,54.918380132560216,8.7622484098207,0.7686867437649002
2019-01-25,57.669045092821115,54.15027466031537,50.88446829872908,52.84282512307167,54.80118194741426,7.412006529861139,0.8511046649495175
2019-01-28,57.66277009725571,54.17493056518943,50.94052156789039,52.996825183629994,55.053128799369595,7.760101132906224,0.933344336247954
2019-01-29,57.654405106902125,54.175639260495494,51.05238384882722,53.11012528181076,55.1678667147943,7.748960945073422,0.7631227121945154
2019-01-30,57.6414651004076,54.161574951760024,51.21455184874425,53.20862519741058,55.20269854607692,7.495301151901875,0.6525455898443734
2019-01-31,57.634690094351775,54.19617981469808,51.263409815864854,53.35145016551017,55.43949051515549,7.827492385559044,0.9052959971433585
2019-02-01,57.62625008535385,54.22746685389848,51.34326416362511,53.487150130271914,55.63103609691872,8.016452405578585,0.8514294154350657
2019-02-04,57.61545008015632,54.26658575405568,51.97915496715145,53.728450083732604,55.477745200313755,6.511615778437603,0.9277576464911684
2019-02-05,57.60756007456779,54.32934703375479,52.130536592257165,53.9227999997139,55.71506340717064,6.647516106234269,1.0423863419239305
2019-02-06,57.60371506786346,54.403215716269564,52.21688286452023,54.11654995679855,56.01621704907687,7.020651145702498,1.0517936510045531
2019-02-07,57.602755071520804,54.47928570340195,52.28918559674078,54.30034999966621,56.31151440259164,7.407555947384478,1.0078278000316634
2019-02-08,57.599555067420006,54.52994115120364,52.3927471904468,54.430549947023394,56.46835270359999,7.487716947780117,0.8288958342497942
2019-02-11,57.600585061907765,54.590766937698305,52.48218971507528,54.570099872350696,56.65801002962611,7.652213069645887,0.8618208449252811
2019-02-12,57.602225051999085,54.64673683485766,52.62485486133263,54.70924982428551,56.793644787238385,7.619899631771636,0.8139398996441346
2019-02-13,57.60283754742145,54.7224530658355,52.83405207836163,54.89377485394478,56.953497629527924,7.50439473715709,0.908726332205317
2019-02-14,57.603912540554994,54.7969450174989,52.97458828649599,55.05267470955848,57.130761132620975,7.549447630022917,0.8775885127483629
2019-02-15,57.60645254337787,54.87130010856885,53.14061359826173,55.21122474312782,57.281835887993914,7.500689051908135,0.857811050213081
2019-02-19,57.60903255498409,54.95803351027343,53.25571418432892,55.37472475647926,57.4937353286296,7.653349362797138,0.9030836650859032
