,SMA_200,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2018-10-17,61.1063864415884,62.6999291892156,59.60135353852721,62.814812833070754,66.0282721276143,10.231533454006316,0.3000106187637007
2018-10-18,61.115370222687716,62.64240262697325,59.434167776635306,62.70921296477318,65.98425815291105,10.445180327737893,0.27462736726741227
2018-10-19,61.117222564697265,62.54566136195752,59.121135455918974,62.519662854671466,65.91819025342396,10.871867324852518,0.15512084933315773
2018-10-22,61.118427734136574,62.45277274086003,58.84429059441764,62.34343790054322,65.8425852066688,11.225390911896085,0.19043367040034095
2018-10-23,61.11857196986675,62.38129136135031,58.68253768591436,62.17878766655922,65.67503764720406,11.245796554908363,0.2785069557710199
2018-10-24,61.11784110617637,62.30378972792988,58.51619531823863,62.00741268873215,65.49863005922568,11.260645200659821,0.2705079905442402
2018-10-25,61.10703641211986,62.14281752941537,57.958351311623026,61.73608760952949,65.51382390743596,12.238340472107735,0.031850734832915714
2018-10-26,61.10662182962894,62.05053066838,57.800633149206575,61.52958763957024,65.2585421299339,12.12084993062927,0.26667922992173115
2018-10-29,61.10269235801697,61.92543132651524,57.564004103711795,61.26648744225501,64.96897078079823,12.086488039755464,0.17508429188865313
2018-10-30,61.09085360908509,61.77125760719767,57.27096023267046,60.94773743391037,64.62451463515028,12.065344362378926,0.09832540995453133
2018-10-31,61.08431091308593,61.641678937641224,57.177574241665766,60.65333762049674,64.12910099932772,11.46107869802173,0.18548835914661851
2018-11-01,61.08056489753722,61.56047592447484,57.386031358549246,60.40736271619797,63.4286940738467,10.003189087540052,0.3615907169231105
2018-11-02,61.077282459616654,61.50381021492387,57.56948971565763,60.23831282019614,62.90713592473465,8.860882649567612,0.4769912646023052
2018-11-05,61.06970076560974,61.412719561002326,57.632584538824155,60.05601265192032,62.479440765016484,8.070559486332046,0.31946769799625274
2018-11-06,61.060253907442096,61.32434816535279,57.686729975167715,59.89670006990432,62.106670164640924,7.3792716198301065,0.33315360245788134
2018-11-07,61.0516481525898,61.25276584232209,57.88958206093223,59.74548740029335,61.60139273965447,6.212704658099449,0.433593468644223
2018-11-08,61.051833983063695,61.24118670946117,57.8679215928465,59.79686222672463,61.725802860602755,6.451644992890743,0.800847964748012
2018-11-09,61.051764117956154,61.22512055954162,57.920258682804814,59.87871232628821,61.837165969771604,6.541402002138868,0.7432499649391424
2018-11-12,61.04340640318394,61.172841224039374,57.919375746115065,59.83478714346886,61.75019854082265,6.40233378874104,0.5149342227065399
2018-11-13,61.02775390398502,61.05412188525438,57.69207093854646,59.740612119436264,61.78915330032607,6.858119152827781,0.11067074235690032
2018-11-14,61.015563893198966,60.939548464151876,57.58121251126123,59.570762233734136,61.560311956207045,6.6796181477975205,0.13854570450092826
2018-11-15,60.9997564098835,60.803350528959754,57.34542524799642,59.38243719696999,61.41944914594356,6.860654581141074,0.02971898834889595
2018-11-16,60.991476402282714,60.72002304167786,57.28266164017106,59.307587158679965,61.33251267718887,6.828554711191114,0.3446640259954543
2018-11-19,60.991243886709206,60.637610346973084,57.22471162428253,59.22966204881667,61.234612473350815,6.770089023576322,0.3475865750514121
2018-11-20,60.99263138473034,60.48325309757522,56.853414363311806,59.033237195014955,61.213060026718104,7.3850696159594085,-0.034845463992487356
2018-11-21,60.98036512875557,60.289605829801914,56.22659532021711,58.79024959802628,61.35390387583545,8.721358712840841,-0.13288600509808218
2018-11-23,60.97205261480808,60.11758203051938,55.82642612342988,58.67544961214065,61.524473100851424,9.711126229261218,0.013438433373883497
2018-11-26,60.970501377940174,59.93216709747428,55.319432443152884,58.45544954538345,61.59146664761402,10.729597074763191,0.011171621906420575
2018-11-27,60.968453875899314,59.791944819313095,55.071383394312605,58.330249623060226,61.58911585180785,11.173846331215644,0.19717219423045707
2018-11-28,60.9624588946104,59.66092747542337,54.89451336814709,58.25309967637062,61.611685984594146,11.531013205760388,0.23171790734794354
2018-11-29,60.96480638349056,59.60324401546941,54.882021506163035,58.239249562025066,61.596477617887096,11.529091054947635,0.4926650327877207
2018-11-30,60.95883890640735,59.52896002117751,54.83891064451764,58.14614956498146,61.453388485445274,11.375607654872484,0.43391051954992155
2018-12-03,60.9487889162302,59.47360870090457,54.864676902211514,58.046249616146085,61.227822330080656,10.962199056696983,0.5111975655560816
2018-12-04,60.944991424679756,59.46180058536952,54.86485606216545,58.04582477688789,61.22679349161033,10.96019817773011,0.6770965197894385
2018-12-06,60.930023923039435,59.37761226204549,54.80029206993475,57.95361224532127,61.106932420707786,10.882221325698618,0.398739444586166
2018-12-07,60.91846142804622,59.2989411729746,54.766930041715035,57.84723727345467,60.9275445051943,10.649798942613094,0.4227775434517162
2018-12-10,60.89896642708778,59.158923836881186,54.72607854522444,57.585787330865855,60.44549611650727,9.931995091811894,0.17526619535547952
2018-12-11,60.87716891801357,59.04755421784148,54.872527158376066,57.36016226410866,59.84779736984125,8.67373803539309,0.29073222790178443
2018-12-12,60.85123641568421,58.942218753213325,54.951796961853766,57.18363738238811,59.41547780292246,7.805870779467861,0.3158162418333156
2018-12-13,60.82953390938044,58.85530826525784,54.917710857527844,57.11266254365444,59.30761422978103,7.6863924333727836,0.4119203316068733
2018-12-14,60.810402674078944,58.77538447628768,54.89981977542598,57.04690014362335,59.19398051182071,7.527421692648671,0.44652074964071903
2018-12-17,60.78910766953229,58.65262429485665,54.73442297118326,56.95582508027553,59.177227189367805,7.800438694238394,0.20495543667803784
