,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-01-09,45.74423983531747,46.96789991140365,48.191559987489825,5.2106229079621915,0.4130065407194508
2019-01-10,45.75758094525953,46.925600013732904,48.09361908220628,4.978174250863296,0.4963189180601895
2019-01-11,45.78382576976909,46.883250018358225,47.98267426694736,4.690051343107112,0.5258093495564751
2019-01-14,45.83090666721881,46.83844994425773,47.84599322129665,4.302205893824383,0.5568460421819421
2019-01-15,45.89303390451396,46.78887492418289,47.68471594385182,3.829290706906534,0.5363483259970833
2019-01-16,45.92952708216159,46.76432489275932,47.59912270335705,3.570233559501175,0.6824842890360655
2019-01-17,45.94676954514002,46.752124840021125,47.55748013490223,3.445213656649447,0.7352218617309743
2019-01-18,45.977638475259184,46.738374882936476,47.49911129061377,3.2552967859181026,0.8316689496779758
2019-01-22,45.96877418080816,46.7422748887539,47.51577559669963,3.30964083278642,0.9296855940746422
2019-01-23,45.96407547566608,46.7456748855114,47.52727429535672,3.3440501683186667,0.8168668348069075
2019-01-24,45.96852331336967,46.781374832391734,47.594226351413795,3.475107441516393,0.8159398571422171
2019-01-25,46.14589838216839,46.86847492814064,47.591051474112895,3.083422479951038,0.9349203120484435
2019-01-28,46.16833315988073,46.93427497267723,47.70021678547373,3.263891104070068,0.9881086915277176
2019-01-29,46.21877192468228,46.984025080204006,47.74927823572573,3.257503605599573,0.8070726369189494
2019-01-30,46.28229908332458,47.030525074005126,47.77875106468567,3.181873855344674,0.7489054423278924
2019-01-31,46.29055868942265,47.09085005164147,47.89114141386028,3.3989251047334554,0.962424940074219
2019-02-01,46.29548124070225,47.14510006904602,47.994718897389795,3.60427203293436,0.9136562018593615
2019-02-04,46.46620075210444,47.23390005111695,48.00159935012945,3.250628460413791,0.9279665974563115
2019-02-05,46.51394407599997,47.30804998636246,48.10215589672495,3.3571703360903995,0.9873084429584195
2019-02-06,46.55230919515257,47.38634995222092,48.22039070928927,3.5201730367893043,1.0081579429789822
2019-02-07,46.59712911731146,47.46189997315407,48.326670828996676,3.644063370121082,0.9649205656477782
2019-02-08,46.65044942782256,47.52174996972084,48.393050511619116,3.666954783666176,0.8398659814101406
2019-02-11,46.699486964392584,47.589349888563156,48.47921281273373,3.7397565894651024,0.8948076366827583
2019-02-12,46.77168068222183,47.65334985136986,48.53501902051789,3.700344978466139,0.828722532531902
2019-02-13,46.87008608950602,47.73157493710518,48.59306378470434,3.609723118226568,0.898685570072942
2019-02-14,46.94410536785165,47.799174867868416,48.654244367885184,3.57775841269412,0.863609981443134
2019-02-15,47.019091535689306,47.86722491383553,48.71535829198175,3.543691449307638,0.8683236653926285
2019-02-19,47.08013649706598,47.9352249777317,48.79031345839742,3.5676831852273647,0.890472149291919
2019-02-20,47.11851939502241,48.00017503619194,48.88183067736147,3.6735517756123404,0.9002839721254483
2019-02-21,47.2090252758732,48.075425049066546,48.94182482225989,3.6043353638957205,0.886989919003903
2019-02-22,47.314947352048186,48.14672505736351,48.978502762678836,3.455178745072771,0.8452090161187837
2019-02-25,47.37259494411085,48.21977494597435,49.06695494783785,3.5138281039788493,0.9356950036978765
2019-02-26,47.41291798872404,48.285024946928026,49.15713190513201,3.6123289121733007,0.9024596698146212
2019-02-27,47.52560237856271,48.36212478399277,49.19864718942283,3.4594113024038915,0.8788742788864251
2019-02-28,47.694446151120324,48.43702479839325,49.17960344566618,3.0661612696639504,0.8124083944970563
2019-03-01,47.780179541927275,48.48747478723526,49.19477003254324,2.9174348567815445,0.7492059815309624
2019-03-04,47.877236877523494,48.53862468838692,49.20001249925034,2.725202104960604,0.751269824870301
2019-03-05,47.98424150922286,48.5854247701168,49.18660803101074,2.4747473701771847,0.7009172951477983
2019-03-06,48.058784851894465,48.62442482113838,49.1900647903823,2.326567239919386,0.7100056820761808
2019-03-07,48.11053983187952,48.65667483448982,49.20280983710012,2.244851315746618,0.7035433131389359
2019-03-08,48.16444398655672,48.6861748957634,49.20790580497008,2.1432405003009656,0.6627523027421587
2019-03-11,48.267270283850316,48.72597484588623,49.18467940792214,1.882792754733932,0.7005920248813238
2019-03-12,48.320995245816924,48.768524832725525,49.216054419634126,1.8353214022511988,0.9183792085536244
2019-03-13,48.39620090388583,48.81942497253418,49.24264904118253,1.733834713892915,1.0098678823517566
2019-03-14,48.42503923079736,48.86594987869263,49.306860526587904,1.8045720956609324,1.0477861881091801
2019-03-15,48.46983327216541,48.91344988822937,49.357066504293336,1.813883981104002,1.0157029334258605
2019-03-18,48.486564089248056,48.966099839210514,49.44563558917297,1.95864384354525,1.1036038850642813
