,SMA_30,SMA_100,SMA_200,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2019-06-04,50.89831654230753,49.51839288973809,49.031653920292854,50.47957133773899,-0.012226066644871025,-0.055672364467000274,0.04344629782212925,50.450657487690265,50.79405006408691,51.137442640483556,1.352097641213437,-0.06939370084087693,41.10502704552179,50.48366638819377,50.53724989891052,50.657118786403075,36.90160179775708,44.77641007710837
2019-06-05,50.892416542371116,49.55668287920952,49.03781391441822,50.49001951324255,-0.0101358677745651,-0.04286573247735548,0.03272986470279038,50.464921306807696,50.775650036334994,51.08637876586229,1.2239281202897103,0.45228921493634294,50.18803691664593,50.662333170572914,50.6272495508194,50.63949016990246,34.072905986235575,39.22325088229851
2019-06-06,50.88984994570414,49.597912879228595,49.04541891777515,50.51248937036053,0.01690509446824251,-0.012659816187638298,0.029564910655880808,50.45239813896002,50.78640002250672,51.12040190605342,1.3153201778376893,0.914070789522331,56.816588707721934,51.0060001373291,51.01900014877319,50.72706847976852,48.884570509751036,39.953026097914574
2019-06-07,50.8915832901001,49.64057287764549,49.053768913865085,50.540195649217026,0.050342716575094926,0.016622244735371293,0.03372047183972363,50.421584027605064,50.80464994907379,51.18771587054252,1.5079955155786322,1.0408331946348932,59.66138201530008,51.16166667938233,51.14850013256073,50.8581825201852,73.89222962641436,52.283235374133675
2019-06-10,50.90958327770234,49.68909288430214,49.064588917851445,50.585913476020146,0.11481564037838154,0.06487613483092633,0.049939505547455215,50.301932489282834,50.850399885177616,51.3988672810724,2.15718026655934,1.279991986691451,66.97552264389856,51.63900022506714,51.59125022888184,51.07701775100206,88.1737921109172,70.31686408236088
2019-06-11,50.93218330701192,49.73611288285256,49.07548391497136,50.632387446282586,0.16920531862577093,0.09541265046265257,0.07379266816311836,50.21582777441806,50.89559982299805,51.57537187157804,2.671240936128332,1.1438922404525265,67.81434427348412,51.78999961217244,51.786999344825745,51.26515609301052,90.82876532571034,84.29826235434732
2019-06-12,50.954383328755696,49.78217289090156,49.085973914742475,50.67570558519527,0.20717781955782044,0.10670812111576167,0.10046969844205877,50.210727970502674,50.95734987735749,51.7039717842123,2.930379655346121,1.02211842703809,66.85773290398996,51.78299973805745,51.81525003910065,51.44321763489271,88.86324083485744,89.28859942382833
2019-06-13,50.973549987475074,49.827212893247605,49.09637391674518,50.71771714688065,0.23536510795482712,0.10791632761021466,0.12744878034461246,50.20022649895811,51.01034992694855,51.82047335493899,3.176310020027742,0.9546532391066422,67.00516342570481,51.74500020345052,51.73424983024597,51.59769232949061,86.88309112019397,88.85836576025393
2019-06-14,50.99918331940969,49.871912895917895,49.10664390957355,50.76317919516786,0.26513723057091454,0.11015076018104164,0.1549864703898729,50.160566514359985,51.054299879074094,51.9480332437882,3.5011090812369683,0.960260034822258,68.93944951825378,51.86199916203817,51.85499939918518,51.7348261154091,88.89523465253346,88.21385553586163
2019-06-17,51.02551663716634,49.91741287493706,49.115848907589914,50.8034858404396,0.2785810037792871,0.09887562671153133,0.17970537706775574,50.139844933873526,51.08964988708496,52.03945484029639,3.7181893213620807,0.8692067303612379,66.17556869616756,51.781665833791095,51.78349926471709,51.83527423041209,89.92026677117299,88.56619751463347
2019-06-18,51.04833338101705,49.96358289885521,49.125313923478124,50.846957047081276,0.2955918200269423,0.09270915436734922,0.20288266565959306,50.130423382396515,51.140299968719475,52.150176555042435,3.9494355212646868,0.8820772020730757,68.11265264112473,51.93399998346965,51.927750039100644,51.943406504536796,91.97796374669736,90.2644883901346
