,SMA_30,SMA_100
2019-01-09,47.27923327128092,48.54491495084763
2019-01-10,47.26579992294311,48.51894494962692
2019-01-11,47.244499996503194,48.492924956321716
2019-01-14,47.221333268483484,48.46696495008469
2019-01-15,47.17713328838348,48.44008495140075
2019-01-16,47.144399940172825,48.414854947090156
2019-01-17,47.10996659755707,48.38977493858338
2019-01-18,47.068599926630654,48.36553494024277
2019-01-22,47.04853323936462,48.34137492322921
2019-01-23,47.022299922307326,48.31428494024277
2019-01-24,47.01359991550446,48.28704494810104
2019-01-25,47.004733333587644,48.26097496938705
2019-01-28,47.00123333056768,48.23737496948242
2019-01-29,46.98806668281555,48.21089498209953
2019-01-30,46.973316687742866,48.184744996309284
2019-01-31,46.98234998544057,48.16547499537468
2019-02-01,46.99811665296555,48.147394987106324
2019-02-04,47.01054998795191,48.13064497232437
2019-02-05,47.03564998865127,48.11540497350693
2019-02-06,47.07101658900579,48.100744967460635
2019-02-07,47.12718322912852,48.086694976568225
2019-02-08,47.20581660747528,48.069294988393786
2019-02-11,47.27001658916473,48.05413498187065
2019-02-12,47.32914990107218,48.04057497429848
2019-02-13,47.393999935785935,48.027959978342054
2019-02-14,47.4538832227389,48.01592995476724
2019-02-15,47.5115165623029,48.00283994698525
2019-02-19,47.59444995323817,47.991209969282146
2019-02-20,47.66468328555425,47.98098996567725
2019-02-21,47.733950002193446,47.97184998202323
2019-02-22,47.799483346144356,47.96249996685982
2019-02-25,47.86751662174861,47.954639953851704
2019-02-26,47.93574994961421,47.94674995160102
2019-02-27,48.00384990930557,47.939369934320446
2019-02-28,48.072083270549776,47.930789950132365
2019-03-01,48.13111658175786,47.92212993359565
2019-03-04,48.18911655187607,47.916959914445876
2019-03-05,48.24191657940547,47.913899912118914
2019-03-06,48.29041661024094,47.912179921865466
2019-03-07,48.3450165549914,47.910314907789235
2019-03-08,48.397049938042954,47.91577491402626
2019-03-11,48.444149885972344,47.92334492325783
2019-03-12,48.49284982919692,47.928624899625774
2019-03-13,48.5527498292923,47.93671492981911
2019-03-14,48.61761647224426,47.941164919614785
2019-03-15,48.66894978046418,47.946344907522196
2019-03-18,48.72551640907923,47.9561349003315
2019-03-19,48.78408315579097,47.9668849041462
2019-03-20,48.83838318109512,47.9769549100399
2019-03-21,48.88704991738002,47.9870949280262
2019-03-22,48.94961660385132,48.00757492947579
2019-03-25,49.00852655728658,48.020617905855175
2019-03-26,49.06072656790415,48.035557916879654
2019-03-27,49.11552659511566,48.053177917242046
2019-03-28,49.16330993493398,48.06969793391227
2019-03-29,49.212943278948465,48.084107923269265
2019-04-01,49.264243284861244,48.098097922086716
2019-04-02,49.31564321835835,48.11597791361809
2019-04-03,49.368643205960595,48.13524291872978
2019-04-04,49.42464314937592,48.154612904787065
2019-04-05,49.478376523653665,48.16887290883064
2019-04-08,49.52867655277252,48.18534290003777
2019-04-09,49.58220983505249,48.205392909288406
2019-04-10,49.63364317258198,48.230042910337446
2019-04-11,49.695376464525864,48.25672291398048
2019-04-12,49.75594318230947,48.28466291308403
2019-04-15,49.815776569048566,48.308982917547226
2019-04-16,49.87380986849466,48.33280292630196
2019-04-17,49.93514320691426,48.36373292183875
2019-04-18,49.99674320062002,48.398017905950546
2019-04-22,50.06427651087443,48.432667908430105
2019-04-23,50.1313765112559,48.46869789338112
2019-04-24,50.19794317086538,48.504307894468305
2019-04-25,50.26180975278218,48.5394978711605
2019-04-26,50.322376459439596,48.569357887506484
2019-04-29,50.37977646509806,48.599777872800836
2019-04-30,50.43064313888549,48.62884787154198
2019-05-01,50.48144310156504,48.655727874994284
2019-05-02,50.52800975640615,48.68671787190438
2019-05-03,50.57157636324565,48.716447860479356
2019-05-06,50.60772633711497,48.75316285920143
2019-05-07,50.64881636937459,48.7866728746891
2019-05-08,50.68181642214458,48.81728287839889
2019-05-09,50.71438313007354,48.84733287668227
2019-05-10,50.74568313121795,48.8767878921032
2019-05-13,50.77758320331574,48.90985789680481
2019-05-14,50.79328315734863,48.94112788343429
2019-05-15,50.81134982268016,48.97281788444519
2019-05-16,50.834749836921695,49.00950789785386
2019-05-17,50.85668314297994,49.04861787462235
2019-05-20,50.875549788475034,49.09179787158966
2019-05-21,50.88204976876577,49.14086787128449
2019-05-22,50.89178313096364,49.186057873725886
2019-05-23,50.901716473897295,49.22983786678314
2019-05-24,50.89691647052765,49.271197854995734
2019-05-28,50.89944981416066,49.31228286671638
2019-05-29,50.90338315804799,49.35249286961555
2019-05-30,50.9101498858134,49.39905289053917
2019-05-31,50.91614985307058,49.441882879495616
2019-06-03,50.91428324540456,49.48191289114952
2019-06-04,50.89831654230753,49.51839288973809
2019-06-05,50.892416542371116,49.55668287920952
2019-06-06,50.88984994570414,49.597912879228595
2019-06-07,50.8915832901001,49.64057287764549
2019-06-10,50.90958327770234,49.68909288430214
2019-06-11,50.93218330701192,49.73611288285256
2019-06-12,50.954383328755696,49.78217289090156
2019-06-13,50.973549987475074,49.827212893247605
2019-06-14,50.99918331940969,49.871912895917895
2019-06-17,51.02551663716634,49.91741287493706
2019-06-18,51.04833338101705,49.96358289885521
2019-06-19,51.087500071525575,50.01150289607049
2019-06-20,51.13866671244303,50.05851289296151
2019-06-21,51.203666674296066,50.11201287412643
2019-06-24,51.26806661287944,50.165212869644165
2019-06-25,51.33639994303385,50.2160728840828
2019-06-26,51.40946660995483,50.264532870531085
2019-06-27,51.48696660041809,50.31574286818504
2019-06-28,51.545299943288164,50.36240288424492
2019-07-01,51.606199986139934,50.40917289376259
2019-07-02,51.67256663004557,50.45541289186477
