,SMA_200,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2018-10-17,53.840029278993605,55.804018600827675,53.08709154621528,55.764650328159334,58.44220911010339,9.60306848940099,0.3072588103348423
2018-10-18,53.848650965929025,55.75239048398135,52.95342463605872,55.66440046072006,58.3753762853814,9.740429438647622,0.2829381529765684
2018-10-19,53.85207335948944,55.67429674751488,52.745910320430035,55.50037536144257,58.25484040245511,9.925933016035525,0.1842626187920542
2018-10-22,53.85708347082138,55.604520448605896,52.58835227773067,55.35115040302277,58.11394852831487,9.982802905361917,0.23647200923644723
2018-10-23,53.86028795742989,55.538460745754456,52.456867510621,55.210625207424165,57.96438290422733,9.975462826068,0.26566072188771456
2018-10-24,53.862606547355654,55.471011300780184,52.340290457986036,55.06505019187928,57.78980992577252,9.896512304623588,0.2712550069162179
2018-10-25,53.86015341830253,55.35567750071763,51.997995176995104,54.88105015993118,57.76410514286725,10.506559092927127,0.09226397438461047
2018-10-26,53.86672869944572,55.29529805760537,51.92765863422431,54.74747515916823,57.567291684112156,10.301174681556821,0.3348343855755335
2018-10-29,53.86975655364991,55.20075688168636,51.79735139218919,54.546800019741056,57.29624864729292,10.081062964488511,0.19770267183521611
2018-10-30,53.869632389545444,55.097393906361205,51.68195300707405,54.32764999389648,56.97334698071891,9.739780708790695,0.16688381326716026
2018-10-31,53.873851425647736,55.017515757038524,51.71734841076632,54.135575106143946,56.55380180152157,8.933965107551531,0.2777143868343468
2018-11-01,53.87806741380692,54.959574002287795,51.89162752301129,53.969250149726875,56.04687277644246,7.699282909996488,0.396697038886538
2018-11-02,53.88378912520408,54.9218260163349,52.02458906062433,53.86547522783279,55.70636139504125,6.835124574403669,0.5357233203766082
2018-11-05,53.88478966093063,54.8479504362427,52.04761894059753,53.73710010528564,55.42658126997375,6.287950638862002,0.29310175339216105
2018-11-06,53.885293418884274,54.78730526260391,52.12976389424081,53.628850030899045,55.12793616755728,5.590595866942941,0.39081630653479094
2018-11-07,53.885612916946414,54.74384228480036,52.36569486380952,53.52789989709854,54.69010493038756,4.342427166106759,0.5650054969591417
2018-11-08,53.89341680598259,54.74914257037806,52.28548750888684,53.58819984197616,54.89091217506549,4.861937280710435,0.9954277672318587
2018-11-09,53.90144855690002,54.75305851532357,52.34941404149749,53.6955248761177,55.041635710737914,5.013866007366009,0.9284469973441607
2018-11-12,53.9041950814724,54.73297773440553,52.35221301533106,53.7190247797966,55.085836544262136,5.08874377399192,0.6909457599382611
2018-11-13,53.90274757504463,54.66631185458255,52.308987893026654,53.701399691104896,55.09381148918314,5.185756073724394,0.2599841178063414
2018-11-14,53.9042700703144,54.601260408556826,52.2762245257797,53.615149760246275,54.95407499471285,4.994577989444832,0.2730830058028426
2018-11-15,53.90153507709503,54.51868157431623,52.15482797050696,53.515549685955044,54.87627140140313,5.085332107894625,0.125180689426499
2018-11-16,53.905080072641375,54.46598818859476,52.1226972606753,53.48624968767166,54.849802114668016,5.098702694463356,0.3858681767232429
2018-11-19,53.915757562875754,54.424223943062444,52.110671096566534,53.46154962778091,54.81242815899529,5.0536452482941225,0.4775887695077478
2018-11-20,53.92969256544113,54.33388185539829,51.918943234392515,53.371574761867535,54.824206289342555,5.443465117738606,0.06937666896992657
2018-11-21,53.934182558536534,54.214631505478124,51.55104328851216,53.2452996635437,54.93955603857523,6.363965967841361,-0.07615298365729187
2018-11-23,53.94156005072594,54.10756751282866,51.35527431932661,53.19302467823028,55.03077503713395,6.90974190702784,0.035158576616290245
2018-11-26,53.95556755542755,53.98958448156206,51.03161961166664,53.05717460393905,55.082729596211465,7.635366969284606,0.0166326276306528
2018-11-27,53.96705754828453,53.902228167095984,50.89871620953777,53.00104962348938,55.10338303744099,7.933176527205549,0.20531525765853348
2018-11-28,53.97686505627632,53.82667024321652,50.829460496237346,52.97157462835312,55.11368876046889,8.087787260034373,0.2675022293980823
2018-11-29,53.99245504760742,53.80409490492951,50.835796733482766,52.98109952926635,55.12640232504994,8.098370229551529,0.562904776929787
2018-11-30,54.00335506010056,53.7716598348531,50.823000313476754,52.952949509620666,55.08289870576458,8.044685766774656,0.5056459347490163
2018-12-03,54.01119006943703,53.759751653980835,50.8363004246898,52.92649955272674,55.016698680763675,7.898497522794327,0.6295335125300482
2018-12-04,54.022947573184965,53.77942808685875,50.81790000392789,52.98767465114594,55.157449298363986,8.189733410658826,0.793538788199696
2018-12-06,54.02705757117271,53.73886222081454,50.79261492497864,52.95984965085984,55.12708437674103,8.18444440521937,0.4504319616230866
2018-12-07,54.03679507756234,53.71876959353033,50.79114826260269,52.93722469568253,55.08330112876237,8.108005077398293,0.56739637156573
2018-12-10,54.03932507729531,53.64758253134891,50.794276261659824,52.78844969272613,54.78262312379244,7.5553400134843915,0.27811604270825935
2018-12-11,54.038477575302124,53.59163810167488,50.88987938881452,52.65704971313477,54.424220037455015,6.711998997085644,0.37662475640506216
2018-12-12,54.034785077691076,53.539613096218304,50.94183186045464,52.55824980616569,54.17466775187674,6.150958038642393,0.4092903712150235
2018-12-13,54.033912576079366,53.486040090243584,50.90594321264153,52.51527498841286,54.12460676418419,6.12900447013338,0.3938150760162104
2018-12-14,54.03536758613587,53.43960720435677,50.88450280302998,52.480000064373016,54.07549732571605,6.080401140952612,0.4442184676351357
2018-12-17,54.03497258031368,53.36325003272159,50.77741700104243,52.42985002398491,54.082283046927394,6.303405492049086,0.21637255994310334
