,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-01-09,-0.3592610242763996,0.029105324571869096,-0.3883663488482687
2019-01-10,-0.3158483878766276,0.05801436877731292,-0.37386275665394053
2019-01-11,-0.2764014687460019,0.07796903032635094,-0.35437049907235285
2019-01-14,-0.2413089495363252,0.09044923962882212,-0.3317581891651473
2019-01-15,-0.2189622926947763,0.09023671717629683,-0.3091990098710731
2019-01-16,-0.18180791070018643,0.10191287933670934,-0.28372079003689576
2019-01-17,-0.14568065235584982,0.11043211014483678,-0.2561127625006866
2019-01-18,-0.10678109004329883,0.11946533796591025,-0.22624642800920908
2019-01-22,-0.06200481013128467,0.13139329430233954,-0.1933981044336242
2019-01-23,-0.03945910631797034,0.1231511984925231,-0.16261030481049343
2019-01-24,-0.017037846652698363,0.11645796652623608,-0.13349581317893444
2019-01-25,0.016836961958794916,0.1202662201101835,-0.10342925815138858
2019-01-28,0.0579429607088926,0.12909777508822495,-0.07115481437933235
2019-01-29,0.07130024256522205,0.11396404555564352,-0.042663802990421475
2019-01-30,0.0768843095372489,0.0956384900221363,-0.018754180484887403
2019-01-31,0.11452551107417719,0.10662375324725168,0.007901757826925515
2019-02-01,0.14406753944170703,0.10893262529182521,0.03513491414988182
2019-02-04,0.16900133563112263,0.10709313718499265,0.06190819844612998
2019-02-05,0.20184685938129832,0.11195092874813467,0.08989593063316365
2019-02-06,0.23740562348326932,0.11800775428008453,0.11939786920318479
2019-02-07,0.26511233613057783,0.11657157354191441,0.14854076258866342
2019-02-08,0.27167339995779827,0.09850610989530786,0.1731672900624904
2019-02-11,0.2879171477650999,0.09179988616208759,0.19611726160301232
2019-02-12,0.29265604315739324,0.07723102524350473,0.21542501791388852
2019-02-13,0.30783165247608935,0.07392530764976066,0.2339063448263287
2019-02-14,0.3164125283913748,0.06600494685203684,0.25040758153933795
2019-02-15,0.325193543390931,0.05982876948127441,0.26536477390965657
2019-02-19,0.33722215509801856,0.05748590495068956,0.279736250147329
2019-02-20,0.3510197243513602,0.05702677936322498,0.2939929449881352
2019-02-21,0.3610205019623294,0.05362204557935529,0.3073984563829741
2019-02-22,0.36274724395740066,0.04427903005954126,0.3184682138978594
2019-02-25,0.3788721957427512,0.04832318547591341,0.3305490102668378
2019-02-26,0.38950158865142726,0.04716206270767154,0.3423395259437557
2019-02-27,0.394108463396762,0.041415149962404973,0.352693313434357
2019-02-28,0.3856483835572817,0.026364056098339694,0.359284327458942
2019-03-01,0.3697590694760038,0.008379793613649378,0.3613792758623544
2019-03-04,0.35556925985147814,-0.00464801280870103,0.36021727266017917
2019-03-05,0.3368900611530279,-0.018661769205721046,0.35555183035874893
2019-03-06,0.3212081042966233,-0.02747498084970057,0.34868308514632385
2019-03-07,0.3066172295332237,-0.033652684490480145,0.3402699140237038
2019-03-08,0.2898567903976783,-0.040330498900820466,0.3301872892984988
2019-03-11,0.2777298006586051,-0.041965990911915,0.3196957915705201
2019-03-12,0.2836504152114472,-0.02883630108725832,0.3124867162987055
2019-03-13,0.29367219079769313,-0.015051620400809873,0.308723811198503
2019-03-14,0.3059947990299534,-0.002183209734839653,0.30817800876479307
2019-03-15,0.3139170709761814,0.004591249769110628,0.30932582120707075
2019-03-18,0.33042695477070794,0.016880906850909705,0.31354604791979823
2019-03-19,0.3478132346704186,0.02741374940049629,0.3203994852699223
2019-03-20,0.3624967625283091,0.03367782180670942,0.3288189407215997
2019-03-21,0.3685138991113348,0.0317559667117881,0.3367579323995467
2019-03-22,0.40484618864287825,0.05447060499466522,0.35037558364821303
2019-03-25,0.40782161851806364,0.045956827895880514,0.36186479062218313
2019-03-26,0.4036465794937385,0.033425431097244274,0.3702211483964942
2019-03-27,0.3972912578868417,0.021656087592277995,0.3756351702945637
2019-03-28,0.3857903203566124,0.008124120049638972,0.37766620030697345
2019-03-29,0.37700971043089027,-0.000525191900866584,0.37753490233175685
2019-04-01,0.3754864481088944,-0.0016387633782899425,0.37712521148718436
2019-04-02,0.37910791248987863,0.0015861608021554008,0.37752175168772323
2019-04-03,0.38967054414792557,0.009719033968161817,0.37995151017976375
2019-04-04,0.4038757427421018,0.01913938604987042,0.3847363566922314
2019-04-05,0.4029838999272073,0.014598034587980702,0.3883858653392266
2019-04-08,0.40838216401999716,0.015997038944616404,0.39238512507538076
2019-04-09,0.41800886082261,0.020498988597783374,0.39750987222482664
2019-04-10,0.4164797694475837,0.015175917778205594,0.4013038516693781
2019-04-11,0.4276068286416219,0.021042381577795033,0.4065644470638269
2019-04-12,0.4237936033331877,0.013783325015488679,0.41001027831769904
2019-04-15,0.416694358380191,0.0053472640499935276,0.41134709433019745
2019-04-16,0.39856596185964577,-0.010224905976441379,0.40879086783608715
2019-04-17,0.3905102150711386,-0.014624522211958868,0.40513473728309746
2019-04-18,0.3817426729742337,-0.01871365144709103,0.4004563244213247
2019-04-22,0.38288793358341877,-0.014054712670324765,0.39694264625374354
2019-04-23,0.3826924611200866,-0.011400148106925578,0.39409260922701217
2019-04-24,0.39548860376554273,0.0011167956308243965,0.39437180813471834
2019-04-25,0.40316095544698527,0.007031317849813534,0.39612963759717174
2019-04-26,0.4044979743620942,0.00669466941193797,0.39780330495015626
2019-04-29,0.3951123300614441,-0.0021527799109697376,0.3972651099724138
2019-04-30,0.3815012543804812,-0.012611084473546141,0.39411233885402736
2019-05-01,0.3745467981410755,-0.01565243257036153,0.39019923071143703
2019-05-02,0.3597242995704022,-0.02437994491282791,0.3841042444832301
2019-05-03,0.33547617194439283,-0.03890245803106984,0.3743786299754627
