,SMA_30,SMA_100,SMA_200,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2018-10-17,60.164616990089414,59.722945103168485,58.38411433243751,59.89784209529585,-0.6535535619427648,-0.29011228117356846,-0.36344128076919635,57.24479851414555,60.015875308513635,62.78695210288172,9.234479311093176,0.3028064179223333,44.51626665552931,58.690332190195726,58.56049962043762,57.89709281418357,33.1788117687436,22.327737341190105
2018-10-18,60.101916995048526,59.725535113811496,58.39516852164268,59.850122851445256,-0.6359180559051936,-0.21798142010879779,-0.4179366357963958,57.10461398718546,59.925925390720366,62.74723679425527,9.415996115670469,0.27937139231513863,43.11986858749792,58.652668428421016,58.7312514424324,57.81203501219279,35.87020383841039,29.73623327450693
2018-10-19,60.02021695772807,59.72171510505677,58.4000484161377,59.768588635216055,-0.687446810099452,-0.21560813944244495,-0.471838670657007,56.84046362590276,59.76357529163361,62.68668695736446,9.782251652337344,0.15916886149220877,38.259723276446344,57.92633358637491,58.0562506198883,57.59350881911898,36.84246467388166,35.29716009367855
2018-10-22,59.94468362808228,59.714255140304566,58.40429353189468,59.69052639458703,-0.7194256922616091,-0.19806961728368166,-0.5213560749779275,56.607179427467685,59.6139253616333,62.620671295798914,10.087394567379773,0.1946992026170731,38.31732664871868,57.97266697883606,57.98674983978272,57.48094773879418,29.470131803465176,34.06093343858574
2018-10-23,59.877316950162246,59.71042511034012,58.40786301922798,59.630858610785126,-0.7050911919442129,-0.14698809357302833,-0.5581030983711845,56.471605863415455,59.474175164699545,62.476744465983636,10.097052352451097,0.2826565973843102,41.59465019127118,58.11399949391683,58.08199898004532,57.545088750923085,26.17347598060238,30.82869081931641
2018-10-24,59.790983565648396,59.69793513202668,58.410409105777745,59.56553080754128,-0.702098597850032,-0.11519639958307792,-0.5869021982669541,56.33056777334119,59.32787518024444,62.325182587147694,10.104212894182076,0.2726500209757411,40.388902060852395,57.666666666666664,57.567500436306005,57.651333746962486,28.25565886706411,27.966422217043895
2018-10-25,59.64598358949025,59.66351510095596,58.40420097851753,59.42849034085688,-0.8428412258274633,-0.20475122204840734,-0.638090003779056,55.854964281250936,59.09527510404587,62.3355859268408,10.966395594537433,0.033335478855690354,31.313124482732572,56.70399839083353,57.00162365436554,57.313283882245926,20.8329164906448,25.087350446103766
2018-10-26,59.52995034694672,59.641075105190275,58.40677625823021,59.35129473620888,-0.832700939114261,-0.15568874826816403,-0.677012190846097,55.72496482667219,58.919625141620635,62.11428545656908,10.844129803167213,0.2715527512490123,41.66580665946638,57.24699950218201,57.09849932193757,57.33830768480409,22.4873308948999,23.858635417536274
2018-10-29,59.390550225575765,59.608375096321105,58.40601660728455,59.24642033925586,-0.8777287226850277,-0.1605732254711445,-0.7171554972138832,55.5307371673145,58.696124951839444,61.86151273636439,10.78567890852136,0.18106161466159715,38.172951120229875,56.718333212534596,56.645624923706066,57.199706035551166,18.135818574408628,20.485355319984446
2018-10-30,59.246750262578324,59.57110509109498,58.39888744544983,59.11648233131563,-0.962354440493506,-0.19615915462369826,-0.7661952858698078,55.28821078981373,58.425074944496146,61.56193909917856,10.738074902471023,0.1027762624026247,35.157131280589304,56.17333224614461,56.432374036312105,56.9784746602865,24.21586134853992,21.613003605949487
2018-10-31,59.105216938654586,59.53866510105133,58.39586897850037,59.00736542262357,-0.9857010330703986,-0.17560459776047255,-0.810096435309926,55.2179139712944,58.17367511034011,61.129436249385826,10.16185115841285,0.18879860987919658,38.00026754442531,56.1089998404185,56.049374508857724,56.69629047016522,22.63114371298099,21.660941211976517
2018-11-01,58.997983662287396,59.516335105896,58.394989965438846,58.93895899200914,-0.9186511781481954,-0.0868437942706155,-0.8318073838775799,55.402917664411994,57.96347515583038,60.52403264724877,8.83507237802607,0.3632185146745545,44.113850056480274,57.25066634813945,57.16824927330017,56.587270850925634,35.222530728758564,27.356511930093163
