index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-07-25,60.63500194549561,0,650,0.0,39412.75126457214,109309.6757364273,148722.42700099945,-0.0009649492310781493,-0.008517153326669913,-0.003631478262188126,-0.018438167231596858,0.0013151670479691902,-0.03448912504798374
2022-07-26,60.17000064849854,0,650,0.0,39110.50042152405,109309.6757364273,148420.17615795135,-0.0020323151601476797,-0.010532158946990444,-0.007668859273972761,-0.0259656267958005,-0.01154320266205866,-0.04563421274997648
2022-07-27,61.45100116729736,0,650,0.0,39943.150758743286,109309.6757364273,149252.8264951706,0.005610088592895357,-0.004981156698862121,0.02128968763490935,-0.005228739244618419,0.026156273782937722,-0.020671559929596017
2022-07-28,62.21599941253663,0,650,0.0,40440.39961814881,109309.6757364273,149750.0753545761,0.003331587555707838,-0.0016661643028252904,0.012448914268403888,0.007155082897197351,0.012133338697180918,-0.00878903627043992
2022-07-29,62.72700033187866,0,650,0.0,40772.55021572113,109309.6757364273,150082.22595214844,0.0022180329244301245,0.0005481730143237495,0.00821333618630371,0.015427186184776565,0.014207760082581844,0.005293851293454388
2022-08-01,62.7289999961853,0,650,0.0,40773.84999752045,109309.6757364273,150083.52573394775,8.66046456238223e-06,0.000556838226319023,3.1878844772625925e-05,0.015459556830422772,-0.0028230841271976725,0.0024558221786983303
2022-08-02,62.34899997711181,0,650,0.0,40526.84998512267,109309.6757364273,149836.52572155,-0.0016457503326222644,-0.0010898285229994364,-0.006057804509821629,0.00930810134751403,-0.006662395550704803,-0.0042229350307632085
2022-08-03,63.1900016784668,0,650,0.0,41073.50109100342,109309.6757364273,150383.17682743073,0.0036483167455216847,0.0025545121828720596,0.013488615722204278,0.02292227047189832,0.015638477163140152,0.01134950185933703
2022-08-04,63.46199913024901,0,650,0.0,41250.29943466186,109309.6757364273,150559.97517108917,0.0011756524059958195,0.00373316780726185,0.004304438116115694,0.027325376082741215,-0.0007773401640558397,0.01056333927164399
2022-08-05,63.16900157928467,0,650,0.0,41059.851026535034,109309.6757364273,150369.52676296234,-0.001264933843874605,0.002463511753082903,-0.00461689759194317,0.022582320027762615,-0.0016257460597355333,0.00892041990470993
2022-08-08,63.04899988174439,0,650,0.0,40981.84992313386,109309.6757364273,150291.52565956116,-0.0005187294598868464,0.0019435043970750243,-0.001899692800901076,0.020639727756077253,-0.0012375507238541195,0.007671829708745692
2022-08-09,62.67200050354004,0,650,0.0,40736.800327301025,109309.6757364273,150046.47606372833,-0.0016304950978267563,0.00030984042485626695,-0.005979466429466895,0.014536846767379652,-0.004248692893594086,0.0033905415667871974
2022-08-10,63.52300004959107,0,650,0.0,41289.95003223419,109309.6757364273,150599.6257686615,0.0036865224658673146,0.00399750512441055,0.013578624253472782,0.028312861400936917,0.021290637641290244,0.02475336599998368
2022-08-11,63.280998611450194,0,650,0.0,41132.64909744263,109309.6757364273,150442.32483386993,-0.0010444975144440205,0.002948832225800002,-0.003809666387795785,0.024395332456719654,-0.0007054739583503,0.02403042918653897
2022-08-12,63.9549994468689,0,650,0.0,41570.74964046478,109309.6757364273,150880.4253768921,0.002912083042494462,0.005869502512614311,0.010650919710624596,0.0353060848946547,0.017322368774566943,0.041769061917286354
2022-08-15,64.2439986228943,0,650,0.0,41758.599104881294,109309.6757364273,151068.2748413086,0.0012450221024182806,0.007121832275390982,0.004518789438274995,0.03998441509645856,0.0039695418998517695,0.04590440785853622
