index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-06-03,216.56400299072263,1,400,400.0,86625.60119628905,63374.39880371095,150000.0,,,,,,
2022-06-06,216.94799766540527,1,400,0.0,86779.19906616211,63374.39880371095,150153.59786987305,0.0010239857991536372,0.0010239857991536372,0.0017731232770901162,0.0017731232770901162,0.003137400778913113,0.003137400778913113
2022-06-07,218.59199676513677,1,400,0.0,87436.7987060547,63374.39880371095,150811.19750976565,0.00437951304012385,0.005407983398437732,0.007577848689191535,0.009364408426182802,0.009523393173235029,0.01269067265330781
2022-06-08,216.62900161743167,1,400,0.0,86651.60064697267,63374.39880371095,150025.99945068362,-0.005206497077454686,0.00017332967122407617,-0.008980178491229118,0.00030013587582189416,-0.010793945785935621,0.0017597444347652313
2022-06-09,212.1759969711304,1,400,0.0,84870.39878845215,63374.39880371095,148244.7975921631,-0.011872621179278009,-0.01170134938557954,-0.020555902547920724,-0.020261936235913325,-0.02379869397635359,-0.022080829160867954
2022-06-10,206.9960023880005,1,400,0.0,82798.4009552002,63374.39880371095,146172.79975891113,-0.013976867093523526,-0.0255146682739259,-0.024413669109963898,-0.04418093713908644,-0.029110303335524668,-0.05054835286161985
2022-06-13,200.0494025230408,0,200,-200.0,40009.88050460816,103384.27930831912,143394.15981292728,-0.019009281826487423,-0.04403893458048491,-0.03355910155182007,-0.07625736613480127,-0.038768430665237275,-0.0873571032136995
2022-06-14,199.37600317001343,0,200,0.0,39875.200634002686,103384.27930831912,143259.4799423218,-0.0009392284231183323,-0.044936800384521414,-0.003366165279847899,-0.0793668365164335,-0.0037736797459957394,-0.09080112522862882
2022-06-15,201.92099618911743,0,200,0.0,40384.199237823486,103384.27930831912,143768.4785461426,0.0035529837468748493,-0.041543476359049314,0.012764791041245838,-0.06761514655892464,0.014592504858983224,-0.0775336362307455
2022-06-16,196.99349565505983,0,200,0.0,39398.69913101196,103384.27930831912,142782.97843933108,-0.006854771760662626,-0.04811347707112612,-0.02440311125170236,-0.09036823786684944,-0.03251195148816344,-0.10752481789907398
2022-06-17,197.17600088119508,0,200,0.0,39435.200176239014,103384.27930831912,142819.47948455813,0.0002556400323485697,-0.04787013676961238,0.0009264530563730666,-0.08952550674064719,0.002200865698254617,-0.10556059988424449
2022-06-21,200.9130033493042,0,200,0.0,40182.60066986084,103384.27930831912,143566.87997817996,0.005233183150640475,-0.04288746681213351,0.01895262329800862,-0.0722696266474574,0.024477242280086964,-0.08366718998275546
2022-06-22,200.9689949989319,0,200,0.0,40193.79899978638,103384.27930831912,143578.0783081055,7.800078909037111e-05,-0.04281281127929659,0.00027868604169101197,-0.0720110811419512,-0.0013015723144006452,-0.08485986339905083
2022-06-23,202.71100282669067,0,200,0.0,40542.200565338135,103384.27930831912,143926.47987365726,0.002426565180821738,-0.04049013417561831,0.008668042688714461,-0.06396723357863565,0.009532217409177868,-0.07613654865710584
2022-06-24,207.4089996337891,0,200,0.0,41481.79992675782,103384.27930831912,144866.07923507693,0.006528328645600823,-0.03422613843282041,0.023175835260974997,-0.042273892385179423,0.03056329358583576,-0.04790023876048943
2022-06-27,206.65699615478516,1,400,200.0,82662.79846191406,62052.88007736209,144715.67853927615,-0.001038205055282293,-0.035228809738159006,-0.003625703225663912,-0.04574632302286097,-0.0029730715337762392,-0.05073089945794573
2022-06-28,203.4449934005737,1,400,0.0,81377.99736022948,62052.88007736209,143430.87743759155,-0.008878105777155976,-0.04379415041605628,-0.015542676096025665,-0.06057797883755811,-0.020143036075892073,-0.06985206119589393
2022-06-29,203.55899810791016,1,400,0.0,81423.59924316406,62052.88007736209,143476.47932052615,0.0003179363031815541,-0.04349013786315903,0.0005603711619091012,-0.060051553828036286,-0.0007117454091590814,-0.07051408972117656
2022-06-30,202.39599618911743,1,400,0.0,80958.39847564697,62052.88007736209,143011.27855300906,-0.003242348639443726,-0.04659147631327287,-0.0057133407493792365,-0.06542179958786631,-0.008759278267998716,-0.07865571545549288
2022-07-01,204.3379981994629,1,400,0.0,81735.19927978516,62052.88007736209,143788.07935714725,0.005431745048347647,-0.041412804285685056,0.009595061398995686,-0.056454464372749036,0.010553814029047315,-0.0689320192196845
2022-07-05,204.74799995422367,1,400,0.0,81899.19998168947,62052.88007736209,143952.08005905157,0.0011405723105666343,-0.040319466272989546,0.002006488065722012,-0.054561251516047626,0.0015841285142366157,-0.06745708788263771
2022-07-06,204.9409997940064,1,400,0.0,81976.39991760255,62052.88007736209,144029.27999496466,0.0005362891309483864,-0.03980480003356901,0.0009426213678564999,-0.05367006074972713,0.0035731642904301975,-0.06412495884976621
2022-07-07,207.17199630737304,1,400,0.0,82868.79852294922,62052.88007736209,144921.6786003113,0.006195952693631712,-0.03385547599792471,0.010886042888485381,-0.0433682724443909,0.014964587965241805,-0.05011997447199923
2022-07-08,206.8899967193604,1,400,0.0,82755.99868774416,62052.88007736209,144808.87876510626,-0.0007783503220117893,-0.03460747489929161,-0.0013611858409389166,-0.044670426006932495,-0.000830271529819071,-0.05090863281393898
2022-07-11,205.1880058288574,1,400,0.0,82075.20233154295,62052.88007736209,144128.08240890503,-0.0047013440198342415,-0.03914611727396655,-0.008226549941956374,-0.05252949245841432,-0.011527461422777274,-0.06184924693586724
2022-07-12,203.80300531387329,1,400,0.0,81521.20212554932,62052.88007736209,143574.0822029114,-0.0038438047376628814,-0.04283945198059069,-0.006749909720060843,-0.058924832846740216,-0.009243878717321574,-0.07052139871575602
2022-07-13,203.0589960098267,1,400,0.0,81223.59840393068,62052.88007736209,143276.47848129278,-0.0020728234306106597,-0.044823476791381434,-0.003650629699502028,-0.062360349801413695,-0.0044569025122100925,-0.07466399422886527
2022-07-14,202.59000177383425,1,400,0.0,81036.00070953369,62052.88007736209,143088.88078689578,-0.0013093404890007765,-0.04607412808736144,-0.0023096452026668546,-0.0645259647213251,-0.00299863390215227,-0.07743873814665281
2022-07-15,205.62800149917604,1,400,0.0,82251.20059967041,62052.88007736209,144304.0806770325,0.00849262279119034,-0.03797279548645005,0.014995802846841988,-0.050497780519946356,0.01920124935943668,-0.05972440930845013
2022-07-18,204.3470003128052,1,400,0.0,81738.80012512207,62052.88007736209,143791.68020248416,-0.0035508384249725022,-0.041388798650105696,-0.006229702068937248,-0.0564128964611017,-0.008363571580831342,-0.06758847151690739
2022-07-19,208.47400159835817,1,400,0.0,83389.60063934326,62052.88007736209,145442.48071670535,0.011480500901697388,-0.030383461888631058,0.020196045350485026,-0.03735616852589729,0.02762829164595959,-0.041827533873921574
2022-07-20,209.41100540161136,1,400,0.0,83764.40216064455,62052.88007736209,145817.28223800665,0.0025769742062591305,-0.027884785079955732,0.004494583478367842,-0.033029485465401076,0.005895806193263242,-0.03617833471392118
2022-07-21,211.3719975471497,1,400,0.0,84548.79901885988,62052.88007736209,146601.67909622198,0.00537931338574138,-0.02265547269185353,0.0093643222894495,-0.02397446192290431,0.00986137270919718,-0.026673730047336086
2022-07-22,210.2199975967407,1,400,0.0,84087.99903869629,62052.88007736209,146140.87911605838,-0.0031432107940670972,-0.025727472559610942,-0.005450106749130823,-0.02929390529530229,-0.00933246697634671,-0.035757265318880016
2022-07-25,210.2229963302612,1,400,0.0,84089.19853210448,62052.88007736209,146142.07860946655,8.207788371183966e-06,-0.025719475936889835,1.426473958132668e-05,-0.02928005842565129,0.0013151670479691902,-0.03448912504798374
2022-07-26,208.2419984817505,1,400,0.0,83296.7993927002,62052.88007736209,145349.67947006228,-0.005422114882612128,-0.03100213686625153,-0.009423316588060282,-0.038427459753449744,-0.01154320266205866,-0.04563421274997648
2022-07-27,212.5769975662232,1,400,0.0,85030.79902648929,62052.88007736209,147083.67910385138,0.01192984834993216,-0.01944213930765759,0.020817121983453424,-0.018410286887198146,0.026156273782937722,-0.020671559929596017
2022-07-28,215.00199794769287,1,400,0.0,86000.79917907715,62052.88007736209,148053.67925643924,0.006594886383709309,-0.012975471623738577,0.011407633042301413,-0.007212671641909418,0.012133338697180918,-0.00878903627043992
2022-07-29,217.44500036239623,1,400,0.0,86978.0001449585,62052.88007736209,149030.8802223206,0.006600315309886806,-0.0064607985178629646,0.011362696337815947,0.004068069298255095,0.014207760082581844,0.005293851293454388
2022-08-01,216.87900609970092,1,400,0.0,86751.60243988037,62052.88007736209,148804.48251724246,-0.0015191328450882002,-0.007970116551717199,-0.002602930680181248,0.001454549715688369,-0.0028230841271976725,0.0024558221786983303
2022-08-02,215.3670022964478,1,400,0.0,86146.80091857912,62052.88007736209,148199.68099594122,-0.0040644039149234645,-0.012002126693725468,-0.006971646681920185,-0.005527237572930832,-0.006662395550704803,-0.0042229350307632085
2022-08-03,218.04800033569336,1,400,0.0,87219.20013427734,62052.88007736209,149272.08021163943,0.007236177625291829,-0.004852798589070728,0.012448508873960318,0.006852465435054356,0.015638477163140152,0.01134950185933703
2022-08-04,218.0280040740967,1,400,0.0,87211.20162963869,62052.88007736209,149264.0817070008,-5.3583393674894175e-05,-0.004906121953328402,-9.17057783875741e-05,0.006760131245990175,-0.0007773401640558397,0.01056333927164399
2022-08-05,217.27099742889405,1,400,0.0,86908.39897155762,62052.88007736209,148961.2790489197,-0.0020286371283579907,-0.006924806340535605,-0.003472061529056547,0.0032645981253029976,-0.0016257460597355333,0.00892041990470993
2022-08-08,217.37700357437137,1,400,0.0,86950.80142974855,62052.88007736209,149003.68150711065,0.000284654230023218,-0.00664212328592928,0.00048789827787310003,0.0037540891949794375,-0.0012375507238541195,0.007671829708745692
2022-08-09,216.4959957122803,1,400,0.0,86598.39828491211,62052.88007736209,148651.2783622742,-0.0023650633412010125,-0.00899147758483898,-0.004052902779983603,-0.0003140285435387913,-0.004248692893594086,0.0033905415667871974
2022-08-10,220.0889973640442,1,400,0.0,88035.59894561768,62052.88007736209,150088.47902297977,0.009668269768948745,0.000589860153198174,0.016596157540663903,0.016276917329944185,0.021290637641290244,0.02475336599998368
2022-08-11,220.02299461364743,1,400,0.0,88009.19784545897,62052.88007736209,150062.07792282104,-0.00017590357588126437,0.00041385281880668146,-0.0002998911857805542,0.015972144840124658,-0.0007054739583503,0.02403042918653897
2022-08-12,222.91500082015992,1,400,0.0,89166.00032806396,62052.88007736209,151218.88040542605,0.007708826231234589,0.008125869369506766,0.01314410892184581,0.029326193373464537,0.017322368774566943,0.041769061917286354
2022-08-15,223.73200674057009,1,400,0.0,89492.80269622803,62052.88007736209,151545.68277359012,0.0021611214637211607,0.01030455182393375,0.003665100676958577,0.03309877750160872,0.0039695418998517695,0.04590440785853622
2022-08-16,223.98500280380253,1,400,0.0,89594.00112152101,62052.88007736209,151646.88119888311,0.000667775046051311,0.010979207992553919,0.001130799597778731,0.034267005183673316,0.0018756797165810912,0.0478661895418393
2022-08-17,222.4250046730041,1,400,0.0,88970.00186920165,62052.88007736209,151022.88194656372,-0.004114817577428598,0.006819212977091205,-0.0069647436715434274,0.027063600604634086,-0.007237794954094601,0.04028194892260695
2022-08-18,223.00299549102783,1,400,0.0,89201.19819641113,62052.88007736209,151254.07827377322,0.0015308695227476132,0.008360521825154565,0.002598587415445719,0.029732515152027572,0.002269561170191503,0.04264293243993289
2022-08-19,220.4249931335449,1,400,0.0,88169.99725341795,62052.88007736209,150222.87733078003,-0.006817673643990552,0.0014858488718667573,-0.011560393401023439,0.01782840217904491,-0.012900001139847905,0.029192837423003493
2022-08-22,216.6849961280823,0,200,-200.0,43336.99922561646,105389.87930297854,148726.878528595,-0.009958528479593332,-0.008487476476033429,-0.016967209354506796,0.0005586945923099496,-0.0214000649197158,0.0071680438872447905
2022-08-23,216.35200452804568,0,200,0.0,43270.40090560914,105389.87930297854,148660.28020858768,-0.00044778940206502416,-0.00893146527608224,-0.0015367543022674068,-0.0009789182862758317,-0.0022378626777133093,0.004914140111643928
2022-08-24,216.78299350738527,0,200,0.0,43356.59870147705,105389.87930297854,148746.4780044556,0.0005798307103079825,-0.008356813303629362,0.0019920729659046454,0.00101120460297488,0.0029161604463010526,0.00784463097896615
2022-08-25,219.24900150299072,0,200,0.0,43849.800300598145,105389.87930297854,149239.6796035767,0.0033157195097170966,-0.005068802642822168,0.011375467953953944,0.012398175482484897,0.014091605518061545,0.022046779942218153
2022-08-26,213.3146989822388,0,200,0.0,42662.93979644776,105389.87930297854,148052.8190994263,-0.007952714099246472,-0.012981206003824797,-0.027066497361772357,-0.015003897063274874,-0.03368805871951874,-0.012383991994570298
2022-08-29,212.19199562072757,0,200,0.0,42438.399124145515,105389.87930297854,147828.27842712405,-0.001516625442649966,-0.014478143819173117,-0.005263131733855397,-0.020188061310365102,-0.006666355799502699,-0.01896779169721896
2022-08-30,210.28100166320803,0,200,0.0,42056.20033264161,105389.87930297854,147446.07963562015,-0.002585424085096988,-0.017026135762532535,-0.009005966280345667,-0.029012214591284113,-0.011028155571448206,-0.029786767510983414
2022-08-31,208.97899675369263,0,200,0.0,41795.799350738525,105389.87930297854,147185.67865371707,-0.0017660759956901195,-0.01876214230855311,-0.006191738194212815,-0.03502431674831341,-0.007817025105971265,-0.03737094870749558
2022-09-01,209.2580040931702,0,200,0.0,41851.60081863404,105389.87930297854,147241.48012161258,0.0003791229446092892,-0.018390132522583036,0.0013350975160744127,-0.033735980110531916,0.0029962320243361873,-0.03448668871645666
2022-09-02,207.79099969863893,0,200,0.0,41558.19993972778,105389.87930297854,146948.07924270633,-0.0019926509748742216,-0.02034613838195809,-0.007010505528276534,-0.04050997936374179,-0.010736500458081055,-0.04485292282533582
2022-09-06,206.80399713516235,0,200,0.0,41360.79942703247,105389.87930297854,146750.67873001102,-0.0013433350998026672,-0.02166214179992687,-0.004749977452863874,-0.04506753532801189,-0.004095056983834944,-0.048764304534309466
2022-09-07,209.90700263977047,0,200,0.0,41981.400527954094,105389.87930297854,147371.27983093265,0.004228948760526041,-0.017524801127115963,0.015004572191997134,-0.03073918222335925,0.018341016392734,-0.03131767505041949
2022-09-08,210.77399930953985,0,200,0.0,42154.799861907966,105389.87930297854,147544.6791648865,0.001176615512552992,-0.016368805567423594,0.004130384688772137,-0.026735762182187872,0.006610721877456038,-0.0249139856125703
2022-09-09,213.45300397872924,0,200,0.0,42690.60079574585,105389.87930297854,148080.4800987244,0.0036314487033388687,-0.01279679934183775,0.012710318530584352,-0.014365263705097053,0.015271449816332883,-0.010023008477244577
2022-09-12,215.2710063934326,0,200,0.0,43054.20127868652,105389.87930297854,148444.08058166507,0.002455424798043948,-0.010372796122233297,0.0085171085944733,-0.005970505621588296,0.0105842727693497,0.00045517803641237364
2022-09-13,207.62200527191163,0,200,0.0,41524.401054382324,105389.87930297854,146914.28035736087,-0.010305565693895069,-0.020571464284261265,-0.03553196154776894,-0.041290323393190276,-0.0432366134006168,-0.04280111572099321
2022-09-14,208.14699678421024,0,200,0.0,41629.39935684205,105389.87930297854,147019.2786598206,0.0007146909218376241,-0.01987147560119651,0.002528592822379494,-0.03886613698617658,0.0033870120853238816,-0.03955907153188165
2022-09-15,206.142001914978,0,200,0.0,41228.400382995605,105389.87930297854,146618.27968597415,-0.0027275264679694766,-0.022544802093506067,-0.009632590910311545,-0.048124346298636156,-0.011317739184353415,-0.05042909146226204
2022-09-16,205.02300148010255,0,200,0.0,41004.60029602051,105389.87930297854,146394.47959899905,-0.0015264132648018514,-0.024036802673340074,-0.0054282990583208734,-0.05329141201326182,-0.007182134089448455,-0.05724903705481943
2022-09-19,206.1460010528565,0,200,0.0,41229.200210571296,105389.87930297854,146619.07951354983,0.0015342102732698315,-0.022539469909668264,0.005477432115649439,-0.04810587998926208,0.006857100716286535,-0.05078449875152824
2022-09-20,204.11799697875972,0,200,0.0,40823.599395751946,105389.87930297854,146213.4786987305,-0.002766357667535746,-0.02524347534179716,-0.009837707565216292,-0.05747033597497664,-0.011272103097361819,-0.06148415374321503
2022-09-21,201.50600185394288,0,200,0.0,40301.200370788574,105389.87930297854,145691.07967376712,-0.003572851351411832,-0.028726135508219675,-0.01279649596546184,-0.06953141301800092,-0.017116493600784488,-0.07754825421990408
2022-09-22,199.84900035858155,0,200,0.0,39969.80007171631,105389.87930297854,145359.67937469485,-0.002274678036667366,-0.030935470835368184,-0.008223087551319508,-0.0771827376725065,-0.00842758097968943,-0.0853222910073217
2022-09-23,197.18250675201415,0,200,0.0,39436.50135040283,105389.87930297854,144826.38065338138,-0.0036688215302043137,-0.03449079564412472,-0.013342541627844096,-0.0894954654100042,-0.017232619015461026,-0.10108458348832727
2022-09-26,194.5629996299744,0,200,0.0,38912.59992599488,105389.87930297854,144302.47922897342,-0.0036174447089293293,-0.03798347180684447,-0.013284683135376563,-0.10159122964535583,-0.010340526208282075,-0.11037984191179506
2022-09-27,194.0629963874817,0,200,0.0,38812.59927749634,105389.87930297854,144202.47858047488,-0.0006929932807312467,-0.03865014279683476,-0.0025698783604468645,-0.10390003090312594,-0.0021203598092424114,-0.11226615674049722
2022-09-28,197.58399620056156,0,200,0.0,39516.79924011231,105389.87930297854,144906.67854309085,0.004883410947912115,-0.03395547637939511,0.018143591919242308,-0.08764155874498658,0.019672139926234733,-0.09480253235864211
2022-09-29,194.34899921417235,0,200,0.0,38869.79984283447,105389.87930297854,144259.67914581302,-0.004464938426460674,-0.03826880569458069,-0.01637276828385159,-0.10257939209547096,-0.021126437880238824,-0.11392613042811672
2022-09-30,191.9629970550537,0,200,0.0,38392.59941101074,105389.87930297854,143782.4787139893,-0.0033079266129615315,-0.0414501419067389,-0.012276894497868063,-0.11359693021892747,-0.015066695771983274,-0.12727633585246023
2022-10-03,196.0700063705444,0,200,0.0,39214.00127410888,105389.87930297854,144603.88057708743,0.005712809171499078,-0.03597412948608458,0.021394796801973426,-0.094632516656316,0.025883894952576147,-0.104686848207038
2022-10-04,200.73400268554687,0,200,0.0,40146.800537109375,105389.87930297854,145536.67984008792,0.006450720819371147,-0.029755467732748064,0.02378740329200668,-0.07309617520255063,0.030583700679551518,-0.0773048587581362
2022-10-05,200.12999687194824,1,400,200.0,80051.9987487793,65363.879928588896,145415.8786773682,-0.0008300392921734012,-0.030560808817546303,-0.0030089860487901854,-0.07588521587993646,-0.002017948757084831,-0.07916681027157346
2022-10-06,198.4730010032654,1,400,0.0,79389.20040130617,65363.879928588896,144753.08032989508,-0.004557950297461311,-0.034979464467366994,-0.008279597734381805,-0.08353651455284572,-0.010245080846639998,-0.08860082074661058
2022-10-07,194.04999465942385,1,400,0.0,77619.99786376953,65363.879928588896,142983.87779235843,-0.012222209941954998,-0.04677414805094471,-0.02228517894869131,-0.10396006732597696,-0.028003617786773516,-0.11412329501360152
2022-10-10,192.83799800872805,1,400,0.0,77135.19920349123,65363.879928588896,142499.07913208014,-0.00339058268500958,-0.05000613911946672,-0.006245795846699043,-0.10955654981594887,-0.00749246363390188,-0.12076069400983291
2022-10-11,191.87800483703612,0,200,-200.0,38375.60096740723,103739.48089599612,142115.08186340335,-0.0026947350889254817,-0.052566120910645275,-0.004978236559210147,-0.11398938795356428,-0.006519175777754405,-0.1264926095962936
2022-10-12,191.5400057792664,0,200,0.0,38308.00115585328,103739.48089599612,142047.4820518494,-0.0004756695114099818,-0.05301678632100493,-0.0017615310210087332,-0.11555012313162705,-0.0032907731480149582,-0.12936712426122676
2022-10-13,195.13700370788573,1,400,200.0,78054.8014831543,64712.080154418974,142766.88163757327,0.005064500794609517,-0.04822078908284577,0.018779355853025148,-0.09894072415975164,0.02596564246086497,-0.10676058229511909
2022-10-14,191.62299785614016,1,400,0.0,76649.19914245607,64712.080154418974,141361.27929687506,-0.009845437012951375,-0.0575914713541672,-0.018007890789416447,-0.11516690119387352,-0.02366266361565439,-0.12789700616451272
2022-10-17,195.4249941825867,1,400,0.0,78169.99767303467,64712.080154418974,142882.07782745364,0.010758239725495944,-0.04745281448364347,0.01984102309734692,-0.09761090724316412,0.026480052302171098,-0.10480367327486906
2022-10-18,197.1739947319031,1,400,0.0,78869.59789276123,64712.080154418974,143581.6780471802,0.004896346906232862,-0.042788813018799665,0.008949728035720472,-0.08953477028058987,0.011427569666488724,-0.09457375488603281
2022-10-19,195.9010036468506,1,400,0.0,78360.40145874023,64712.080154418974,143072.4816131592,-0.0035463886545028522,-0.04618345591227302,-0.006456181439055242,-0.09541289899760952,-0.0066720972934503076,-0.10061484688547662
2022-10-20,194.45400562286372,1,400,0.0,77781.6022491455,64712.080154418974,142493.68240356445,-0.004045496402024562,-0.05004211730957142,-0.00738637371452866,-0.10209451738295527,-0.007950909706564868,-0.10776577702931522
2022-10-21,198.2409997940064,1,400,0.0,79296.39991760255,64712.080154418974,144008.48007202154,0.010630630375366046,-0.03994346618652411,0.019475012402096814,-0.08460779697307763,0.02372481982226482,-0.08659768085007724
2022-10-24,200.08899602890017,1,400,0.0,80035.59841156007,64712.080154418974,144747.67856597906,0.005133020594258353,-0.03501547622680723,0.009321967891677385,-0.07607454024816884,0.011881976654619875,-0.07574465581766221
2022-10-25,202.84700269699096,1,400,0.0,81138.80107879639,64712.080154418974,145850.88123321536,0.007621556892419834,-0.027660791778565175,0.013783899778738506,-0.0633392443079247,0.016266654579669915,-0.060710113390434195
2022-10-26,201.8279991149902,1,400,0.0,80731.19964599608,64712.080154418974,145443.27980041504,-0.002794644978171723,-0.030378134663900713,-0.005023508202992355,-0.0680445672975648,-0.007387716072364547,-0.06764932038234917
2022-10-27,201.21299495697025,1,400,0.0,80485.1979827881,64712.080154418974,145197.2781372071,-0.0016913924352196519,-0.03201814575195372,-0.003047169672774519,-0.0708843936284731,-0.006082610618211248,-0.07332044652608793
2022-10-28,204.57899942398072,1,400,0.0,81831.59976959229,64712.080154418974,146543.67992401126,0.009272913404973382,-0.023042133839926038,0.016728564016107894,-0.05534162372892215,0.024626377895927698,-0.0504996856538098
2022-10-31,203.3520038604736,1,400,0.0,81340.80154418944,64712.080154418974,146052.8816986084,-0.003349159961435144,-0.026314122009278518,-0.005997661377570074,-0.061007364787281304,-0.00745440410765752,-0.057577644697294095
2022-11-01,202.6229996681213,1,400,0.0,81049.19986724852,64712.080154418974,145761.28002166748,-0.001996548603146797,-0.028258133188884704,-0.0035849373426999342,-0.06437359454977565,-0.004101230608784645,-0.06144273610726447
2022-11-02,198.587002658844,1,400,0.0,79434.8010635376,64712.080154418974,144146.88121795657,-0.011075635473775547,-0.03902079188029073,-0.019918750664475016,-0.08301010363503769,-0.02500198485734284,-0.08490853060685977
2022-11-03,196.92800292968752,1,400,0.0,78771.20117187501,64712.080154418974,143483.281326294,-0.0046036368324832155,-0.04344479115804123,-0.008354019683788128,-0.09067065527910545,-0.010585992315429671,-0.09459568186977074
2022-11-04,199.1653970718384,1,400,0.0,79666.15882873537,64712.080154418974,144378.23898315436,0.0062373654169862736,-0.037478406778972295,0.011361482922008559,-0.0803393254585778,0.013618724670070526,-0.08226522974606221
2022-11-07,200.5229998588562,1,400,0.0,80209.19994354248,64712.080154418974,144921.28009796145,0.003761239357341628,-0.03385813268025817,0.00681645911879003,-0.07407049606740734,0.009613981920559844,-0.07344214425697171
2022-11-08,201.3994032859802,1,400,0.0,80559.76131439209,64712.080154418974,145271.84146881106,0.0024189778796643857,-0.031521056874594056,0.004370588050951252,-0.07002363964149638,0.005597892802462701,-0.06825537270524251
2022-11-09,198.22049589157103,1,400,0.0,79288.19835662842,64712.080154418974,144000.2785110474,-0.00875298987682116,-0.039998143259685204,-0.015784095397220477,-0.08470247523055485,-0.02077788695478977,-0.08761505724190566
2022-11-10,207.2440015792847,1,400,0.0,82897.60063171388,64712.080154418974,147609.68078613287,0.0250652450981792,-0.01593546142578206,0.045522566408317644,-0.043035782875869066,0.05543448436034493,-0.037037468401967866
2022-11-11,208.6490048408509,1,400,0.0,83459.60193634036,64712.080154418974,148171.68209075934,0.003807347198594213,-0.012188786061605561,0.006779464065832963,-0.03654807835358809,0.009240746788147902,-0.02813897548099653
2022-11-14,207.24549827575683,1,400,0.0,82898.19931030273,64712.080154418974,147610.2794647217,-0.0037888658488317573,-0.015931470235189815,-0.006726639152506819,-0.043028871771292776,-0.008935777048800997,-0.036823308918517705
2022-11-15,208.8769971847534,1,400,0.0,83550.79887390137,64712.080154418974,148262.87902832034,0.00442109835416038,-0.011580806477865635,0.007872300834374402,-0.03549530716006566,0.008713116550319144,-0.028431038150574017
2022-11-16,207.78899564743045,1,400,0.0,83115.59825897218,64712.080154418974,147827.67841339117,-0.002935330932336999,-0.014482143910726775,-0.0052088145271478314,-0.040519233215632555,-0.008252046497990273,-0.036448470399759625
2022-11-17,207.0109973907471,1,400,0.0,82804.39895629884,64712.080154418974,147516.47911071783,-0.002105149089895675,-0.016556805928549023,-0.0037441744894105566,-0.04411169662570669,-0.0030893228355314273,-0.03942519214336493
2022-11-18,207.5899982452393,1,400,0.0,83035.99929809572,64712.080154418974,147748.0794525147,0.001569996404422458,-0.015012803649903095,0.002796956981948595,-0.04143811816162091,0.00475858190881473,-0.03485421824063517
2022-11-21,206.9500052452088,1,400,0.0,82780.00209808353,64712.080154418974,147492.0822525025,-0.0017326600857405783,-0.01671945164998445,-0.0030829664504087306,-0.044393332283969245,-0.003883688698329779,-0.03860254400549468
2022-11-22,209.23540153503416,1,400,0.0,83694.16061401366,64712.080154418974,148406.24076843262,0.0061980175611400234,-0.01062506154378362,0.011043228953376616,-0.03384034906300781,0.013579987927526016,-0.0255467781595351
2022-11-23,210.42099742889403,1,400,0.0,84168.39897155762,64712.080154418974,148880.4791259766,0.0031955418794278323,-0.007463472493490442,0.005666325512613479,-0.028365773983645814,0.0059146891478476515,-0.019783190263230166
2022-11-25,210.39899969100952,1,400,0.0,84159.59987640381,64712.080154418974,148871.68003082278,-5.910173855872003e-05,-0.007522133127849107,-0.00010454155314010283,-0.028467350134717684,-0.0002830441976333642,-0.020060634943648847
2022-11-28,207.81000003814697,1,400,0.0,83124.00001525879,64712.080154418974,147836.08016967776,-0.006956325480646175,-0.014426132202149167,-0.012305189932769411,-0.04042224391719673,-0.015444192913123267,-0.03519500754074267
2022-11-29,207.46000280380247,1,400,0.0,82984.00112152098,64712.080154418974,147696.08127593994,-0.0009469873225611547,-0.015359458160401296,-0.001684217478852057,-0.04203838154630901,-0.0015918653377758885,-0.03673084716595165
2022-11-30,212.753004360199,1,400,0.0,85101.20174407959,64712.080154418974,149813.28189849856,0.014334846288867054,-0.0012447873433438783,0.025513359128805924,-0.01759756274308788,0.030947872397389053,-0.006919716339702453
2022-12-01,212.9099976539612,1,400,0.0,85163.99906158447,64712.080154418974,149876.07921600345,0.0004191705615756991,-0.0008261385599779292,0.0007379134044867008,-0.016872634816035625,-0.0008676332180498347,-0.007781345781996518
2022-12-02,212.7779960632324,1,400,0.0,85111.19842529295,64712.080154418974,149823.2785797119,-0.0003522952866643614,-0.0011781428019215223,-0.0006199877515538077,-0.01748216174066708,-0.001194660488065602,-0.008966710203712425
2022-12-05,209.4630029678345,1,400,0.0,83785.2011871338,64712.080154418974,148497.2813415528,-0.0088504086329525,-0.010018124389648997,-0.015579586032066661,-0.03278938292986855,-0.017894212283564803,-0.026700470271406762
