index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2022-05-19,106.29650297164916,0,350,0.0,37203.77604007721,144097.60036349297,181301.37640357018,-0.00144576758296322,0.20867584269047357
2022-05-20,106.40699796676634,0,350,0.0,37242.44928836822,144097.60036349297,181340.0496518612,0.00021330918197182136,0.2089336643457469
2022-05-23,108.45450525283813,0,350,0.0,37959.07683849335,144097.60036349297,182056.6772019863,0.0039518437956806984,0.21371118134658107
2022-05-24,107.14300127029419,0,350,0.0,37500.050444602966,144097.60036349297,181597.65080809593,-0.0025213378654664886,0.21065100538731185
2022-05-25,108.30099678039551,0,350,0.0,37905.34887313843,144097.60036349297,182002.9492366314,0.0022318484117602733,0.21335299491088144
2022-05-26,110.62700157165527,0,350,0.0,38719.450550079346,144097.60036349297,182817.0509135723,0.004473013653654823,0.2187803394238208
2022-05-27,113.90700454711914,0,350,0.0,39867.4515914917,144097.60036349297,183965.05195498466,0.006279507494927783,0.22643367969990336
2022-05-31,113.39399795532225,0,350,0.0,39687.899284362786,144097.60036349297,183785.49964785576,-0.00097601313521678,0.225236664319044
2022-06-01,112.9454991340637,0,350,0.0,39530.924696922295,144097.60036349297,183628.52506041527,-0.0008541184573389593,0.22419016706944062
2022-06-02,115.51799869537352,0,350,0.0,40431.29954338073,144097.60036349297,184528.8999068737,0.004903240638469475,0.23019266604583022
2022-06-03,113.04300394058227,0,350,0.0,39565.0513792038,144097.60036349297,183662.65174269676,-0.004694376678201162,0.22441767828465053
2022-06-06,113.15200004577638,0,350,0.0,39603.20001602173,144097.60036349297,183700.8003795147,0.0002077103671103142,0.22467200253010344
2022-06-07,114.38299875259399,0,350,0.0,40034.0495634079,144097.60036349297,184131.64992690086,0.0023453874261629704,0.2275443328460114
2022-06-08,113.1990054130554,0,350,0.0,39619.65189456939,144097.60036349297,183717.25225806236,-0.0022505509998037576,0.22478168172042134
2022-06-09,110.54300136566161,0,350,0.0,38690.05047798156,144097.60036349297,182787.65084147453,-0.005059957108884072,0.2185843389431692
2022-06-10,106.65199737548828,0,350,0.0,37328.1990814209,144097.60036349297,181425.79944491386,-0.007450456255065907,0.2095053296327647
2022-06-13,101.82959923744201,0,350,0.0,35640.359733104706,144097.60036349297,179737.96009659767,-0.009303193666392873,0.19825306731065684
2022-06-14,102.18749985694885,0,350,0.0,35765.6249499321,144097.60036349297,179863.22531342506,0.0006969324496621798,0.19908816875617297
2022-06-15,104.09399685859678,0,350,0.0,36432.89890050887,144097.60036349297,180530.49926400185,0.0037098965028232733,0.20353666176001828
2022-06-16,100.29074845314025,0,350,0.0,35101.76195859909,144097.60036349297,179199.36232209206,-0.00737347399656374,0.19466241548061958
2022-06-17,100.88750176429748,0,350,0.0,35310.62561750412,144097.60036349297,179408.2259809971,0.0011655379583863645,0.19605483987331973
2022-06-21,102.99399919509885,0,350,0.0,36047.8997182846,144097.60036349297,180145.50008177757,0.004109477682804785,0.20097000054518976
2022-06-22,102.4479989528656,0,350,0.0,35856.79963350296,144097.60036349297,179954.39999699593,-0.0010608096493939234,0.19969599997997878
2022-06-23,103.72500529289246,0,350,0.0,36303.75185251236,144097.60036349297,180401.35221600533,0.0024836970866890518,0.20267568144004167
2022-06-24,107.02499799728393,0,350,0.0,37458.74929904938,144097.60036349297,181556.34966254234,0.006402376879936389,0.2103756644169552
2022-06-27,106.33950242996215,0,350,0.0,37218.825850486755,144097.60036349297,181316.42621397972,-0.0013214820027421803,0.2087761747598711
2022-06-28,103.54700126647948,0,350,0.0,36241.45044326782,144097.60036349297,180339.0508067608,-0.005390440500219751,0.20226033871174476
2022-06-29,103.74949722290037,0,350,0.0,36312.32402801513,144097.60036349297,180409.9243915081,0.00039300187302893086,0.20273282927672698
2022-06-30,102.24100193977355,0,350,0.0,35784.350678920746,144097.60036349297,179881.9510424137,-0.00292652053857434,0.19921300694943112
2022-07-01,102.49200248718262,0,350,0.0,35872.200870513916,144097.60036349297,179969.80123400688,0.0004883769109911285,0.19979867489338554
2022-07-05,103.45449600219726,0,350,0.0,36209.07360076904,144097.60036349297,180306.673964262,0.0018718292065962316,0.20204449309508643
2022-07-06,104.04849672317505,0,350,0.0,36416.97385311127,144097.60036349297,180514.57421660423,0.0011530369218801795,0.20343049477736774
2022-07-07,106.27749824523926,0,350,0.0,37197.12438583374,144097.60036349297,181294.7247493267,0.004321814657393563,0.20863149832885086
2022-07-08,106.38549671173095,0,350,0.0,37234.923849105835,144097.60036349297,181332.5242125988,0.00020849731465899524,0.2088834947506648
2022-07-11,104.99699544906615,0,350,0.0,36748.94840717315,144097.60036349297,180846.54877066612,-0.002680023586738911,0.20564365847111366
2022-07-12,103.43500037193299,0,350,0.0,36202.250130176544,144097.60036349297,180299.8504936695,-0.0030229953555258593,0.2019990032911363
