index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-03-29,113.02699909210206,0,400,0.0,45210.79963684082,104668.19690704346,149878.99654388428,0.006508629117968345,-0.0008066897074379131,0.02190695238985607,0.00559167485333556
2022-03-30,111.65650396347046,0,400,0.0,44662.60158538818,104668.19690704346,149330.79849243164,-0.003657604228035516,-0.004461343383788785,-0.012125378357739414,-0.006601504677653969
2022-03-31,109.89399728775025,0,400,0.0,43957.5989151001,104668.19690704346,148625.79582214355,-0.004721080161664171,-0.009161361185709427,-0.015785078460783808,-0.02228237786914178
2022-04-01,110.31650314331054,0,400,0.0,44126.60125732422,104668.19690704346,148794.79816436768,0.0011370996622037666,-0.008034678904215276,0.0038446672792689096,-0.018523378918970712
2022-04-04,111.63650054931641,0,400,0.0,44654.60021972656,104668.19690704346,149322.79712677002,0.003548504174313072,-0.0045146858215330266,0.011965547931582554,-0.006779473365697952
2022-04-05,109.6810037612915,0,400,0.0,43872.4015045166,104668.19690704346,148540.59841156006,-0.005238307413608756,-0.009729343922932787,-0.017516643556567235,-0.024177363303817034
2022-04-06,108.0840006828308,0,400,0.0,43233.600273132324,104668.19690704346,147901.79718017578,-0.0043005160758431416,-0.01398801879882794,-0.01456043456655809,-0.038385764953998036
2022-04-07,108.07700328826904,0,400,0.0,43230.80131530762,104668.19690704346,147898.99822235107,-1.8924434172284954e-05,-0.014006678517659243,-6.474033638237398e-05,-0.03844802018304494
2022-04-08,106.94250116348266,0,400,0.0,42777.00046539307,104668.19690704346,147445.19737243652,-0.0030683159140287852,-0.017032017517089604,-0.010497164894185396,-0.04854158986951396
2022-04-11,104.43950414657593,0,400,0.0,41775.80165863037,104668.19690704346,146443.99856567383,-0.0067903114147132015,-0.02370667622884093,-0.023405072722961773,-0.0708105431514916
2022-04-12,104.27700214385986,0,400,0.0,41710.800857543945,104668.19690704346,146378.9977645874,-0.0004438611463977171,-0.024140014902750417,-0.0015559438360411848,-0.07225630975938946
2022-04-13,105.82049589157106,0,400,0.0,42328.198356628425,104668.19690704346,146996.39526367188,0.004217801108854502,-0.020024031575520462,0.014801861541644756,-0.05852397611031335
2022-04-14,103.9464991569519,0,400,0.0,41578.59966278076,104668.19690704346,146246.79656982422,-0.005099435890948745,-0.02502135620117152,-0.017709203862920297,-0.07519676694942745
2022-04-18,104.17499713897705,0,400,0.0,41669.99885559082,104668.19690704346,146338.19576263428,0.0006249654348251532,-0.0244120282491046,0.002198226817433646,-0.07316383968168638
2022-04-19,105.91900329589845,0,400,0.0,42367.60131835938,104668.19690704346,147035.79822540283,0.004767056605645914,-0.01976134516398076,0.016741120276631882,-0.05764756404506577
2022-04-20,106.23000268936157,0,400,0.0,42492.00107574463,104668.19690704346,147160.1979827881,0.0008460508181453719,-0.018932013448079044,0.0029362001509238844,-0.05488062868039145
2022-04-21,104.86799898147584,0,400,0.0,41947.19959259033,104668.19690704346,146615.3964996338,-0.003702098057913883,-0.02256402333577434,-0.012821271518447697,-0.06699826075742477
2022-04-22,102.05900068283081,0,400,0.0,40823.600273132324,104668.19690704346,145491.79718017578,-0.007663583404494689,-0.03005468546549439,-0.026786038886288055,-0.09198968162575072
2022-04-25,103.0164973258972,0,400,0.0,41206.59893035888,104668.19690704346,145874.79583740234,0.0026324415853649086,-0.027501361083983933,0.009381795203364796,-0.08347091477622148
2022-04-26,99.85950450897218,0,400,0.0,39943.801803588874,104668.19690704346,144611.99871063232,-0.00865671906871135,-0.035920008595784036,-0.03064550726217896,-0.11155841351344498
2022-04-27,100.60100011825561,0,400,0.0,40240.400047302246,104668.19690704346,144908.5969543457,0.002050993322531003,-0.0339426869710282,0.007425388428768054,-0.10496138963751134
2022-04-28,103.86400318145752,0,400,0.0,41545.60127258301,104668.19690704346,146213.79817962646,0.009007065506899892,-0.025241345469156573,0.03243509566869385,-0.0759307266832292
2022-04-29,99.50499858856202,0,400,0.0,39801.999435424805,104668.19690704346,144470.19634246826,-0.01192501568843829,-0.03686535771687793,-0.04196838615280429,-0.11471242277772864
2022-05-02,100.0635033607483,0,400,0.0,40025.40134429932,104668.19690704346,144693.59825134277,0.001546352912436877,-0.035376011657714534,0.005612831316099243,-0.10974345294054189
2022-05-03,100.2715033531189,0,400,0.0,40108.60134124756,104668.19690704346,144776.79824829102,0.0005750081410216268,-0.034821345011393,0.0020786798921152982,-0.10789289455734541
2022-05-04,103.21299724578857,0,400,0.0,41285.19889831543,104668.19690704346,145953.3958053589,0.008126975947140513,-0.026977361297607194,0.02933529262357637,-0.08172267156761348
2022-05-05,98.91400270462036,0,400,0.0,39565.601081848145,104668.19690704346,144233.7979888916,-0.011781828075864142,-0.038441346740722415,-0.04165167814021242,-0.11997046329493333
2022-05-06,97.9925030708313,0,400,0.0,39197.00122833252,104668.19690704346,143865.19813537598,-0.002555571985589755,-0.04089867909749323,-0.00931616968874327,-0.12816896778998388
2022-05-09,93.75340242385865,0,400,0.0,37501.36096954346,104668.19690704346,142169.5578765869,-0.011786313026125206,-0.05220294748942034,-0.04325943836650992,-0.1658838885938838
2022-05-10,94.57550153732299,0,400,0.0,37830.2006149292,104668.19690704346,142498.39752197266,0.0023130102554809184,-0.05001068318684876,0.008768738970641676,-0.1585697421417569
2022-05-11,92.41600122451781,0,400,0.0,36966.40048980713,104668.19690704346,141634.5973968506,-0.006061823432006452,-0.05576935068766253,-0.02283361206340484,-0.1777826342281027
2022-05-12,91.78050308227539,0,400,0.0,36712.201232910156,104668.19690704346,141380.3981399536,-0.001794753976563479,-0.05746401240030896,-0.0068764946959620765,-0.18343660758276104
2022-05-13,94.5579997062683,0,400,0.0,37823.199882507324,104668.19690704346,142491.39678955078,0.007858222668869486,-0.050057354736327775,0.030262381777348413,-0.15872545445602382
2022-05-16,93.87250175476075,0,400,0.0,37549.0007019043,104668.19690704346,142217.19760894775,-0.001924320953973102,-0.05188534927368127,-0.007249497172496899,-0.16482427189523852
2022-05-17,96.01249828338624,0,400,0.0,38404.99931335449,104668.19690704346,143073.19622039795,0.006018952882224093,-0.046178691864013244,0.02279684133928983,-0.14578490333120842
2022-05-18,92.14200019836426,0,400,0.0,36856.8000793457,104668.19690704346,141524.99698638916,-0.010821029199793997,-0.05650002009073851,-0.04031244009085133,-0.18022039824036984
2022-05-19,91.44550170898438,0,400,0.0,36578.20068359375,104668.19690704346,141246.3975906372,-0.0019685525644543844,-0.058357349395751545,-0.007558968634069685,-0.18641708653692102
2022-05-20,91.67949800491334,0,400,0.0,36671.79920196534,104668.19690704346,141339.9961090088,0.0006626612782214547,-0.057733359273274276,0.0025588606498505584,-0.1843352412342696
2022-05-23,93.4535044670105,0,400,0.0,37381.4017868042,104668.19690704346,142049.59869384766,0.005020536326402425,-0.05300267537434855,0.019350089176994434,-0.16855205541362106
2022-05-24,92.64300012588501,0,400,0.0,37057.200050354004,104668.19690704346,141725.39695739746,-0.0022823136385546894,-0.05516402028401646,-0.008672808427549139,-0.17576304415449817
2022-05-25,93.58149747848512,0,400,0.0,37432.59899139405,104668.19690704346,142100.7958984375,0.0026487767831258058,-0.052661360677082825,0.01013025648267929,-0.16741331238928048
2022-05-26,95.20750036239623,0,400,0.0,38083.000144958496,104668.19690704346,142751.19705200195,0.004577040891659001,-0.04832535298665319,0.017375260363673206,-0.152946901916716
2022-05-27,98.01850280761718,0,400,0.0,39207.401123046875,104668.19690704346,143875.59803009033,0.007876648331563763,-0.040829346466063954,0.029525010472086777,-0.1279376503253935
2022-05-31,97.38499908447265,0,400,0.0,38953.99963378906,104668.19690704346,143622.19654083252,-0.0017612541162457251,-0.04251868972778272,-0.006463103444743656,-0.1335738795016067
2022-06-01,97.06299962997437,0,400,0.0,38825.199851989746,104668.19690704346,143493.3967590332,-0.0008967957941146132,-0.043377354939778234,-0.0033064584640902783,-0.1364386814812375
2022-06-02,99.01199913024902,0,400,0.0,39604.79965209961,104668.19690704346,144272.99655914307,0.0054330012231784686,-0.03818002293904588,0.020079736951306604,-0.11909859736405726
2022-06-03,96.9890030860901,0,400,0.0,38795.601234436035,104668.19690704346,143463.7981414795,-0.005608800239564227,-0.04357467905680301,-0.020431827070754416,-0.13709702248909983
2022-06-06,96.67999963760376,0,400,0.0,38671.999855041504,104668.19690704346,143340.19676208496,-0.0008615510044746033,-0.044398688252766605,-0.0031859637552110742,-0.13984620009971327
2022-06-07,98.01399812698364,0,400,0.0,39205.59925079346,104668.19690704346,143873.7961578369,0.0037226082271786254,-0.04084135894775365,0.013798081241003901,-0.12797772808893093
2022-06-08,96.57400398254394,0,400,0.0,38629.60159301758,104668.19690704346,143297.79850006104,-0.004003492457681279,-0.04468134333292617,-0.014691719264161462,-0.14078923449994463
2022-06-09,94.1180006980896,0,400,0.0,37647.20027923584,104668.19690704346,142315.3971862793,-0.006855662292546083,-0.051230685424804356,-0.025431308459554658,-0.16264008850914657
2022-06-10,91.21049728393555,0,400,0.0,36484.19891357422,104668.19690704346,141152.39582061768,-0.008171999577384792,-0.05898402786254853,-0.030892107700849936,-0.18850790107929616
2022-06-13,86.96639909744262,0,400,0.0,34786.55963897705,104668.19690704346,139454.7565460205,-0.01202699582056399,-0.07030162302652965,-0.04653080854587588,-0.22626728457066636
2022-06-14,87.11349954605102,0,400,0.0,34845.39981842041,104668.19690704346,139513.59672546387,0.00042193024390635436,-0.06990935516357388,0.001691463026353146,-0.22495854429023787
2022-06-15,88.79349851608276,0,400,0.0,35517.399406433105,104668.19690704346,140185.59631347656,0.004816731872629321,-0.06542935791015592,0.01928517369622651,-0.21001173519509886
2022-06-16,85.83999910354615,0,400,0.0,34335.99964141846,104668.19690704346,139004.1965484619,-0.008427397650560775,-0.07330535634358692,-0.033262563835140035,-0.23628877028218342
2022-06-17,86.33950147628784,0,400,0.0,34535.80059051514,104668.19690704346,139203.9974975586,0.0014373735042381153,-0.0719733500162758,0.0058189932194565586,-0.23184473981483267
2022-06-21,87.98549957275391,0,400,0.0,35194.19982910156,104668.19690704346,139862.39673614502,0.004729743760397254,-0.06758402175903289,0.019064252958631345,-0.21720043362315933
2022-06-22,87.78749942779541,0,400,0.0,35114.999771118164,104668.19690704346,139783.19667816162,-0.0005662712768522704,-0.06811202214558887,-0.0022503724581887097,-0.2189620242076158
2022-06-23,89.07700366973877,0,400,0.0,35630.80146789551,104668.19690704346,140298.99837493896,0.003690012169094592,-0.06467334416707315,0.014688927812597896,-0.2074894137623039
2022-06-24,91.75199766159058,0,400,0.0,36700.79906463623,104668.19690704346,141368.9959716797,0.007626551929339032,-0.05754002685546833,0.030030129906138292,-0.18369021790559603
2022-06-27,91.37450094223023,0,400,0.0,36549.80037689209,104668.19690704346,141217.99728393555,-0.0010681174235289692,-0.05854668477376268,-0.004114316080099711,-0.18704877436840972
