index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2021-11-19,137.731498336792,0,350,0.0,48206.0244178772,105277.70097732544,153483.72539520264,0.0020851640188770393,0.023224835968017166,0.006669349102562228,0.07789683158811567,-0.001398665559303236,0.047141844982788506
2021-11-22,136.0939960479736,0,350,0.0,47632.898616790764,105277.70097732544,152910.5995941162,-0.003734114477679573,0.019403997294107578,-0.011889090793263835,0.0650816182915932,-0.0031971365563219223,0.0437939895105397
2021-11-23,136.11149654388427,0,350,0.0,47639.0237903595,105277.70097732544,152916.72476768494,4.0057220264566595e-05,0.019444831784565686,0.0001285912414865642,0.06521857845917389,0.001657132912945114,0.04552369488489183
2021-11-24,136.92200393676757,0,350,0.0,47922.701377868645,105277.70097732544,153200.4023551941,0.0018551115840346188,0.021336015701293398,0.005954731330295671,0.07156166890193782,0.0022938506357221833,0.04792197007706611
2021-11-26,133.4425037384033,0,350,0.0,46704.876308441155,105277.70097732544,151982.5772857666,-0.007949228923067486,0.01321718190511012,-0.02541227924162681,0.04433084454717817,-0.022724822637582465,0.024108129169038817
2021-11-29,136.77749938964843,0,350,0.0,47872.124786376946,105277.70097732544,153149.8257637024,0.0076801466245770555,0.020998838424682198,0.024992004479944097,0.07043076569264506,0.013200199537034996,0.03762656082156979
2021-11-30,135.55500068664549,0,350,0.0,47444.25024032592,105277.70097732544,152721.95121765137,-0.0027938297932588174,0.018146341451008574,-0.008937864111116078,0.06086340096852627,-0.01896131033450521,0.01795180159050669
2021-12-01,133.71550273895264,0,350,0.0,46800.42595863342,105277.70097732544,152078.12693595886,-0.004215663017393956,0.013854179573058678,-0.013570122373759652,0.04646735479554054,-0.011815187417889228,0.005924510272336869
2021-12-02,134.8630016326904,0,350,0.0,47202.05057144164,105277.70097732544,152479.7515487671,0.002640909780387668,0.016531676991780042,0.008581644388519383,0.05544776549859032,0.01419443613158311,0.020203041486591466
2021-12-03,132.39350357055665,0,350,0.0,46337.726249694824,105277.70097732544,151615.42722702026,-0.005668453109135552,0.01076951484680122,-0.01831116045347736,0.0361212921142815,-0.008448563730297565,0.01158379107274854
2021-12-06,133.0109977722168,0,350,0.0,46553.84922027588,105277.70097732544,151831.55019760132,0.0014254682028989052,0.012210334650674781,0.004664082337930253,0.04095384713278527,0.011730872577451423,0.023450551627238303
2021-12-07,137.36050300598143,0,350,0.0,48076.1760520935,105277.70097732544,153353.87702941895,0.010026419606704806,0.022359180196125594,0.03270034287851309,0.07499339485473455,0.020707080374404274,0.04464322445901181
2021-12-08,138.00399856567384,0,350,0.0,48301.39949798585,105277.70097732544,153579.10047531128,0.0014686517892803508,0.0238606698354078,0.00468472046629298,0.08002943841274024,0.0030852853123166657,0.047866246856046235
2021-12-09,136.16800117492676,0,350,0.0,47658.800411224365,105277.70097732544,152936.5013885498,-0.004184157120159515,0.019576675923664633,-0.01330394343518504,0.06566078785576246,-0.007181080169894716,0.040341435330046194
2021-12-10,138.6240036010742,0,350,0.0,48518.40126037597,105277.70097732544,153796.10223770142,0.005620638901420394,0.025307348251342177,0.018036560755506414,0.08488164340068383,0.009549073338481762,0.050275731993074224
2021-12-13,136.52649898529052,0,350,0.0,47784.27464485168,105277.70097732544,153061.97562217712,-0.004773375949344016,0.020413170814513437,-0.015130890475647973,0.06846641807534715,-0.009136167611567658,0.04068023686722366
2021-12-14,134.70249805450436,0,350,0.0,47145.87431907652,105277.70097732544,152423.57529640198,-0.004170861660318548,0.01615716864267913,-0.013360050571447513,0.05419165269596715,-0.0074706775774360246,0.032905650356378935
2021-12-15,138.007501411438,0,350,0.0,48302.6254940033,105277.70097732544,153580.32647132874,0.007589056828494867,0.023868843142190954,0.024535575840593182,0.08005685194120926,0.016348464630746795,0.049792071848128616
2021-12-16,134.4254964828491,0,350,0.0,47048.923768997185,105277.70097732544,152326.62474632263,-0.00816316616725088,0.015510831642150391,-0.025955146582285926,0.05202381803187284,-0.008743415379980468,0.04061330370135008
2021-12-17,133.31350326538086,0,350,0.0,46659.7261428833,105277.70097732544,151937.42712020874,-0.0025550203502641144,0.01291618080139112,-0.008272189774728544,0.04332127736157876,-0.010287680637092622,0.02990780636616064
