index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-26,109.56699542999269,1,800,0.0,87653.59634399416,59385.88081359863,147039.47715759277,0.002968531608530167,-0.019736818949381396,0.004989766468810997,-0.07123004459601501
2022-01-27,108.8650032043457,1,800,0.0,87092.00256347656,59385.88081359863,146477.8833770752,-0.0038193401620687517,-0.023480777486165283,-0.006406967927632179,-0.07718064391243673
2022-01-28,113.01249961853028,0,400,-400.0,45204.99984741212,104590.88066101074,149795.88050842285,0.022651864259986665,-0.0013607966105141367,0.03809760981129551,-0.04202343215790183
2022-01-31,115.45000095367432,0,400,0.0,46180.00038146973,104590.88066101074,150770.88104248047,0.006508860796093696,0.005139206949869912,0.021568422460982006,-0.02136138883496186
2022-02-01,115.7099998474121,0,400,0.0,46283.999938964844,104590.88066101074,150874.8805999756,0.0006897854332084119,0.005832537333170684,0.0022520475668259543,-0.01915744813188569
2022-02-02,116.45200347900389,0,400,0.0,46580.801391601555,104590.88066101074,151171.6820526123,0.001967202568488924,0.007811213684082219,0.006412614575838527,-0.012867682887173548
2022-02-03,113.43200397491454,0,400,0.0,45372.80158996581,104590.88066101074,149963.68225097656,-0.007990913279745882,-0.00024211832682274892,-0.025933426766967194,-0.03846740654232572
2022-02-04,114.13100357055663,0,400,0.0,45652.40142822265,104590.88066101074,150243.2820892334,0.0018644503393088208,0.0016218805948895465,0.006162278467694904,-0.032542174945674684
2022-02-07,113.72199592590333,0,400,0.0,45488.79837036133,104590.88066101074,150079.67903137207,-0.001088920952646344,0.0005311935424807679,-0.0035836681695385897,-0.036009222758692894
2022-02-08,114.91499996185303,0,400,0.0,45965.99998474121,104590.88066101074,150556.88064575195,0.0031796550836180604,0.003712537638346669,0.010490530228883799,-0.02589644836967775
2022-02-09,117.18999862670898,0,400,0.0,46875.999450683594,104590.88066101074,151466.88011169434,0.006044223698308038,0.009779200744629346,0.019797229827360763,-0.006611896482403901
2022-02-10,114.42400207519532,0,400,0.0,45769.600830078125,104590.88066101074,150360.48149108887,-0.007304558064374134,0.002403209940592843,-0.02360266732594074,-0.03005850541527688
2022-02-11,111.44099960327148,0,400,0.0,44576.399841308594,104590.88066101074,149167.28050231934,-0.00793560234003543,-0.0055514633178707085,-0.02606972678654884,-0.05534461517803746
2022-02-14,111.36099777221679,0,400,0.0,44544.39910888672,104590.88066101074,149135.27976989746,-0.00021452916694675306,-0.005764801534016595,-0.0007178850812492588,-0.05602276918572291
2022-02-15,113.94900245666504,0,400,0.0,45579.600982666016,104590.88066101074,150170.48164367676,0.006941361396019197,0.0011365442911785983,0.023239776368939147,-0.034084949444228685
2022-02-16,113.87900028228759,0,400,0.0,45551.60011291504,104590.88066101074,150142.48077392578,-0.00018646054433935078,0.0009498718261720107,-0.0006143289793526518,-0.03467833905137796
2022-02-17,110.79799957275391,0,400,0.0,44319.19982910156,104590.88066101074,148910.0804901123,-0.008208205149275116,-0.0072661300659178085,-0.027055038258997577,-0.06079515352058207
2022-02-18,109.80300140380861,0,400,0.0,43921.200561523445,104590.88066101074,148512.08122253418,-0.0026727489923327186,-0.009919458516438717,-0.008980290012293501,-0.06922948542291885
2022-02-22,108.83499946594239,0,400,0.0,43533.99978637695,104590.88066101074,148124.8804473877,-0.0026072005183624958,-0.012500797017415244,-0.008815805811230204,-0.07743497753424922
2022-02-23,106.56799983978271,0,400,0.0,42627.199935913086,104590.88066101074,147218.08059692383,-0.006121860471549612,-0.018546129353841034,-0.020829692996590543,-0.09665172372160347
