index,close,model_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-06-23,202.71100282669067,1,400,0.0,81084.40113067627,63220.80093383789,144305.20206451416,0.0048521057004933255,-0.037965319569905565,0.008668042688714461,-0.06562399741836789,0.009532217409177868,-0.07902601316077407
2022-06-24,207.4089996337891,1,400,0.0,82963.59985351564,63220.80093383789,146184.40078735352,0.01302239071048339,-0.025437328084309874,0.023175835260974997,-0.04396905311072763,0.03056329358583576,-0.05087801481608911
2022-06-27,206.65699615478516,1,400,0.0,82662.79846191406,63220.80093383789,145883.59939575195,-0.0020576846091746592,-0.02744267069498696,-0.003625703225663912,-0.04743533759869856,-0.0029730715337762392,-0.05369982237232063
2022-06-28,203.4449934005737,1,400,0.0,81377.99736022948,63220.80093383789,144598.79829406738,-0.008807029076648765,-0.03600801137288412,-0.015542676096025665,-0.062240741606922056,-0.020143036075892073,-0.07276118098889806
2022-06-29,203.55899810791016,1,400,0.0,81423.59924316406,63220.80093383789,144644.40017700195,0.000315368339658173,-0.03570399881998698,0.0005603711619091012,-0.06171524836170528,-0.0007117454091590814,-0.07342113896152325
2022-06-30,202.39599618911743,1,400,0.0,80958.39847564697,63220.80093383789,144179.19940948486,-0.003216168527421903,-0.03880533727010094,-0.0057133407493792365,-0.06707598886776156,-0.008759278267998716,-0.08153730104260459
2022-07-01,204.3379981994629,1,400,0.0,81735.19927978516,63220.80093383789,144956.00021362305,0.005387745301123292,-0.03362666524251312,0.009595061398995686,-0.05812452570035043,0.010553814029047315,-0.07184401652519135
2022-07-05,204.74799995422367,1,400,0.0,81899.19998168947,63220.80093383789,145120.00091552734,0.001131382637922007,-0.03253332722981772,0.002006488065722012,-0.05623466380177189,0.0015841285142366157,-0.07037369816610961
2022-07-06,204.9409997940064,1,400,0.0,81976.39991760255,63220.80093383789,145197.20085144043,0.0005319730941706347,-0.032018660990397185,0.0009426213678564999,-0.05534505042962912,0.0035731642904301975,-0.06705199066095202
2022-07-07,207.17199630737304,1,400,0.0,82868.79852294922,63220.80093383789,146089.5994567871,0.006146114388663415,-0.026069336954752553,0.010886042888485381,-0.04506149613378607,0.014964587965241805,-0.05309080810820066
2022-07-08,206.8899967193604,1,400,0.0,82755.99868774416,63220.80093383789,145976.79962158203,-0.0007721277601178134,-0.026821335856119788,-0.0013611858409389166,-0.04636134490421617,-0.000830271529819071,-0.053876999851552365
2022-07-11,205.1880058288574,1,400,0.0,82075.20233154295,63220.80093383789,145296.00326538086,-0.004663729839029296,-0.03135997823079428,-0.008226549941956374,-0.05420650092694179,-0.011527461422777274,-0.06478339623696594
2022-07-12,203.80300531387329,1,400,0.0,81521.20212554932,63220.80093383789,144742.0030593872,-0.0038129073996742147,-0.035053312937418646,-0.006749909720060843,-0.0605905216595054,-0.009243878717321574,-0.07342842509657677
2022-07-13,203.0589960098267,1,400,0.0,81223.59840393068,63220.80093383789,144444.39933776855,-0.0020560978522353723,-0.03703733774820961,-0.003650629699502028,-0.0640199578011289,-0.0044569025122100925,-0.07755806427650624
2022-07-14,202.59000177383425,1,400,0.0,81036.00070953369,63220.80093383789,144256.80164337158,-0.0012987536744729633,-0.0382879890441894,-0.0023096452026668546,-0.06618173961538543,-0.00299863390215227,-0.08032412993773363
2022-07-15,205.62800149917604,1,400,0.0,82251.20059967041,63220.80093383789,145472.0015335083,0.008423865469725955,-0.030186656443278004,0.014995802846841988,-0.052178385087876755,0.01920124935943668,-0.06266520422681121
2022-07-18,204.3470003128052,1,400,0.0,81738.80012512207,63220.80093383789,144959.60105895996,-0.0035223305457189324,-0.03360265960693365,-0.006229702068937248,-0.058083031363278304,-0.008363571580831342,-0.07050467088646417
2022-07-19,208.47400159835817,1,400,0.0,83389.60063934326,63220.80093383789,146610.40157318115,0.01138800398291484,-0.022597322845459122,0.020196045350485026,-0.03906003354829968,0.02762829164595959,-0.04482430285015826
2022-07-20,209.41100540161136,1,400,0.0,83764.40216064455,63220.80093383789,146985.20309448242,0.002556445636049842,-0.020098646036784018,0.004494583478367842,-0.03474100865138252,0.005895806193263242,-0.03919277205924765
2022-07-21,211.3719975471497,1,400,0.0,84548.79901885988,63220.80093383789,147769.59995269775,0.005336570224086623,-0.014869333648681704,0.0093643222894495,-0.025702012363605142,0.00986137270919718,-0.0297178938828333
2022-07-22,210.2199975967407,1,400,0.0,84087.99903869629,63220.80093383789,147308.79997253418,-0.003118367920810994,-0.017941333516438784,-0.005450106749130823,-0.031012040401686813,-0.00933246697634671,-0.03877301959591184
2022-07-25,210.2229963302612,1,400,0.0,84089.19853210448,63220.80093383789,147309.99946594238,8.14271386651022e-06,-0.017933336893717455,1.426473958132668e-05,-0.03099821804078573,0.0013151670479691902,-0.03750884554566547
2022-07-26,208.2419984817505,1,400,0.0,83296.7993927002,63220.80093383789,146517.6003265381,-0.005379126619218355,-0.02321599782307937,-0.009423316588060282,-0.040129428606581974,-0.01154320266205866,-0.048619076001970685
2022-07-27,212.5769975662232,1,400,0.0,85030.79902648929,63220.80093383789,148251.59996032718,0.01183475316224536,-0.011656000264485433,0.020817121983453424,-0.020147685833558082,0.026156273782937722,-0.023734496082013945
2022-07-28,215.00199794769287,1,400,0.0,86000.79917907715,63220.80093383789,149221.60011291504,0.006542932102233223,-0.005189332580566308,0.011407633042301413,-0.008969890197897512,0.012133338697180918,-0.011889136064603067
2022-07-29,217.44500036239623,1,400,0.0,86978.0001449585,63220.80093383789,150198.8010787964,0.006548656261170738,0.0013253405253093042,0.011362696337815947,0.0022908840014161935,0.014207760082581844,0.0021497060251838285
