index,close,model_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2021-10-18,127.7779972076416,1,700,700.0,89444.59804534912,60555.40195465088,150000.0,,,,,,
2021-10-19,129.35349540710448,1,700,0.0,90547.44678497313,60555.40195465088,151102.84873962402,0.007352324930826715,0.007352324930826715,0.01232996473487269,0.01232996473487269,0.007393339551406308,0.007393339551406308
2021-10-20,129.5625045776367,1,700,0.0,90693.75320434569,60555.40195465088,151249.15515899658,0.0009682571876898916,0.008327701059977155,0.001615798397054835,0.013965685869181899,0.0036640298040166996,0.01108445877189057
2021-10-21,129.46550521850585,1,700,0.0,90625.8536529541,60555.40195465088,151181.25560760498,-0.0004489251614016032,0.007875037384033057,-0.0007486684473031469,0.013206561753523527,0.002995871849622578,0.01411353823951611
2021-10-22,129.06300201416013,1,700,0.0,90344.1014099121,60555.40195465088,150899.503364563,-0.0018636718018355536,0.005996689097086394,-0.0031089609828223175,0.010056542085492337,-0.0010725536274130976,0.0130258470854685
2021-10-25,129.79149513244627,1,700,0.0,90854.04659271239,60555.40195465088,151409.44854736328,0.003379369523624609,0.009396323649088378,0.005644476782015406,0.015757782785816632,0.004748196569493546,0.01783589293740806
2021-10-26,129.86650352478026,1,700,0.0,90906.55246734618,60555.40195465088,151461.95442199707,0.0003467807005277379,0.009746362813313425,0.0005779145409907649,0.016344803978613154,0.0018197952535197182,0.019688145864237505
2021-10-27,129.2720037460327,1,700,0.0,90490.4026222229,60555.40195465088,151045.80457687378,-0.002747553646137657,0.006972030512491401,-0.0045777761209541135,0.011692205004304013,-0.005051568068462853,0.014537121786799556
2021-10-28,130.71524791717528,1,700,0.0,91500.67354202269,60555.40195465088,152056.07549667358,0.006688506990511156,0.013707169977823508,0.011164398549727395,0.022987139990624517,0.009829281576461124,0.024509292826614404
2021-10-29,131.34399890899655,1,700,0.0,91940.7992362976,60555.40195465088,152496.2011909485,0.002894495947217468,0.01664134127298955,0.004810081469758476,0.027907791476494692,0.001949334719149265,0.026506404361212432
2021-11-01,131.14649600982665,1,700,0.0,91802.54720687865,60555.40195465088,152357.94916152954,-0.0009065932681551203,0.01571966107686329,-0.0015037070654956297,0.02636211926777343,0.0018000771431341267,0.02835419507698389
2021-11-02,132.3245044708252,1,700,0.0,92627.15312957764,60555.40195465088,153182.55508422852,0.005412293400095081,0.02121703389485652,0.008982386086093141,0.035581300087177414,0.0036803630854131963,0.03213891189527507
2021-11-03,132.88000202178955,1,700,0.0,93016.00141525269,60555.40195465088,153571.40336990356,0.0025384632438154586,0.023809355799356835,0.004197994567868069,0.039928664759529164,0.006461279195357994,0.038807849573423425
2021-11-04,134.46400051116942,1,700,0.0,94124.80035781859,60555.40195465088,154680.20231246948,0.007220087322476143,0.031201348749796187,0.01192051825164886,0.05232515338820787,0.004181942361150437,0.043152084124650214
2021-11-05,135.07400093078613,1,700,0.0,94551.8006515503,60555.40195465088,155107.20260620117,0.002760536173007422,0.034048017374674,0.00453653332711923,0.05709906151751931,0.003732799652949259,0.04704596186224408
2021-11-08,136.26599674224855,1,700,0.0,95386.19771957399,60555.40195465088,155941.59967422485,0.00537948627790108,0.03961066449483197,0.008824761266035264,0.06642770836996137,0.0008877879113036169,0.047975516609764624
2021-11-09,136.0144952774048,1,700,0.0,95210.14669418335,60555.40195465088,155765.54864883423,-0.0011289548507801284,0.03843699099222775,-0.0018456656161953688,0.06445943941646481,-0.003498775895770745,0.04430888513289255
2021-11-10,133.98649864196778,1,700,0.0,93790.54904937746,60555.40195465088,154345.95100402832,-0.00911368179369576,0.028973006693521652,-0.014910150799007593,0.048588188655338316,-0.008225823395229703,0.035718584673720244
2021-11-11,134.35550212860105,1,700,0.0,94048.85149002074,60555.40195465088,154604.25344467163,0.0016735291011071851,0.030695022964477126,0.002754034849580478,0.051476037069753566,0.0005509400447352153,0.036289203517093416
2021-11-12,135.67049865722657,1,700,0.0,94969.34906005861,60555.40195465088,155524.75101470947,0.005953895507585516,0.03683167343139604,0.009787440840099304,0.06176729657735591,0.007222656026415475,0.0437739639779855
2021-11-15,135.48649978637695,1,700,0.0,94840.54985046387,60555.40195465088,155395.95180511475,-0.0008281589184639948,0.03597301203409797,-0.0013562187260363068,0.06032730788704477,-1.0739820344718431e-05,0.04376275403313179
2021-11-16,136.10449600219724,1,700,0.0,95273.14720153807,60555.40195465088,155828.54915618896,0.002783839257387788,0.03885699437459267,0.0045613121365943865,0.06516379170527231,0.003865229864862485,0.04779713700185173
2021-11-17,135.9204999923706,1,700,0.0,95144.34999465941,60555.40195465088,155699.7519493103,-0.0008265315154128983,0.037998346328735,-0.001351873121249958,0.06372382540553723,-0.002601625374463401,0.04507116138293754
2021-11-18,136.81900463104247,1,700,0.0,95773.30324172974,60555.40195465088,156328.70519638062,0.004039526326766962,0.04219136797587053,0.006610515990761678,0.07075558876313481,0.0033847802152713324,0.048608497573537246
2021-11-19,137.731498336792,1,700,0.0,96412.0488357544,60555.40195465088,156967.45079040527,0.004085913672874586,0.046449671936035,0.006669349102562228,0.07789683158811567,-0.001398665559303236,0.047141844982788506
2021-11-22,136.0939960479736,1,700,0.0,95265.79723358153,60555.40195465088,155821.19918823242,-0.007302479567585118,0.038807994588216044,-0.011889090793263835,0.0650816182915932,-0.0031971365563219223,0.0437939895105397
2021-11-23,136.11149654388427,1,700,0.0,95278.047580719,60555.40195465088,155833.44953536987,7.861797496921952e-05,0.03888966356913248,0.0001285912414865642,0.06521857845917389,0.001657132912945114,0.04552369488489183
2021-11-24,136.92200393676757,1,700,0.0,95845.40275573729,60555.40195465088,156400.80471038818,0.0036407791569135206,0.04267203140258791,0.005954731330295671,0.07156166890193782,0.0022938506357221833,0.04792197007706611
2021-11-26,133.4425037384033,1,700,0.0,93409.75261688231,60555.40195465088,153965.1545715332,-0.015573130479508368,0.02643436381022135,-0.02541227924162681,0.04433084454717817,-0.022724822637582465,0.024108129169038817
2021-11-29,136.77749938964843,1,700,0.0,95744.24957275389,60555.40195465088,156299.65152740479,0.015162501946418994,0.041997676849365284,0.024992004479944097,0.07043076569264506,0.013200199537034996,0.03762656082156979
2021-11-30,135.55500068664549,1,700,0.0,94888.50048065184,60555.40195465088,155443.90243530273,-0.005475054382651723,0.03629268290201826,-0.008937864111116078,0.06086340096852627,-0.01896131033450521,0.01795180159050669
2021-12-01,133.71550273895264,1,700,0.0,93600.85191726685,60555.40195465088,154156.25387191772,-0.008283686546797453,0.027708359146118244,-0.013570122373759652,0.04646735479554054,-0.011815187417889228,0.005924510272336869
2021-12-02,134.8630016326904,1,700,0.0,94404.10114288329,60555.40195465088,154959.50309753418,0.005210617185105182,0.033063353983561194,0.008581644388519383,0.05544776549859032,0.01419443613158311,0.020203041486591466
2021-12-03,132.39350357055665,1,700,0.0,92675.45249938965,60555.40195465088,153230.85445404053,-0.011155486491238986,0.02153902969360355,-0.01831116045347736,0.0361212921142815,-0.008448563730297565,0.01158379107274854
2021-12-06,133.0109977722168,1,700,0.0,93107.69844055176,60555.40195465088,153663.10039520264,0.0028208805772322876,0.024420669301350895,0.004664082337930253,0.04095384713278527,0.011730872577451423,0.023450551627238303
2021-12-07,137.36050300598143,1,700,0.0,96152.352104187,60555.40195465088,156707.7540588379,0.019813824241504907,0.04471836039225274,0.03270034287851309,0.07499339485473455,0.020707080374404274,0.04464322445901181
2021-12-08,138.00399856567384,1,700,0.0,96602.7989959717,60555.40195465088,157158.20095062256,0.0028744390760366834,0.04772133967081715,0.00468472046629298,0.08002943841274024,0.0030852853123166657,0.047866246856046235
2021-12-09,136.16800117492676,1,700,0.0,95317.60082244873,60555.40195465088,155873.0027770996,-0.008177735337697944,0.03915335184733082,-0.01330394343518504,0.06566078785576246,-0.007181080169894716,0.040341435330046194
2021-12-10,138.6240036010742,1,700,0.0,97036.80252075194,60555.40195465088,157592.20447540283,0.011029502657119439,0.05061469650268546,0.018036560755506414,0.08488164340068383,0.009549073338481762,0.050275731993074224
2021-12-13,136.52649898529052,1,700,0.0,95568.54928970335,60555.40195465088,156123.95124435425,-0.00931678845369377,0.04082634162902821,-0.015130890475647973,0.06846641807534715,-0.009136167611567658,0.04068023686722366
2021-12-14,134.70249805450436,1,700,0.0,94291.74863815305,60555.40195465088,154847.15059280393,-0.008178121559016649,0.032314337285359374,-0.013360050571447513,0.05419165269596715,-0.0074706775774360246,0.032905650356378935
2021-12-15,138.007501411438,1,700,0.0,96605.2509880066,60555.40195465088,157160.65294265747,0.01494055486973278,0.04773768628438302,0.024535575840593182,0.08005685194120926,0.016348464630746795,0.049792071848128616
2021-12-16,134.4254964828491,1,700,0.0,94097.84753799437,60555.40195465088,154653.24949264526,-0.015954397001182397,0.03102166328430167,-0.025955146582285926,0.05202381803187284,-0.008743415379980468,0.04061330370135008
2021-12-17,133.31350326538086,1,700,0.0,93319.4522857666,60555.40195465088,153874.85424041748,-0.005033164545726554,0.025832361602783127,-0.008272189774728544,0.04332127736157876,-0.010287680637092622,0.02990780636616064
2021-12-20,131.65950508117675,1,700,0.0,92161.65355682372,60555.40195465088,152717.0555114746,-0.007524288062907947,0.01811370340983065,-0.012406831593882672,0.030376965975039028,-0.01138805785140995,0.018179156685644182
2021-12-21,134.96699562072752,1,700,0.0,94476.89693450926,60555.40195465088,155032.29888916016,0.015160345843045597,0.03354865926106765,0.02512154771895503,0.05626163009429308,0.017777934551572505,0.036280279094976775
2021-12-22,136.67049713134764,1,700,0.0,95669.34799194334,60555.40195465088,156224.74994659424,0.007691629847317305,0.04149833297729488,0.012621615401495312,0.06959335815269974,0.010180197220578835,0.04682981671196007
2021-12-23,137.68125133514403,1,700,0.0,96376.87593460082,60555.40195465088,156932.2778892517,0.004528910706526057,0.04621518592834484,0.0073955551857325386,0.0775035948592111,0.006223699921661829,0.05334497136022365
2021-12-27,140.34599571228028,1,700,0.0,98242.1969985962,60555.40195465088,158797.59895324707,0.011886152989582843,0.058650659688314066,0.019354446239377543,0.09835808025864967,0.01383893524747526,0.06792214421213139
2021-12-28,139.25439739227295,1,700,0.0,97478.07817459106,60555.40195465088,158033.48012924194,-0.004811904141133083,0.05355653419494666,-0.007777908549989498,0.08981515155525588,-0.0010101548486260992,0.06684337748020042
2021-12-29,139.21150360107418,1,700,0.0,97448.05252075192,60555.40195465088,158003.4544754028,-0.00018999552382559237,0.05335636316935233,-0.0003080246800245545,0.08947946159191211,0.0014018951394270118,0.06833898002561978
2021-12-30,138.40900115966795,1,700,0.0,96886.30081176756,60555.40195465088,157441.70276641846,-0.003555312830655799,0.049611351776123414,-0.0057646273522473646,0.08319901848790767,-0.0029897555945093135,0.06514490758325575
2021-12-31,137.62699661254882,1,700,0.0,96338.89762878418,60555.40195465088,156894.29958343506,-0.003476862694984484,0.04596199722290084,-0.005649954414576053,0.07707899341153746,-0.0026261799136575448,0.062347645421825915
2022-01-03,138.79000339508056,1,700,0.0,97153.0023765564,60555.40195465088,157708.40433120728,0.005188873973966723,0.051389362208049016,0.008450426232913255,0.08618076999238222,0.006374052530970564,0.0691191051198976
2022-01-04,137.59250240325926,1,700,0.0,96314.75168228148,60555.40195465088,156870.15363693237,-0.00531519355502752,0.04580102424621635,-0.008628150173125126,0.07680903919372728,-0.000629621957060511,0.06844596425660132
2022-01-05,133.48950519561765,1,700,0.0,93442.65363693236,60555.40195465088,153998.05559158325,-0.018308760326686713,0.026653703943888996,-0.029819918498294684,0.04469868140674338,-0.019392757790687165,0.04772585045933586
2022-01-06,132.810000705719,1,700,0.0,92967.00049400331,60555.40195465088,153522.40244865417,-0.003088695770228078,0.023482682991028625,-0.00509032143690169,0.0393808293136757,-0.0009637690162076495,0.04671608474718325
2022-01-07,131.56324462890623,1,700,0.0,92094.27124023436,60555.40195465088,152649.67319488525,-0.005684702947902354,0.017664487965902476,-0.009387516528784112,0.029623624598792198,-0.004050216740091761,0.04247665773861686
2022-01-10,131.48950490951538,1,700,0.0,92042.65343666077,60555.40195465088,152598.05539131165,-0.00033814552296951295,0.017320369275411807,-0.0005604887565584526,0.029046532133717662,-0.0014410312534549607,0.04097441629381815
2022-01-11,133.1289978981018,1,700,0.0,93190.29852867126,60555.40195465088,153745.70048332214,0.007520705877067435,0.024971336555481782,0.012468622417542985,0.0418773247929749,0.009159984668711818,0.05050972598759085
2022-01-12,133.88500385284422,1,700,0.0,93719.50269699095,60555.40195465088,154274.90465164185,0.003442074585865207,0.028499364344279687,0.005678747430526654,0.04779388297406695,0.002817754443029452,0.05346980443543803
2022-01-13,130.5674964904785,1,700,0.0,91397.24754333495,60555.40195465088,151952.64949798584,-0.015052708403221815,0.01301766331990617,-0.024778782290002077,0.021830826463056674,-0.0142436152864307,0.03846458582518819
2022-01-14,131.57899618148804,1,700,0.0,92105.29732704163,60555.40195465088,152660.6992816925,0.0046596738263260384,0.01773799521128394,0.007746948652594288,0.02974689740730385,0.0008199802697488323,0.03931610629639781
2022-01-18,128.50399932861328,1,700,0.0,89952.7995300293,60555.40195465088,150508.20148468018,-0.014099881679701332,0.0033880098978684714,-0.023369967412073867,0.005681745972210939,-0.018387945694007368,0.020205218174912387
2022-01-19,126.88750324249268,1,700,0.0,88821.25226974487,60555.40195465088,149376.65422439575,-0.007518176744671257,-0.00415563850402767,-0.012579344569555784,-0.006969071237685975,-0.009689541868338813,0.010319896999108735
2022-01-20,125.59550495147704,1,700,0.0,87916.85346603392,60555.40195465088,148472.2554206848,-0.0060544856116026,-0.01018496386210066,-0.010182234325680772,-0.01708034484699228,-0.01103737849414832,-0.0008313861042393844
2022-01-21,122.8995012283325,1,700,0.0,86029.65085983275,60555.40195465088,146585.05281448364,-0.01271080984695716,-0.02276631457010858,-0.021465766025512867,-0.03817946818638451,-0.018914821867908604,-0.019730482452082865
2022-01-24,123.45255336761474,1,700,0.0,86416.78735733032,60555.40195465088,146972.1893119812,0.0026410366545865926,-0.020185404586791522,0.004500035669426694,-0.03385124148563634,0.002771738943381896,-0.017013431255285094
2022-01-25,120.87699508666992,1,700,0.0,84613.89656066895,60555.40195465088,145169.29851531982,-0.012266883994184408,-0.032204676564534074,-0.020862738037303874,-0.0540077499395879,-0.012171906253646725,-0.02897825161863965
2022-01-26,121.51849489212034,1,700,0.0,85062.94642448424,60555.40195465088,145618.34837913513,0.0030932839684965074,-0.02921101080576527,0.005307046266251669,-0.048987325301001805,-0.0014966358477518371,-0.030431517576213873
2022-01-27,120.62450332641602,1,700,0.0,84437.15232849121,60555.40195465088,144992.5542831421,-0.004297494807204538,-0.03338297144571889,-0.007356835405984752,-0.05598376901776769,-0.00538408875771057,-0.03565176034226225
2022-01-28,125.51874999999998,1,700,0.0,87863.12499999999,60555.40195465088,148418.52695465088,0.023628611058320592,-0.010543153635660163,0.040574232752195405,-0.017681034740044344,0.024347646888076113,-0.012172149925937847
2022-01-31,128.42050085067746,1,700,0.0,89894.35059547421,60555.40195465088,150449.7525501251,0.013685795413498791,0.002998350334167954,0.02311806682808326,0.005028280745329017,0.018885951732779516,0.006483919170856334
2022-02-01,128.7334997177124,1,700,0.0,90113.44980239867,60555.40195465088,150668.85175704956,0.0014562948972047796,0.004459011713664474,0.002437296731920391,0.007477832889477121,0.00686300355780145,0.013391421888995891
2022-02-02,129.57100429534913,1,700,0.0,90699.70300674438,60555.40195465088,151255.10496139526,0.0038910046602798065,0.008367366409302468,0.0065057236808852,0.014032205284873145,0.00942251544733641,0.022940118215943217
2022-02-03,126.08500471115111,1,700,0.0,88259.50329780579,60555.40195465088,148814.90525245667,-0.01613300727642486,-0.007900631650288203,-0.026904164270054487,-0.01324948374123669,-0.024391082077444004,-0.0020104981677721012
2022-02-04,127.02000427246092,1,700,0.0,88914.00299072264,60555.40195465088,149469.40494537354,0.004398078887370538,-0.003537300364175655,0.007415628555130782,-0.005932108436078165,0.0051569298644233985,0.0031360636986075274
2022-02-07,126.66649513244629,1,700,0.0,88666.5465927124,60555.40195465088,149221.94854736328,-0.001655565552700855,-0.005187009684244015,-0.0027830981587463333,-0.008698696954758556,-0.0037017126347429485,-0.0005772577427519687
2022-02-08,128.11249990463256,1,700,0.0,89678.74993324278,60555.40195465088,150234.15188789368,0.006783206829718669,0.0015610125859586432,0.01141584260837325,0.0026178426982812475,0.008401207191663262,0.007819099787011341
2022-02-09,130.75199851989746,1,700,0.0,91526.39896392822,60555.40195465088,152081.8009185791,0.012298462150364786,0.013878672790528013,0.020602974863731083,0.02327475290932224,0.014517207887505545,0.022449819171618035
2022-02-10,127.53050270080568,1,700,0.0,89271.35189056398,60555.40195465088,149826.75384521484,-0.01482785619149496,-0.0011549743652337074,-0.024638214754335364,-0.0019369102055470933,-0.01811572566845976,0.003927398737738619
2022-02-11,123.98349952697754,1,700,0.0,86788.44966888428,60555.40195465088,147343.85162353516,-0.016571821506890294,-0.017707655843098302,-0.027812978845928593,-0.029696017808902297,-0.01896945434456343,-0.015116556217873223
2022-02-14,123.9174974441528,1,700,0.0,86742.24821090695,60555.40195465088,147297.65016555783,-0.00031356217085576343,-0.018015665562947092,-0.0005323456998435061,-0.03021255496136277,-0.0038405967262932217,-0.01889909634784326
2022-02-15,127.00150260925292,1,700,0.0,88901.05182647705,60555.40195465088,149456.45378112793,0.014656062830219474,-0.0036236414591463983,0.02488756817002402,-0.006076903812530232,0.01576672117072042,-0.003430351959617828
2022-02-16,126.89749994277956,1,700,0.0,88828.2499599457,60555.40195465088,149383.65191459656,-0.0004871108920996292,-0.004108987236022266,-0.0008189089446709596,-0.0068908363263131545,0.0008812077558950637,-0.0025521670564749854
2022-02-17,123.2015001296997,1,700,0.0,86241.05009078978,60555.40195465088,146796.45204544067,-0.017319163348844868,-0.02135698636372818,-0.02912586784409832,-0.03581600258223594,-0.021173138152195015,-0.02367126782299578
2022-02-18,121.97250156402588,1,700,0.0,85380.75109481812,60555.40195465088,145936.153049469,-0.005860489023981175,-0.027092313003539426,-0.009975516242740512,-0.04543423570946736,-0.0071661613961429005,-0.030667797093467786
2022-02-22,120.8354991912842,1,700,0.0,84584.84943389894,60555.40195465088,145140.2513885498,-0.00545376621411553,-0.03239832407633403,-0.009321792684106267,-0.054332499867529194,-0.010142945264832837,-0.04049968057098863
2022-02-23,118.1639998435974,1,700,0.0,82714.79989051817,60555.40195465088,143270.20184516907,-0.012884430924502754,-0.04486532103220564,-0.022108563837335504,-0.07523985016310142,-0.018412122845487655,-0.05816611832260021
2022-02-24,121.86999912261965,1,700,0.0,85308.99938583375,60555.40195465088,145864.40134048462,0.018107041533445223,-0.027570657730101922,0.031363184082525475,-0.046236427351582954,0.014956856067329216,-0.044079244515017324
2022-02-25,123.3362543106079,1,700,0.0,86335.37801742552,60555.40195465088,146890.77997207642,0.007036525856613629,-0.02072813351948999,0.01203130547751119,-0.03476140645572745,0.022372677655603468,-0.022692737588250855
2022-02-28,123.57150535583494,1,700,0.0,86500.05374908446,60555.40195465088,147055.45570373535,0.0011210760245825568,-0.019630295308430523,0.001907395733249606,-0.03292031448083321,-0.002442603440647617,-0.025079911669987687
2022-03-01,121.8615036010742,1,700,0.0,85303.05252075194,60555.40195465088,145858.45447540283,-0.008139794763847852,-0.02761030349731397,-0.0138381558906856,-0.046302913927762646,-0.015473503680411893,-0.04016534124486959
