index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-27,67.20700187683104,0,650,0.0,43684.55121994018,102310.6043434143,145995.1555633545,-0.0013116586937530483,-0.026698962910969515,-0.004370179993621992,-0.05125778719467844
2022-01-28,68.71049919128419,0,650,0.0,44661.824474334724,102310.6043434143,146972.42881774902,0.006693874537298861,-0.020183807881672733,0.022371140989276173,-0.03003334138953273
2022-01-31,69.44700107574465,0,650,0.0,45140.55069923402,102310.6043434143,147451.15504264832,0.003257251912825998,-0.016992299715677395,0.010718913312070422,-0.01963635286028853
2022-02-01,69.48200073242187,0,650,0.0,45163.30047607421,102310.6043434143,147473.90481948853,0.00015428686763163668,-0.016840634536742782,0.0005039765020096176,-0.019142272618705714
2022-02-02,69.70300025939942,0,650,0.0,45306.95016860962,102310.6043434143,147617.55451202393,0.0009740685493562218,-0.01588296991983995,0.0031806730469468025,-0.016022484882334487
2022-02-03,68.44900131225586,0,650,0.0,44491.85085296631,102310.6043434143,146802.45519638062,-0.005521696375053509,-0.02131696535746197,-0.017990602161697566,-0.0337248328928722
2022-02-04,68.79300060272217,0,650,0.0,44715.45039176942,102310.6043434143,147026.05473518372,0.0015231321472382042,-0.019826301765441312,0.005025629065017689,-0.028868692328253842
2022-02-07,68.77099857330322,0,650,0.0,44701.14907264709,102310.6043434143,147011.7534160614,-9.727064463560531e-05,-0.019921643892923502,-0.00031982947721698185,-0.02917928874669551
2022-02-08,69.15,0,650,0.0,44947.50000000001,102310.6043434143,147258.1043434143,0.0016757226658994373,-0.01827930437723746,0.005511064759264883,-0.023829032937342953
2022-02-09,70.02499923706056,0,650,0.0,45516.24950408936,102310.6043434143,147826.85384750366,0.0038622628386075775,-0.014487641016641684,0.012653640449176384,-0.011476916503207257
2022-02-10,68.82599983215331,0,650,0.0,44736.89989089965,102310.6043434143,147047.50423431396,-0.005272043562488782,-0.019683305104573057,-0.017122447953882625,-0.02840285155159261
2022-02-11,67.88799991607667,0,650,0.0,44127.19994544984,102310.6043434143,146437.80428886414,-0.0041462787731392226,-0.02374797140757201,-0.013628569412201141,-0.041644330729918466
2022-02-14,67.71099910736085,0,650,0.0,44012.14941978455,102310.6043434143,146322.75376319885,-0.0007856613681418434,-0.02451497491200716,-0.002607247362341303,-0.044143001020807704
2022-02-15,68.6840015411377,0,650,0.0,44644.60100173951,102310.6043434143,146955.2053451538,0.0043223050803054,-0.020298631032307446,0.014369931718686946,-0.030407401212647733
2022-02-16,68.72000122070312,0,650,0.0,44668.00079345703,102310.6043434143,146978.60513687134,0.00015923077826718313,-0.020142632420857343,0.0005241348604865248,-0.02989920393115353
2022-02-17,67.57399883270264,0,650,0.0,43923.09924125672,102310.6043434143,146233.70358467102,-0.005068095125182581,-0.02510864276885938,-0.016676402323101636,-0.046076995100358786
2022-02-18,67.2580005645752,0,650,0.0,43717.70036697388,102310.6043434143,146028.30471038818,-0.0014045932589261678,-0.026477968597411583,-0.0046763292625287,-0.05053785316237025
2022-02-22,66.70400009155273,0,650,0.0,43357.60005950927,102310.6043434143,145668.20440292358,-0.0024659623911869044,-0.028878637313842215,-0.00823694532058783,-0.05835852094983973
2022-02-23,65.91399993896484,0,650,0.0,42844.09996032714,102310.6043434143,145154.70430374146,-0.003525135092362186,-0.03230197130838974,-0.011843369985362173,-0.06951072937979441
2022-02-24,67.02900047302246,0,650,0.0,43568.8503074646,102310.6043434143,145879.4546508789,0.004992951145564639,-0.027470302327473273,0.016915989548352384,-0.05377058260312895
2022-02-25,67.45250205993653,0,650,0.0,43844.12633895875,102310.6043434143,146154.73068237305,0.0018870102863555172,-0.02563512878417895,0.00631818442652321,-0.04779213063421395
2022-02-28,67.85400028228759,0,650,0.0,44105.10018348693,102310.6043434143,146415.70452690125,0.001785599708676866,-0.02389530315399102,0.0059523102937573125,-0.04212429393159123
2022-03-01,67.7450008392334,0,650,0.0,44034.25054550171,102310.6043434143,146344.85488891602,-0.0004838937067178639,-0.02436763407389253,-0.0016063819760180342,-0.04366300820108504
2022-03-02,68.05769939422608,0,650,0.0,44237.50460624695,102310.6043434143,146548.10894966125,0.0013888705612474794,-0.02301260700225749,0.004615817420015267,-0.039248731254934666
2022-03-03,67.39800033569335,0,650,0.0,43808.700218200676,102310.6043434143,146119.304561615,-0.0029260315340784437,-0.02587130292256601,-0.009693231837170968,-0.048561516040736774
2022-03-04,66.9550006866455,0,650,0.0,43520.75044631958,102310.6043434143,145831.3547897339,-0.001970648387254581,-0.02779096806844006,-0.006572890098242912,-0.05481521663103983
2022-03-07,65.6340015411377,0,650,0.0,42662.10100173951,102310.6043434143,144972.7053451538,-0.005887961788588747,-0.03351529769897399,-0.01972965621627243,-0.07346338746776138
2022-03-08,65.31300048828125,0,650,0.0,42453.45031738281,102310.6043434143,144764.05466079712,-0.0014392411582575537,-0.03490630226135194,-0.004890773765412804,-0.07799486842502845
2022-03-09,66.53500003814698,0,650,0.0,43247.75002479553,102310.6043434143,145558.35436820984,0.005486857281483903,-0.02961097087860043,0.018709897581339563,-0.060744246843791205
2022-03-10,65.73000011444091,0,650,0.0,42724.50007438659,102310.6043434143,145035.1044178009,-0.003594777865414067,-0.03309930388132665,-0.012098894164643048,-0.07210820279476027
