index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-02-14,105.87399816513062,1,800,0.0,84699.19853210449,61128.19892883301,145827.3974609375,-0.001446203639108301,-0.02781735026041643,-0.0024873461099250704,-0.058047970896431544
2022-02-15,108.07900295257569,1,800,0.0,86463.20236206055,61128.19892883301,147591.40129089355,0.012096518628665676,-0.016057324727375977,0.020826688569991925,-0.03843022933841955
2022-02-16,108.10649919509888,1,800,0.0,86485.1993560791,61128.19892883301,147613.3982849121,0.00014903980737468459,-0.015910678100585662,0.00025440873594329005,-0.03818559758854423
2022-02-17,105.14200077056886,1,800,0.0,84113.60061645508,61128.19892883301,145241.7995452881,-0.016066283732907083,-0.031721336364745834,-0.027422018533594494,-0.06456048995734931
2022-02-18,104.19350109100343,0,400,-400.0,41677.40043640137,102805.59936523438,144482.99980163574,-0.005224389576746757,-0.03678000132242809,-0.00902113021070583,-0.07299921158168288
2022-02-22,103.37099866867065,0,400,0.0,41348.39946746826,102805.59936523438,144153.99883270264,-0.0022770912106254704,-0.038973341115315474,-0.007893989679974345,-0.08031694623878516
2022-02-23,101.24250078201294,0,400,0.0,40497.000312805176,102805.59936523438,143302.59967803955,-0.005906177848393757,-0.04464933547973604,-0.020590861209342393,-0.09925401235536646
2022-02-24,104.0659996986389,0,400,0.0,41626.39987945556,102805.59936523438,144431.99924468994,0.007881221758627044,-0.03712000503540014,0.027888474650634043,-0.07413358071227882
2022-02-25,105.73450374603271,0,400,0.0,42293.801498413086,102805.59936523438,145099.40086364746,0.004620870876590466,-0.0326706609090166,0.01603313332140721,-0.059289040974024876
2022-02-28,105.45550413131714,0,400,0.0,42182.201652526855,102805.59936523438,144987.80101776123,-0.0007691268552590946,-0.033414659881591535,-0.0026386808925278338,-0.06177127700699825
2022-03-01,104.12550354003906,0,400,0.0,41650.201416015625,102805.59936523438,144455.80078125,-0.003669275847876796,-0.03696132812499975,-0.012611959918392812,-0.07360418005567082
2022-03-02,106.39119672775269,1,800,400.0,85112.95738220215,60249.1206741333,145362.07805633545,0.0062737340431058275,-0.03091947962443009,0.02175925311940885,-0.05344649892073983
2022-03-03,105.50549907684326,1,800,0.0,84404.39926147461,60249.1206741333,144653.5199356079,-0.004874435823990719,-0.035643200429280375,-0.008324914825197927,-0.06132647619471754
2022-03-04,104.48450002670288,1,800,0.0,83587.6000213623,60249.1206741333,143836.7206954956,-0.0056465908363371176,-0.04108852869669577,-0.009677211700565125,-0.07041021860229668
2022-03-07,101.47350234985352,0,400,-400.0,40589.400939941406,100838.5216140747,141427.9225540161,-0.016746753748501764,-0.05714718297322574,-0.028817649278886748,-0.0971988108958527
2022-03-08,101.1975043296814,0,400,0.0,40479.00173187256,100838.5216140747,141317.52334594727,-0.0007806040425056837,-0.05788317769368467,-0.0027199023762928265,-0.099654341995417
2022-03-09,104.08450002670287,0,400,0.0,41633.800010681145,100838.5216140747,142472.32162475586,0.00817165664573416,-0.050184522501627304,0.028528328995310215,-0.0739689848543632
2022-03-10,102.63199911117555,0,400,0.0,41052.799644470215,100838.5216140747,141891.32125854492,-0.004077987637073677,-0.05405785827636689,-0.013955016502502193,-0.08689176295254941
2022-03-11,101.08599910736085,0,400,0.0,40434.399642944336,100838.5216140747,141272.92125701904,-0.00435826515702864,-0.058180524953206025,-0.015063528112124192,-0.10064639455072588
2022-03-14,99.3575005531311,0,400,0.0,39743.00022125244,100838.5216140747,140581.52183532715,-0.004894068980381805,-0.06278985443115204,-0.017099287433405608,-0.11602470035457269
2022-03-15,101.79549903869629,0,400,0.0,40718.199615478516,100838.5216140747,141556.72122955322,0.006936895983871816,-0.05628852513631155,0.024537639050828064,-0.09433403352202563
2022-03-16,104.49850044250488,1,800,400.0,83598.8003540039,59039.121437072754,142637.92179107666,0.007637931651229168,-0.04908052139282204,0.026553250677429974,-0.07028565808411913
2022-03-17,105.52500400543212,1,800,0.0,84420.0032043457,59039.121437072754,143459.12464141846,0.005757254733034012,-0.04360583572387666,0.009823141562610438,-0.061152942490690254
2022-03-18,107.19500408172608,1,800,0.0,85756.00326538086,59039.121437072754,144795.1247024536,0.009312757653962667,-0.034699168650308976,0.015825633858379096,-0.04629509270953136
2022-03-21,106.92950344085693,1,800,0.0,85543.60275268555,59039.121437072754,144582.7241897583,-0.0014669037588923572,-0.036115172068277746,-0.0024768005108403157,-0.0486572295110993
2022-03-22,108.08750276565551,1,800,0.0,86470.00221252441,59039.121437072754,145509.12364959717,0.006407400780628514,-0.029939175669352003,0.010829558611380685,-0.03835460721857642
2022-03-23,106.80450239181519,1,800,0.0,85443.60191345215,59039.121437072754,144482.7233505249,-0.0070538552726353565,-0.03678184432983378,-0.011870015876136897,-0.049769353298105834
2022-03-24,109.13449811935425,1,800,0.0,87307.5984954834,59039.121437072754,146346.71993255615,0.01290117281018488,-0.024355200449625358,0.021815519714622145,-0.029039577891542545
2022-03-25,109.37650117874145,1,800,0.0,87501.20094299316,59039.121437072754,146540.32238006592,0.0013229025399339456,-0.02306451746622684,0.0022174753497516964,-0.026886497089932515
2022-03-28,110.60400247573853,1,800,0.0,88483.20198059082,59039.121437072754,147522.32341766357,0.0067012343200034685,-0.016517843882242422,0.011222714968648573,-0.015965521614629608
2022-03-29,113.02699909210206,1,800,0.0,90421.59927368164,59039.121437072754,149460.7207107544,0.013139687934569988,-0.0035951952616370964,0.02190695238985607,0.00559167485333556
2022-03-30,111.65650396347046,1,800,0.0,89325.20317077637,59039.121437072754,148364.32460784912,-0.007335680556680102,-0.010904502614338951,-0.012125378357739414,-0.006601504677653969
2022-03-31,109.89399728775025,1,800,0.0,87915.1978302002,59039.121437072754,146954.31926727295,-0.009503668380542618,-0.020304538218180124,-0.015785078460783808,-0.02228237786914178
2022-04-01,110.31650314331054,1,800,0.0,88253.20251464844,59039.121437072754,147292.3239517212,0.002300066348056795,-0.01805117365519182,0.0038446672792689096,-0.018523378918970712
2022-04-04,111.63650054931641,1,800,0.0,89309.20043945312,59039.121437072754,148348.32187652588,0.007169402291125726,-0.011011187489827101,0.011965547931582554,-0.006779473365697952
2022-04-05,109.6810037612915,1,800,0.0,87744.8030090332,59039.121437072754,146783.92444610596,-0.01054543395321994,-0.02144050369262651,-0.017516643556567235,-0.024177363303817034
2022-04-06,108.0840006828308,1,800,0.0,86467.20054626465,59039.121437072754,145506.3219833374,-0.008703967192522089,-0.029957853444416815,-0.01456043456655809,-0.038385764953998036
2022-04-07,108.07700328826904,0,400,-400.0,43230.80131530762,102269.92275238037,145500.724067688,-3.847197546547054e-05,-0.029995172882079535,-6.474033638237398e-05,-0.03844802018304494
2022-04-08,106.94250116348266,0,400,0.0,42777.00046539307,102269.92275238037,145046.92321777344,-0.0031188906641003156,-0.033020511881509895,-0.010497164894185396,-0.04854158986951396
2022-04-11,104.43950414657593,0,400,0.0,41775.80165863037,102269.92275238037,144045.72441101074,-0.006902585622305835,-0.03969517059326122,-0.023405072722961773,-0.0708105431514916
2022-04-12,104.27700214385986,0,400,0.0,41710.800857543945,102269.92275238037,143980.72360992432,-0.00045125116592115155,-0.04012850926717071,-0.0015559438360411848,-0.07225630975938946
2022-04-13,105.82049589157106,0,400,0.0,42328.198356628425,102269.92275238037,144598.1211090088,0.004288056648174221,-0.036012525939940865,0.014801861541644756,-0.05852397611031335
2022-04-14,103.9464991569519,0,400,0.0,41578.59966278076,102269.92275238037,143848.52241516113,-0.005184014066701104,-0.04100985056559192,-0.017709203862920297,-0.07519676694942745
2022-04-18,104.17499713897705,0,400,0.0,41669.99885559082,102269.92275238037,143939.9216079712,0.0006353849957962954,-0.04040052261352489,0.002198226817433646,-0.07316383968168638
2022-04-19,105.91900329589845,0,400,0.0,42367.60131835938,102269.92275238037,144637.52407073975,0.004846483553524017,-0.03574983952840105,0.016741120276631882,-0.05764756404506577
2022-04-20,106.23000268936157,0,400,0.0,42492.00107574463,102269.92275238037,144761.923828125,0.0008600794170425807,-0.034920507812499446,0.0029362001509238844,-0.05488062868039145
2022-04-21,104.86799898147584,0,400,0.0,41947.19959259033,102269.92275238037,144217.1223449707,-0.003763430802433465,-0.038552517700194744,-0.012821271518447697,-0.06699826075742477
