index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-31,115.45000095367432,0,400,0.0,46180.00038146973,101005.9944152832,147185.99479675293,0.006668448832964247,-0.018760034688313665,0.021568422460982006,-0.02136138883496186
2022-02-01,115.7099998474121,0,400,0.0,46283.999938964844,101005.9944152832,147289.99435424805,0.0007065859604287184,-0.018066704305012893,0.0022520475668259543,-0.01915744813188569
2022-02-02,116.45200347900389,0,400,0.0,46580.801391601555,101005.9944152832,147586.79580688477,0.0020150822460003326,-0.016088027954101358,0.006412614575838527,-0.012867682887173548
2022-02-03,113.43200397491454,0,400,0.0,45372.80158996581,101005.9944152832,146378.79600524902,-0.008185012724420071,-0.024141359965006326,-0.025933426766967194,-0.03846740654232572
2022-02-04,114.13100357055663,0,400,0.0,45652.40142822265,101005.9944152832,146658.39584350586,0.001910111613753207,-0.02227736104329403,0.006162278467694904,-0.032542174945674684
2022-02-07,113.72199592590333,0,400,0.0,45488.79837036133,101005.9944152832,146494.79278564453,-0.0011155383019183507,-0.02336804809570292,-0.0035836681695385897,-0.036009222758692894
2022-02-08,114.91499996185303,0,400,0.0,45965.99998474121,101005.9944152832,146971.9944000244,0.003257464687349998,-0.02018670399983702,0.010490530228883799,-0.02589644836967775
2022-02-09,117.18999862670898,0,400,0.0,46875.999450683594,101005.9944152832,147881.9938659668,0.00619165215561801,-0.014120040893554453,0.019797229827360763,-0.006611896482403901
2022-02-10,114.42400207519532,0,400,0.0,45769.600830078125,101005.9944152832,146775.59524536133,-0.007481631750301254,-0.021496031697590956,-0.02360266732594074,-0.03005850541527688
2022-02-11,111.44099960327148,0,400,0.0,44576.399841308594,101005.9944152832,145582.3942565918,-0.008129423605980901,-0.029450704956054508,-0.02606972678654884,-0.05534461517803746
2022-02-14,111.36099777221679,0,400,0.0,44544.39910888672,101005.9944152832,145550.39352416992,-0.00021981182948171973,-0.029664043172200283,-0.0007178850812492588,-0.05602276918572291
2022-02-15,113.94900245666504,0,400,0.0,45579.600982666016,101005.9944152832,146585.59539794922,0.007112326175932937,-0.02276269734700498,0.023239776368939147,-0.034084949444228685
2022-02-16,113.87900028228759,0,400,0.0,45551.60011291504,101005.9944152832,146557.59452819824,-0.0001910206093236333,-0.022949369812011566,-0.0006143289793526518,-0.03467833905137796
2022-02-17,110.79799957275391,0,400,0.0,44319.19982910156,101005.9944152832,145325.19424438477,-0.008408982746891058,-0.031165371704101386,-0.027055038258997577,-0.06079515352058207
2022-02-18,109.80300140380861,0,400,0.0,43921.200561523445,101005.9944152832,144927.19497680664,-0.0027386804445541646,-0.033818700154622294,-0.008980290012293501,-0.06922948542291885
2022-02-22,108.83499946594239,1,800,400.0,87067.9995727539,57471.99462890625,144539.99420166016,-0.0026716916394362578,-0.03640003865559882,-0.008815805811230204,-0.07743497753424922
2022-02-23,106.56799983978271,1,800,0.0,85254.39987182617,57471.99462890625,142726.39450073242,-0.012547390159691196,-0.0484907033284504,-0.020829692996590543,-0.09665172372160347
2022-02-24,109.71899948120118,1,800,0.0,87775.19958496094,57471.99462890625,145247.1942138672,0.01766176271706943,-0.03168537190755183,0.0295679720568629,-0.06994154713098855
2022-02-25,110.93650398254395,0,400,-400.0,44374.60159301758,101846.59622192383,146221.1978149414,0.006705834190779969,-0.02519201456705711,0.011096569482948793,-0.059621088885523754
2022-02-28,111.12100410461426,0,400,0.0,44448.4016418457,101846.59622192383,146294.99786376953,0.0005047151160773033,-0.024700014241536228,0.0016631146236529837,-0.05805713096667442
2022-03-01,109.72500305175781,0,400,0.0,43890.001220703125,101846.59622192383,145736.59744262695,-0.0038169481478961265,-0.02842268371582013,-0.012562890914324276,-0.06989065647786574
2022-03-02,111.68269672393798,0,400,0.0,44673.078689575195,101846.59622192383,146519.67491149902,0.005373238312225137,-0.023202167256673123,0.017841819254784674,-0.0532958136835574
2022-03-03,110.35899925231935,0,400,0.0,44143.59970092774,101846.59622192383,145990.19592285156,-0.003613705729058392,-0.026732027180989548,-0.011852305777416916,-0.06451644118054056
2022-03-04,108.87400035858154,0,400,0.0,43549.60014343262,101846.59622192383,145396.19636535645,-0.004068763342224835,-0.03069202423095696,-0.01345607430113227,-0.0771043774555028
2022-03-07,105.85800266265869,0,400,0.0,42343.20106506348,101846.59622192383,144189.7972869873,-0.008297322134463991,-0.0387346847534179,-0.02770172571954299,-0.10267017885899732
2022-03-08,105.52200393676758,0,400,0.0,42208.80157470703,101846.59622192383,144055.39779663086,-0.0009321012504716064,-0.03963068135579417,-0.003174051252051835,-0.10551834970129337
2022-03-09,108.48200016021728,0,400,0.0,43392.800064086914,101846.59622192383,145239.39628601074,0.008219049806459822,-0.031737358093261614,0.028050985699849207,-0.08042725771998682
2022-03-10,106.94999980926514,0,400,0.0,42779.999923706055,101846.59622192383,144626.59614562988,-0.004219241858965828,-0.03582269236246738,-0.01412216172903824,-0.09341361270808035
2022-03-11,105.29599857330322,0,400,0.0,42118.39942932129,101846.59622192383,143964.99565124512,-0.004574542387200897,-0.040233362325032496,-0.015465182224512986,-0.1074341363898128
2022-03-14,103.22399921417235,0,400,0.0,41289.59968566894,101846.59622192383,143136.19590759277,-0.005756953208682081,-0.04575869394938137,-0.019677854687786822,-0.124997917753213
2022-03-15,106.0009994506836,1,800,400.0,84800.79956054688,59446.19644165039,144246.99600219727,0.007760441637848281,-0.03835335998535139,0.026902660792568645,-0.10145803354173644
2022-03-16,108.98299942016602,0,400,-400.0,43593.199768066406,103039.3962097168,146632.5959777832,0.01653829917920513,-0.02244936014811172,0.028131809935148633,-0.07618042172257788
2022-03-17,109.87100391387938,0,400,0.0,43948.40156555175,103039.3962097168,146987.79777526855,0.0024223931596980552,-0.020081348164876056,0.008148101065651447,-0.06865304643234593
2022-03-18,111.91700477600098,0,400,0.0,44766.80191040039,103039.3962097168,147806.1981201172,0.005567811459423977,-0.014625345865885153,0.018621845521001434,-0.05130964733655374
2022-03-21,111.53100299835205,0,400,0.0,44612.40119934082,103039.3962097168,147651.79740905762,-0.001044615943196714,-0.015654683939615555,-0.003449000251762424,-0.05458168060173452
2022-03-22,112.91900367736817,0,400,0.0,45167.601470947266,103039.3962097168,148206.99768066406,0.0037601998847891505,-0.011953348795572527,0.012444976210216785,-0.04281597210811994
2022-03-23,111.68900146484374,0,400,0.0,44675.6005859375,103039.3962097168,147714.9967956543,-0.0033196872800153043,-0.01523335469563758,-0.010892783078734758,-0.0532423700903758
2022-03-24,114.3489984512329,0,400,0.0,45739.599380493164,103039.3962097168,148778.99559020996,0.007203051942163752,-0.008140029398599924,0.023816105001408294,-0.030694290965563753
2022-03-25,114.19800052642822,0,400,0.0,45679.20021057129,103039.3962097168,148718.5964202881,-0.00040596570559081613,-0.008542690531412434,-0.0013205006327107194,-0.031974259767633795
2022-03-28,115.35600395202637,0,400,0.0,46142.40158081055,103039.3962097168,149181.79779052734,0.003114616338431686,-0.0054546813964840846,0.010140312617208824,-0.02215817614017257
2022-03-29,117.31899986267089,0,400,0.0,46927.59994506836,103039.3962097168,149966.99615478516,0.0052633657449305815,-0.00022002563476530845,0.017016850821747198,-0.0055183876962846545
2022-03-30,116.03300437927247,0,400,0.0,46413.201751708984,103039.3962097168,149452.59796142578,-0.0034300759937102576,-0.00364934692382779,-0.010961527842069607,-0.016419425577978153
2022-03-31,114.41799545288086,0,400,0.0,45767.198181152344,103039.3962097168,148806.59439086914,-0.004322464643427448,-0.007956037394205362,-0.013918530637306414,-0.03010942193733046
2022-04-01,114.27100372314453,0,400,0.0,45708.40148925781,103039.3962097168,148747.7976989746,-0.0003951215477728809,-0.008348015340168935,-0.0012846906568718675,-0.03135543130115559
