index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2019-07-31,53.70399885177613,0,650,0.0,34907.59925365448,117461.00127696991,152368.6005306244,-0.0005883629327019246,0.015790670204161694,-0.0025630780980778756,0.06549213336455328
2019-08-01,53.74299964904786,0,650,0.0,34932.94977188111,117461.00127696991,152393.951048851,0.00016637626215865176,0.01595967365900597,0.0007262177511095924,0.06626591266547033
2019-08-02,53.5689995765686,0,650,0.0,34819.84972476959,117461.00127696991,152280.8510017395,-0.000742155750494744,0.015205673344929282,-0.0032376323170555388,0.06281373568804982
2019-08-05,53.030000305175776,1,1300,650.0,68939.0003967285,82991.50107860565,151930.50147533417,-0.0023006801190080806,0.012870009835560303,-0.010061775946037743,0.052119942007185394
2019-08-06,53.36500082015991,0,650,-650.0,34687.25053310394,117678.7516117096,152366.00214481354,0.0028664466005865474,0.015773347632089596,0.006317188630139192,0.05876638214237584
2019-08-07,53.64799871444701,0,650,0.0,34871.19916439056,117678.7516117096,152549.95077610016,0.0012072813403070093,0.016999671840667085,0.0053030617434224325,0.06438108563873679
2019-08-08,53.873999786376956,0,650,0.0,35018.09986114502,117678.7516117096,152696.8514728546,0.000962967841071638,0.01797900981903,0.004212665473932731,0.06886496708931422
2019-08-09,53.75799903869629,0,650,0.0,34942.69937515259,117678.7516117096,152621.45098686218,-0.0004937920151276698,0.01747633991241382,-0.002153186103512561,0.06656350189564608
2019-08-12,53.57500009536743,0,650,0.0,34823.75006198883,117678.7516117096,152502.50167369843,-0.000779374802130528,0.01668334449132214,-0.0034041249042237043,0.06293278651690715
2019-08-13,53.93499927520752,0,650,0.0,35057.74952888489,117678.7516117096,152736.50114059448,0.0015343975628461237,0.01824334093729596,0.006719536709272278,0.07007520239539655
2019-08-14,53.41199932098388,0,650,0.0,34717.79955863952,117678.7516117096,152396.55117034912,-0.002225728412702299,0.015977007802326915,-0.00969685660984232,0.05969883659602049
2019-08-15,53.65799884796143,0,650,0.0,34877.69925117493,117678.7516117096,152556.45086288452,0.0010492343252352931,0.017043005752563012,0.0046056977852335645,0.06457948918074541
2019-08-16,53.96100082397461,0,650,0.0,35074.650535583496,117678.7516117096,152753.4021472931,0.0012910059410440322,0.018356014315286773,0.005646911597872339,0.07059107544505716
2019-08-19,54.10100116729736,0,650,0.0,35165.650758743286,117678.7516117096,152844.40237045288,0.0005957328732490996,0.018962682469685355,0.0025944726966693477,0.07336869475959729
2019-08-20,54.05699968338013,0,650,0.0,35137.04979419708,117678.7516117096,152815.80140590668,-0.00018712471050708057,0.01877200937271062,-0.0008133210655597578,0.07249570138903683
2019-08-21,54.14299964904785,0,650,0.0,35192.9497718811,117678.7516117096,152871.7013835907,0.0003657997220820608,0.0191446758906042,0.0015909126694311215,0.07420194838828698
2019-08-22,54.04999876022339,0,650,0.0,35132.4991941452,117678.7516117096,152811.2508058548,-0.00039543340715630926,0.018741672039031654,-0.0017176899955172464,0.07235680244837539
2019-08-23,53.63899927139283,0,650,0.0,34865.349526405334,117678.7516117096,152544.10113811493,-0.0017482329758512494,0.016960674254099084,-0.007604061022347786,0.06420253588482816
2019-08-26,53.80100021362305,0,650,0.0,34970.65013885498,117678.7516117096,152649.40175056458,0.0006902961941104291,0.01766267833709656,0.0030202081401735636,0.06741664904650091
2019-08-27,53.87300128936768,0,650,0.0,35017.45083808899,117678.7516117096,152696.20244979858,0.00030658947036354967,0.017974682998656677,0.0013382850775773836,0.06884515681947745
2019-08-28,53.86299934387207,0,650,0.0,35010.949573516846,117678.7516117096,152689.70118522644,-4.2576465346444436e-05,0.017931341234842524,-0.00018565784820279152,0.06864671732760042
2019-08-29,54.09200057983399,0,650,0.0,35159.8003768921,117678.7516117096,152838.55198860168,0.0009748581745843143,0.018923679924010894,0.004251550020449857,0.07319012230050825
2019-08-30,54.0770004272461,0,650,0.0,35150.05027770996,117678.7516117096,152828.80188941956,-6.379345430373995e-05,0.018858679262796718,-0.00027730814958037975,0.07289251793354512
2019-09-03,54.08000030517577,0,650,0.0,35152.00019836425,117678.7516117096,152830.75181007385,1.2758855858274742e-05,0.018871678733825448,5.547419246587637e-05,0.0729520357795801
2019-09-04,54.26699962615967,0,650,0.0,35273.549757003784,117678.7516117096,152952.30136871338,0.0007953213420723859,0.019682009124755595,0.0034578276614025683,0.07666211900825681
2019-09-05,54.40100078582765,0,650,0.0,35360.65051078797,117678.7516117096,153039.40212249756,0.0005694635059736441,0.020262680816649947,0.002469293688449836,0.07932071398331697
2019-09-06,54.3960005760193,0,650,0.0,35357.400374412544,117678.7516117096,153036.15198612213,-2.1237252173955667e-05,0.020241013240813732,-9.191393055496544e-05,0.07922150937416528
2019-09-09,54.14199962615967,0,650,0.0,35192.299757003784,117678.7516117096,152871.05136871338,-0.0010788340876718427,0.01914034245808871,-0.004669478402270721,0.07418210784487655
2019-09-10,53.86700143814087,0,650,0.0,35013.550934791565,117678.7516117096,152692.30254650116,-0.0011692784252598232,0.017948683643340457,-0.005079202650763004,0.06872611923530858
2019-09-11,54.11599941253662,0,650,0.0,35175.399618148804,117678.7516117096,152854.1512298584,0.001059966223955211,0.0190276748657221,0.004622458420702857,0.07366626128459286
2019-09-12,54.21600046157837,0,650,0.0,35240.40030002594,117678.7516117096,152919.15191173553,0.0004252464284033586,0.01946101274490286,0.0018479017319705804,0.07565029102837895
2019-09-13,53.87200069427491,0,650,0.0,35016.800451278694,117678.7516117096,152695.55206298828,-0.00146220957906118,0.017970347086587957,-0.006344986062689073,0.06882530492347638
2019-09-16,53.905999660491936,0,650,0.0,35038.899779319756,117678.7516117096,152717.65139102936,0.0001447280404864859,0.018117675940195088,0.0006311064333766048,0.06949984744956939
2019-09-17,54.05200052261353,0,650,0.0,35133.8003396988,117678.7516117096,152812.5519514084,0.0006214118637539734,0.01875034634272188,0.0027084343679948386,0.07239651759296706
2019-09-18,54.134799289703366,0,650,0.0,35187.61953830719,117678.7516117096,152866.37115001678,0.0003521909550041613,0.019109141000111185,0.0015318353860962475,0.07403925252654231
2019-09-19,54.169999027252196,0,650,0.0,35210.49936771393,117678.7516117096,152889.25097942352,0.0001496720909550664,0.019261673196156126,0.0006502238488121925,0.07473761846309546
2019-09-20,54.04200038909912,0,650,0.0,35127.30025291443,117678.7516117096,152806.05186462402,-0.0005441789678902742,0.018707012430826175,-0.0023629064140960887,0.07219811405095866
2019-09-23,54.151000499725335,0,650,0.0,35198.150324821465,117678.7516117096,152876.90193653107,0.000463660117138609,0.019179346243539674,0.002016951812320311,0.07436068598026013
2019-09-24,53.939000892639164,0,650,0.0,35060.350580215454,117678.7516117096,152739.10219192505,-0.0009013771397802239,0.018260681279499646,-0.003914971194064032,0.07015459484261255
2019-09-25,53.96200017929077,0,650,0.0,35075.300116539,117678.7516117096,152754.0517282486,9.787628779411861e-05,0.01836034485499005,0.0004263943764435396,0.07061090274377868
