index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2018-10-17,54.48750162124634,1,800,0.0,43590.00129699707,106214.001121521,149804.00241851807,-0.0013066505432128839,-0.0013066505432128839,-0.004476261510577784,-0.004476261510577784,-0.00025266233815879335,-0.00025266233815879335
2018-10-18,53.7610002040863,1,800,0.0,43008.80016326904,106214.001121521,149222.80128479004,-0.003879743694058857,-0.00518132476806632,-0.013333358945508245,-0.017749936854631554,-0.014391922356395415,-0.014640948397801057
2018-10-19,53.895001125335696,1,800,0.0,43116.000900268555,106214.001121521,149330.00202178955,0.0007183938116461785,-0.0044666531880696025,0.0024925302866520838,-0.01530164882317575,-0.00036116989772350117,-0.014996830425689112
2018-10-22,53.91999802589416,1,800,0.0,43135.998420715325,106214.001121521,149349.99954223633,0.00013391495463754843,-0.004333336385091147,0.0004638074039617912,-0.014844938437231003,-0.004299527548581317,-0.019231878688713788
2018-10-23,53.81849989891053,1,800,0.0,43054.799919128425,106214.001121521,149268.8010406494,-0.0005436792891583275,-0.004874659729003916,-0.001882383729592929,-0.016699378296242906,-0.005511829997012829,-0.024637705839871238
2018-10-24,52.52999939918518,0,400,-400.0,21011.999759674072,127226.00088119507,148238.00064086914,-0.006905665434396857,-0.011746662394205742,-0.023941590756814013,-0.04024115937199502,-0.030864433977743855,-0.05474171097235736
2018-10-25,53.81600170135498,0,400,0.0,21526.400680541992,127226.00088119507,148752.40156173706,0.0034701015842364402,-0.008317322921752912,0.02448129291601986,-0.016745022065841164,0.018625040052811848,-0.037136237478965106
2018-10-26,52.884498071670535,0,400,0.0,21153.799228668213,127226.00088119507,148379.80010986328,-0.0025048432694992906,-0.010801332600911429,-0.017309045641363374,-0.033764227356001264,-0.017327264039978307,-0.05382003212669406
2018-10-29,52.565001010894775,0,400,0.0,21026.00040435791,127226.00088119507,148252.00128555298,-0.0008612952990614264,-0.011653324762980088,-0.006041412368947285,-0.0396016561041721,-0.0065595995737004476,-0.06002659384059972
2018-10-30,53.06050109863281,0,400,0.0,21224.200439453125,127226.00088119507,148450.2013206482,0.001336913049244215,-0.010331991195678625,0.009426425914751402,-0.03054853226678811,0.015666780052058682,-0.045300237231515994
2018-10-31,53.54000101089478,0,400,0.0,21416.00040435791,127226.00088119507,148642.00128555298,0.0012920155257352128,-0.009053324762980042,0.00903685231638951,-0.02178774252497606,0.010851331974038647,-0.03494047317017923
2018-11-01,53.9970003604889,0,400,0.0,21598.80014419556,127226.00088119507,148824.80102539062,0.0012297986992686472,-0.007834659830728952,0.008535661953034346,-0.013438053376854664,0.010557843693063784,-0.024751525531407914
2018-11-02,53.03799872398376,0,400,0.0,21215.199489593506,127226.00088119507,148441.20037078857,-0.0025775317820623256,-0.010391997528075958,-0.017760276128354402,-0.030959665966608596,-0.0063166863793988615,-0.03091186428661319
2018-11-05,53.30149850845337,0,400,0.0,21320.599403381348,127226.00088119507,148546.60028457642,0.0007100448765204881,-0.009689331436157134,0.004968132109224088,-0.026145345567964107,0.005600317169601965,-0.025484663361319937
2018-11-06,53.67899932861328,0,400,0.0,21471.599731445312,127226.00088119507,148697.60061264038,0.0010165182358579106,-0.00868266258239736,0.007082367864386319,-0.01924814865883162,0.006259295774170726,-0.01938488363283286
2018-11-07,54.87899956703186,0,400,0.0,21951.599826812744,127226.00088119507,149177.6007080078,0.003228028518212911,-0.005482661946614398,0.022355115658404756,0.002676672410094838,0.021208856064105275,0.0014128412244842625
2018-11-08,54.848999166488646,0,400,0.0,21939.59966659546,127226.00088119507,149165.60054779053,-8.044210498314719e-05,-0.00556266301472963,-0.0005466644942492271,0.0021285446740761937,-0.0025089163835961825,-0.0010996198596074924
2018-11-09,54.240998601913454,0,400,0.0,21696.39944076538,127226.00088119507,148922.40032196045,-0.0016304042281662934,-0.007183997853596802,-0.011084989221583963,-0.008980039442277543,-0.00919901370610332,-0.01028851814755083
2018-11-12,53.03299779891968,0,400,0.0,21213.19911956787,127226.00088119507,148439.20000076294,-0.0032446449973466684,-0.01040533332824689,-0.0222709912083211,-0.031051036271129262,-0.01970148934024063,-0.029787308357180575
2018-11-13,53.00749998092652,0,400,0.0,21202.999992370605,127226.00088119507,148429.00087356567,-6.870912263889917e-05,-0.010473327509562091,-0.0004807915647130345,-0.03151689875952757,-0.0014819196931705747,-0.03122508565149007
2018-11-14,52.49550013542176,0,400,0.0,20998.2000541687,127226.00088119507,148224.20093536377,-0.0013797838494942205,-0.011838660430908199,-0.009659007606263148,-0.04087148440094657,-0.007567410690302756,-0.03855620329482812
2018-11-15,53.175000238418576,0,400,0.0,21270.00009536743,127226.00088119507,148496.0009765625,0.0018337089320337174,-0.010026660156249978,0.012943968554331775,-0.028456555055469512,0.010593753366266334,-0.028370904837006772
2018-11-16,53.40099992752075,0,400,0.0,21360.3999710083,127226.00088119507,148586.40085220337,0.0006087697651544488,-0.009423994318644158,0.004250111670688561,-0.024327386921529803,0.0022233054237545957,-0.0262106765998531
2018-11-19,52.12050070762634,0,400,0.0,20848.200283050537,127226.00088119507,148074.2011642456,-0.003447150513237296,-0.012838658905029221,-0.023978937129124578,-0.04772297916914714,-0.01664310858849427,-0.042417558051518145
2018-11-20,51.29299793243408,0,400,0.0,20517.199172973633,127226.00088119507,147743.2000541687,-0.0022353732620158384,-0.01504533297220867,-0.015876723438137952,-0.06284201806537248,-0.01815124083246611,-0.059798867572266046
2018-11-21,51.48449969291687,0,400,0.0,20593.799877166748,127226.00088119507,147819.80075836182,0.0005184719443265262,-0.014534661610921318,0.0037334873803835933,-0.05934315056639383,0.0030432907461763747,-0.05693756216640422
2018-11-23,51.0990002155304,0,400,0.0,20439.600086212162,127226.00088119507,147665.60096740723,-0.0010431605925830256,-0.015562660217285251,-0.007487680363717386,-0.0663864883868941,-0.006554842390161242,-0.06311918781048464
2018-11-26,51.761998462677006,0,400,0.0,20704.7993850708,127226.00088119507,147930.80026626587,0.0017959450076472372,-0.013794664891561004,0.012974779239322665,-0.05427305917886527,0.0155323683669224,-0.048567209919655685
2018-11-27,51.97550110816956,0,400,0.0,20790.200443267822,127226.00088119507,148016.2013244629,0.0005773041046441829,-0.013225324503580937,0.004124698656032377,-0.050372220537086676,0.003261692144003847,-0.04546392906270291
2018-11-28,53.25099911689758,0,400,0.0,21300.399646759033,127226.00088119507,148526.4005279541,0.0034469145872269014,-0.009823996480306185,0.024540369626711245,-0.027068003821273723,0.022973979644221654,-0.023534436799314107
2018-11-29,52.97700061798096,0,400,0.0,21190.800247192386,127226.00088119507,148416.80112838745,-0.0007379119077622898,-0.010554659144083822,-0.005145415174561019,-0.03207414287822763,-0.0021831080910337253,-0.02566616667095334
2018-11-30,53.46800122261048,0,400,0.0,21387.200489044193,127226.00088119507,148613.20137023926,0.0013233019466705187,-0.00924532419840507,0.009268184285670333,-0.023103227659557635,0.008170747552017188,-0.01770513088743253
2018-12-03,54.26150069236756,0,400,0.0,21704.600276947025,127226.00088119507,148930.6011581421,0.002135744233865866,-0.007129325612386217,0.014840642096445533,-0.00860545229608034,0.010941426132194287,-0.006957424137003954
2018-12-04,52.74499850273132,0,400,0.0,21097.99940109253,127226.00088119507,148324.0002822876,-0.004073043895192363,-0.01117333145141619,-0.027948032588224314,-0.03631297942309741,-0.03236490314939877,-0.03909715092803934
2018-12-06,53.22650022506714,0,400,0.0,21290.600090026855,127226.00088119507,148516.60097122192,0.0012985133125305026,-0.00988932685852062,0.009128860290154028,-0.027515615248816072,-0.0015222281477752508,-0.040559864292174064
2018-12-07,51.90349950790405,0,400,0.0,20761.39980316162,127226.00088119507,147987.4006843567,-0.0035632399570454387,-0.013417328770955472,-0.024856053123327837,-0.05168773877779831,-0.023320118765389863,-0.06293412220516237
2018-12-10,52.220999574661256,0,400,0.0,20888.399829864502,127226.00088119507,148114.40071105957,0.0008581813459496157,-0.012570661926269544,0.0061171225402414375,-0.04588679646948868,0.0017621539947350051,-0.061282867825276366
2018-12-11,52.26500046253204,0,400,0.0,20906.000185012817,127226.00088119507,148132.0010662079,0.0001188294660332545,-0.012453326225280725,0.0008425899203228226,-0.045082870301346945,-0.00035634616892232795,-0.06161737607902862
2018-12-12,52.17350144386291,0,400,0.0,20869.400577545166,127226.00088119507,148095.40145874023,-0.0002470742797249237,-0.01269732360839837,-0.0017506747892354069,-0.04675461964611938,0.005419503676349802,-0.056531807998866146
2018-12-13,52.3020015001297,0,400,0.0,20920.80060005188,127226.00088119507,148146.80148124695,0.0003470737241022537,-0.012354656791687013,0.0024629371752067364,-0.04440683616175167,-0.00019993032368359476,-0.056720435899878074
2018-12-14,51.4924993276596,0,400,0.0,20596.99973106384,127226.00088119507,147823.0006122589,-0.0021856757334651755,-0.01451332925160731,-0.015477460694656053,-0.05919699179514015,-0.019086709555430348,-0.0747245389694301
2018-12-17,50.163500213623045,0,400,0.0,20065.40008544922,127226.00088119507,147291.4009666443,-0.0035961903317671684,-0.01805732688903805,-0.02580956705130588,-0.08347871011747376,-0.020773480559224233,-0.09394573077107593
2018-12-18,50.5199996471405,0,400,0.0,20207.9998588562,127226.00088119507,147434.00074005127,0.0009681473084723891,-0.01710666173299147,0.007106749568895454,-0.0769652228357176,8.640058610476231e-05,-0.09386744715117179
2018-12-19,49.83400011062622,0,400,0.0,19933.60004425049,127226.00088119507,147159.60092544556,-0.001861170511743282,-0.01893599383036293,-0.013578771601458373,-0.08949890125503446,-0.01539571453679811,-0.10781800526733243
2018-12-20,49.22349996566773,0,400,0.0,19689.39998626709,127226.00088119507,146915.40086746216,-0.0016594232143040122,-0.0205639942169189,-0.012250675113441578,-0.1006531544061906,-0.01577210632742365,-0.12188959455166903
2018-12-21,47.92700018882751,0,400,0.0,19170.800075531006,127226.00088119507,146396.80095672607,-0.003529922034545163,-0.02402132695515946,-0.026339040859436946,-0.12434108771909169,-0.020588228309714296,-0.139968332060175
2018-12-24,46.432998991012575,0,400,0.0,18573.19959640503,127226.00088119507,145799.2004776001,-0.004082059684505146,-0.028005330149332597,-0.03117243290689431,-0.15163750641149232,-0.027112254452099527,-0.16328572947822306
2018-12-26,48.60049896240234,0,400,0.0,19440.199584960938,127226.00088119507,146666.200466156,0.0059465345880900244,-0.02222533022562645,0.04668016321343571,-0.1120358067466235,0.04959374278953943,-0.12178993715762898
2018-12-27,48.77700071334839,0,400,0.0,19510.800285339355,127226.00088119507,146736.80116653442,0.00048136994177272463,-0.02175465888977035,0.0036316859850058503,-0.10881099963079821,0.008562680784222065,-0.11427010472801813
2018-12-28,48.75750088691712,0,400,0.0,19503.00035476685,127226.00088119507,146729.0012359619,-5.315592619237197e-05,-0.021806658426920422,-0.00039977501990884345,-0.10916727473116339,-0.0012415825080966947,-0.11536981147288616
2018-12-31,49.07449986934662,0,400,0.0,19629.799947738647,127226.00088119507,146855.80082893372,0.0008641753975269229,-0.020961327807108354,0.006501542873674104,-0.10337548757455606,0.00849248413140935,-0.10785710363465395
2019-01-02,48.71299982070923,0,400,0.0,19485.19992828369,127226.00088119507,146711.20080947876,-0.0009846394806248826,-0.021925327936808015,-0.007366352170675716,-0.10998033949794228,0.0012684969251244294,-0.10672542311384292
2019-01-03,47.3804995059967,0,400,0.0,18952.19980239868,127226.00088119507,146178.20068359375,-0.003632988639886925,-0.025478662109374772,-0.027354100950811144,-0.13432602713952224,-0.02475673039503723,-0.12883998098255445
2019-01-04,48.70300045013428,0,400,0.0,19481.200180053715,127226.00088119507,146707.20106124878,0.003618873232678954,-0.021951992925007935,0.027912347018844708,-0.11016303480385858,0.03433571464262353,-0.09892807916150892
