index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2019-06-04,50.74599981307984,0,650,0.0,32984.8998785019,117238.05069923401,150222.9505777359,0.0014863371849060947,0.0014863371849060947,0.0068051682666725455,0.0068051682666725455,0.021432370568193138,0.021432370568193138
2019-06-05,51.06300086975097,0,650,0.0,33190.950565338135,117238.05069923401,150429.00126457214,0.0013716325371309068,0.0028600084304810647,0.006246818622921868,0.013094497541454864,0.008161854781411959,0.029769153245804203
2019-06-06,51.21899948120117,1,1300,650.0,66584.69932556152,83945.70103645325,150530.40036201477,0.0006740661480846288,0.0035360024134318824,0.0030550223996452797,0.016189523924401428,0.006135586748687638,0.036087391216666376
2019-06-07,51.70600023269653,1,1300,0.0,67217.8003025055,83945.70103645325,151163.50133895874,0.00420580145552929,0.00775667559305826,0.00950820508850625,0.025851662326666247,0.01049769746289475,0.04696392319477871
2019-06-10,51.7709997177124,1,1300,0.0,67302.29963302612,83945.70103645325,151248.00066947937,0.0005589929432181506,0.008320004463195696,0.001257097526850659,0.02714125791429267,0.0046600444669098184,0.05184282163211673
2019-06-11,51.73699998855592,1,1300,0.0,67258.0999851227,83945.70103645325,151203.80102157593,-0.0002922329399912549,0.008025340143839488,-0.0006567331004203592,0.026466700251412956,-0.00034988023558091275,0.05147480261788995
2019-06-12,51.74700040817261,1,1300,0.0,67271.10053062439,83945.70103645325,151216.80156707764,8.598028233341992e-05,0.008112010447184348,0.00019329338034479449,0.026665109469715897,-0.0020375791387226005,0.04933233949518323
2019-06-13,51.87699937820435,1,1300,0.0,67440.09919166566,83945.70103645325,151385.8002281189,0.0011175918237253946,0.009238668187459442,0.002512203007059899,0.02924430064496919,0.004097381912668174,0.05363185484340849
2019-06-14,51.79099864959717,1,1300,0.0,67328.29824447632,83945.70103645325,151273.99928092957,-0.0007385167368462175,0.008493328539530554,-0.0016577814761451481,0.027538038508931884,-0.001611511904139773,0.05193391456674745
2019-06-17,51.912001609802246,1,1300,0.0,67485.60209274292,83945.70103645325,151431.30312919617,0.0010398604453794036,0.009542020861307732,0.0023363704767260796,0.029938748045817087,0.0009317492412306283,0.05291405319346976
