index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2018-10-17,61.23300185203553,1,700,0.0,42863.10129642487,106929.35184717178,149792.45314359665,-0.0013836457093556742,-0.0013836457093556742,-0.004818753961326583,-0.004818753961326583
2018-10-18,60.17550036907196,1,700,0.0,42122.85025835037,106929.35184717178,149052.20210552216,-0.004941844682688101,-0.006318652629852317,-0.017270123152200334,-0.022005656639174642
2018-10-19,60.177001523971555,1,700,0.0,42123.90106678009,106929.35184717178,149053.25291395187,7.049935625724757e-06,-0.00631164724032085,2.4946280303250745e-05,-0.021981259318150204
2018-10-22,60.629997563362124,1,700,0.0,42440.998294353485,106929.35184717178,149370.35014152527,0.002127408972123934,-0.004197665723164823,0.007527727003980411,-0.014619001233520557
2018-10-23,60.40499970912933,1,700,0.0,42283.499796390526,106929.35184717178,149212.85164356232,-0.0010544160726256857,-0.00524765570958452,-0.0037109988994747933,-0.018275749035506328
2018-10-24,58.198998665809626,0,350,-350.0,20369.649533033367,127299.00138020515,147668.65091323853,-0.010348979416414883,-0.015542327245076426,-0.0365201730641892,-0.05412848858204111
2018-10-25,59.7895025730133,0,350,0.0,20926.325900554657,127299.00138020515,148225.3272807598,0.003769766731656299,-0.011831151461601186,0.02732871602029907,-0.028279034654808632
2018-10-26,58.86049745082855,0,350,0.0,20601.17410778999,127299.00138020515,147900.17548799515,-0.002193631808609764,-0.013998830080032332,-0.01553793027547401,-0.0433775672615585
2018-10-29,57.99400148391724,0,350,0.0,20297.900519371033,127299.00138020515,147596.9018995762,-0.0020505289288421658,-0.016020654002825485,-0.014721179813934948,-0.057460178107945015
2018-10-30,58.467001533508295,0,350,0.0,20463.4505367279,127299.00138020515,147762.45191693306,0.001121636126681702,-0.014916987220446432,0.008156016786015963,-0.049772807499104954
2018-10-31,59.571002101898195,0,350,0.0,20849.850735664368,127299.00138020515,148148.85211586952,0.0026150093878631875,-0.012340985894203294,0.01888245573457681,-0.03183018459891562
2018-11-01,60.11550033092498,0,350,0.0,21040.425115823742,127299.00138020515,148339.4264960289,0.0012863709535213541,-0.011070490026474089,0.009140323476435785,-0.022980799306028588
2018-11-02,59.18099853992462,0,350,0.0,20713.349488973618,127299.00138020515,148012.35086917877,-0.002204913653612417,-0.01325099420547493,-0.015545105436303386,-0.03816866579410927
2018-11-05,59.159248971939085,0,350,0.0,20705.73714017868,127299.00138020515,148004.73852038383,-5.143049718647763e-05,-0.013301743197441152,-0.00036750931079454485,-0.03852214776484386
2018-11-06,59.498998928070066,0,350,0.0,20824.649624824524,127299.00138020515,148123.65100502968,0.0008034370104270661,-0.012508993299802151,0.005742972773236765,-0.033000406637387236
2018-11-07,60.957497954368584,0,350,0.0,21335.124284029003,127299.00138020515,148634.12566423416,0.003446273810703948,-0.009105828905105584,0.024513001102115073,-0.009296344539544643
2018-11-08,60.83149988651275,0,350,0.0,21291.024960279465,127299.00138020515,148590.02634048462,-0.0002966971652873518,-0.00939982439676923,-0.0020669822759153966,-0.011344111436065951
2018-11-09,59.89199750423431,0,350,0.0,20962.19912648201,127299.00138020515,148261.20050668716,-0.0022129737903402447,-0.011591996622085654,-0.015444340251862587,-0.026613249371054915
2018-11-12,58.14549808502197,0,350,0.0,20350.92432975769,127299.00138020515,147649.92570996284,-0.00412295863405443,-0.015667161933581086,-0.029160814332313212,-0.05499799967967922
2018-11-13,58.1324996471405,0,350,0.0,20346.374876499176,127299.00138020515,147645.37625670433,-3.0812431747850866e-05,-0.015697491621971205,-0.00022355020267372794,-0.05520925506837793
2018-11-14,57.466501116752625,0,350,0.0,20113.27539086342,127299.00138020515,147412.27677106857,-0.0015787794480639494,-0.017251488192876252,-0.01145656103608872,-0.06603330790401873
2018-11-15,58.67849960327148,0,350,0.0,20537.47486114502,127299.00138020515,147836.47624135017,0.00287764004174762,-0.014423491724332216,0.021090521659853367,-0.04633546315478687
2018-11-16,58.61849932670592,0,350,0.0,20516.474764347073,127299.00138020515,147815.47614455223,-0.00014204949503571207,-0.01456349236965182,-0.001022525745736913,-0.047310609696507355
2018-11-19,56.70150048732758,0,350,0.0,19845.52517056465,127299.00138020515,147144.5265507698,-0.004539102476159407,-0.019036489661534595,-0.032702966834652125,-0.07846637923132738
2018-11-20,55.54524776935577,0,350,0.0,19440.836719274517,127299.00138020515,146739.83809947968,-0.002750278659875982,-0.02173441267013554,-0.020391924517592308,-0.09725822326646572
2018-11-21,55.90299894809722,0,350,0.0,19566.049631834027,127299.00138020515,146865.05101203918,0.0008532986963951661,-0.020899659919738744,0.006440716228811594,-0.09144391965463183
2018-11-23,55.38950123786926,0,350,0.0,19386.325433254242,127299.00138020515,146685.3268134594,-0.0012237370112311297,-0.022097821243603932,-0.009185512761215375,-0.09978947312492403
